case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_100,LAD_LCX,9923,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,12,0,0,,False
test_101,RCA,7161,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,17734,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_103,LAD_LCX,4571,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_104,RCA,8707,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_105,LAD_LCX,11596,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,12,0,0,,False
test_106,LAD_LCX,11162,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,11,0,0,,False
test_107,LAD_LCX,1947,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,4,0,0,,False
test_108,LAD_LCX,5783,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_109,LAD_LCX,4421,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_10,LAD_LCX,12565,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_110,LAD_LCX,6021,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,10,0,0,,False
test_111,LAD_LCX,4059,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_112,RCA,7714,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_113,LAD_LCX,5326,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,10,0,0,,False
test_114,RCA,5645,22,0.0038972542072630645,9,1.0,1.0,0,0.0,1,9,0,9.0,3,0,0,,False
test_115,LAD_LCX,5587,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_116,LAD_LCX,2915,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,12,0,0,,False
test_117,LAD_LCX,8046,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_118,LAD_LCX,3004,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,8,0,0,,False
test_119,RCA,5805,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_11,LAD_LCX,10061,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,7,0,0,,False
test_120,LAD_LCX,4229,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_121,RCA,6022,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_122,RCA,2909,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,4583,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,16,0,0,,False
test_124,LAD_LCX,8574,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,8,0,0,,False
test_125,LAD_LCX,3849,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_126,RCA,16038,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,8962,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_128,LAD_LCX,5403,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,22,0,0,,False
test_129,LAD_LCX,2772,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_12,LAD_LCX,2252,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,6,0,0,,False
test_130,RCA,15262,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_131,LAD_LCX,8045,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_132,LAD_LCX,6720,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
test_133,LAD_LCX,10853,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,21,0,0,,False
test_134,LAD_LCX,9112,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_135,LAD_LCX,4966,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_136,RCA,5549,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_137,LAD_LCX,11503,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_138,RCA,5603,120,0.021417097983223273,4,1.0,1.0,0,0.0,1,4,0,4.0,2,0,0,,False
test_139,RCA,5889,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_13,RCA,8585,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,0,0,0,,False
test_140,RCA,2776,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_141,LAD_LCX,8646,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,11,0,0,,False
test_142,LAD_LCX,3652,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_143,RCA,10027,1267,0.12635883115587912,2,0.9368142828645522,0.8736411688441209,1,0.999900269272963,2,2,1,1.0,2,0,0,,False
test_144,RCA,9751,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_145,LAD_LCX,6138,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,14,0,0,,False
test_146,LAD_LCX,7956,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_147,LAD_LCX,9819,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
test_148,LAD_LCX,5063,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,6,0,0,,False
test_149,RCA,8978,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_14,LAD_LCX,6738,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,16,0,0,,False
test_150,RCA,16343,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_151,RCA,11784,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,0,0,0,,False
test_152,LAD_LCX,5525,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_153,LAD_LCX,4652,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,4,0,0,,False
test_154,RCA,7507,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_155,RCA,7806,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,0,0,0,,False
test_156,RCA,10909,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_157,LAD_LCX,9803,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,16,0,0,,False
test_158,LAD_LCX,6565,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_159,LAD_LCX,7873,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_15,LAD_LCX,4210,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,12,0,0,,False
test_160,LAD_LCX,5963,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,10,0,0,,False
test_161,LAD_LCX,6822,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,8,0,0,,False
test_162,LAD_LCX,7748,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,14,0,0,,False
test_163,LAD_LCX,8795,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
