case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6127,0,0.0,8,0.9375,0.9786192263750612,1,0.04276154724987759,1,8,0,8.0,17,2,0,0.0,False
test_10,LAD_LCX,12463,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_100,LAD_LCX,5607,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,18,0,0,,False
test_101,RCA,6858,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,16822,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,12,0,0,,False
test_103,LAD_LCX,5582,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,12,0,0,,False
test_104,RCA,8344,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,7641,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,11,0,0,,False
test_106,LAD_LCX,10508,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,9,0,0,,False
test_107,LAD_LCX,2420,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,6,0,0,,False
test_108,LAD_LCX,3968,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,14,0,0,,False
test_109,LAD_LCX,5902,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_11,LAD_LCX,11343,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,15,0,0,,False
test_110,LAD_LCX,5804,0,0.0,8,0.982545045045045,0.8931771192281185,1,0.7649896623018608,1,8,1,8.0,18,4,0,0.0,False
test_111,LAD_LCX,2329,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_112,RCA,6406,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_113,LAD_LCX,5922,0,0.0,3,0.9099844800827729,0.7355623100303952,1,0.9792299898682877,2,3,0,1.5,10,8,0,0.0,False
test_114,RCA,2410,192,0.07966804979253111,32,1.0,1.0,0,0.0,1,32,20,32.0,6,0,0,,False
test_115,LAD_LCX,3753,0,0.0,8,1.0,1.0,0,0.0,1,8,4,8.0,13,0,0,,False
test_116,LAD_LCX,1838,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_117,LAD_LCX,8537,0,0.0,13,1.0,1.0,0,0.0,1,13,5,13.0,22,0,0,,False
test_118,LAD_LCX,2190,0,0.0,4,1.0,1.0,0,0.0,2,4,3,2.0,4,0,0,,False
test_119,RCA,6103,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_12,LAD_LCX,959,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,5,0,0,,False
test_120,LAD_LCX,4347,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,6,0,0,,False
test_121,RCA,6314,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_122,RCA,2738,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_123,LAD_LCX,3695,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,16,0,0,,False
test_124,LAD_LCX,7762,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,20,0,0,,False
test_125,LAD_LCX,3250,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,13,0,0,,False
test_126,RCA,16252,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_127,RCA,8317,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_128,LAD_LCX,6099,0,0.0,14,0.9820536429682398,0.9944253156255124,2,0.5759960649286768,1,14,3,14.0,32,2,0,0.0,False
test_129,LAD_LCX,2451,0,0.0,3,0.9356553364106869,0.8123215014279885,1,0.9722562219502244,1,3,1,3.0,8,8,0,0.0,False
test_13,RCA,11208,0,0.0,5,1.0,1.0,0,0.0,2,5,2,2.5,0,0,0,,False
test_130,RCA,13499,4522,0.3349877768723609,17,0.9385520676256386,0.704496629379954,4,0.9053263204681828,1,17,6,17.0,28,0,0,,False
test_131,LAD_LCX,7211,0,0.0,3,0.9466318139737515,0.8640965192067674,1,0.8488420468728332,1,3,0,3.0,8,3,0,0.0,False
test_132,LAD_LCX,7549,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,14,0,0,,False
test_133,LAD_LCX,9944,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_134,LAD_LCX,9369,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,14,0,0,,False
test_135,LAD_LCX,4698,0,0.0,6,0.9766822391607245,0.878884631758195,1,0.8656875266070668,1,6,0,6.0,15,6,0,0.0,False
test_136,RCA,4943,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_137,LAD_LCX,10723,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,23,0,0,,False
