case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.5855691288956584,0.6618064516120493,0.5250819000813625,0.5625680082008466,0.5747642905733409
test_101,0.917015188200956,0.9435301222996474,0.891949757349569,0.9493073185912049,0.9541647911988286
test_102,0.8789023089559601,0.9167719045036281,0.844037205181683,0.8882197412971695,0.915408709458576
test_103,0.41352599433903353,0.5972461273653243,0.31624515835006123,0.33669181201854514,0.40183261623782
test_104,0.890115188855671,0.9357891179441975,0.8486922762557736,0.9138882524740345,0.9236481992574518
test_105,0.6301805382078857,0.7745987438928478,0.5311513063445964,0.6060967542624373,0.6544503514585576
test_106,0.7584152517125161,0.9231327048576368,0.6435793731036807,0.7378395522187365,0.7594936661671929
test_107,0.46084213413734626,0.9610983981638381,0.3030849720362564,0.3834782572915651,0.43467161929483894
test_108,0.8518753973290402,0.8943270300313808,0.8132712927355589,0.9065661292127783,0.9173228536423077
test_109,0.8404184656253401,0.8786458333318079,0.8053787396549883,0.840905939539552,0.8717249106794142
test_10,0.8878064490153826,0.8731491012741521,0.9029642974116417,0.90243463973218,0.9060749168163538
test_110,0.6977900945067165,0.7900241351556073,0.6248409264435927,0.6833988042121287,0.6757305893667406
test_111,0.5213200934571827,0.8345021037829149,0.37906137184035027,0.5748830155786712,0.5775684068033666
test_112,0.8138528138522633,0.9447236180889688,0.7148288973375536,0.797768882251858,0.8064087622101205
test_113,0.7949708399600128,0.9288495575204799,0.6948232490391966,0.826413074430731,0.8137258543944254
test_114,0.6686370658959705,0.8863757791613778,0.5367773943048567,0.6692675699383991,0.6558196563332955
test_115,0.7028052311064162,0.8811013767186956,0.5845234141471529,0.7654256860663442,0.7514931872087242
test_116,0.3144250871075757,0.8604118993069382,0.1923601637104496,0.29595015299625616,0.2910830387915384
test_117,0.801875868457155,0.83584791792295,0.7705574719030036,0.8509965620148333,0.8666609199263786
test_118,0.6825135921093912,0.6774598393557293,0.6876433121001589,0.7256114120191242,0.7256623570859012
test_119,0.817382482244828,0.8488147497790188,0.7881950105971169,0.7572442533481719,0.8234813738711717
test_11,0.7864728898822496,0.8672693651110875,0.7194477586494635,0.792954589318502,0.8190772882607656
test_120,0.6100846805228924,0.694109918982496,0.5442060085827567,0.6281350327088263,0.6547440433915819
test_121,0.813623462629493,0.9122062663170493,0.734270327071149,0.8319657460614511,0.8177580869120377
test_122,0.8594289300268914,0.9244009449850679,0.8029903254154119,0.9105440068277477,0.9142847700654245
test_123,0.7880039117670454,0.7950010962490792,0.7811288237811695,0.8530477668701969,0.8376990938438117
test_124,0.7785454731558531,0.8946130322266588,0.6891365407260223,0.8023700716172691,0.8250090842091902
test_125,0.7631876839475172,0.8641374006642806,0.6833569835785863,0.7824299785096281,0.7814989038728527
test_126,0.8651374654300567,0.93935468676346,0.8017891245347262,0.7986014116567934,0.8740571161369118
test_127,0.9164775796861607,0.9228593188979187,0.910183496082294,0.9563873661175495,0.9644595142378609
test_128,0.7146609752087385,0.603996114887465,0.8749748743701006,0.7533668300580534,0.7608013021220569
test_129,0.5514094834600759,0.8294117647018167,0.4129851110558629,0.6143465738856606,0.6317218503277315
test_12,0.6724289481384816,0.8240574506254074,0.567928730510844,0.7554311469843923,0.7268219656947509
test_130,0.7845090314425093,0.9418168838114029,0.6722292993626291,0.7595241004377908,0.7473746487618185
test_131,0.8591518347609616,0.8384560400273933,0.8808951637115037,0.9045674823556684,0.9015052721189969
test_132,0.7249851788414959,0.8652515723256836,0.6238521709549667,0.6902393312390925,0.7038668264626303
test_133,0.8462677098747905,0.9046112115722145,0.7949940405236442,0.8295083030003266,0.8612182699131649
test_134,0.7414438914255521,0.6651017214391373,0.8375840482253215,0.6967507413886606,0.7102019347818934
test_135,0.6880176697951502,0.7950774840459525,0.6063681868734617,0.7428162436596616,0.7523979505398056
test_136,0.7864086021498611,0.8781940441865933,0.7119937694692959,0.7896564665650403,0.8107251435215559
test_137,0.7309157145219692,0.6639091524399008,0.8129662031487126,0.7739132404932556,0.7833129061446917
test_138,0.8126883160354764,0.8816052297060439,0.7537649433306105,0.8530489258443209,0.8446136178961918
test_139,0.8992182903245362,0.9087665647283235,0.8898685742790053,0.903572634005868,0.9079860505799043
test_13,0.7456884497060009,0.6414595028062218,0.890360641138813,0.6294570527888665,0.6832857475379646
test_140,0.7198131114020736,0.9270402406885031,0.5883054892587392,0.7946347251812713,0.7826620274578227
test_141,0.8760673028623329,0.8414134105151454,0.913698271345058,0.939907706780395,0.9380066998327641
test_142,0.4187958883990026,0.8555999999965777,0.2772521062860956,0.35618645044221664,0.4034499091264205
test_143,0.8957475994509192,0.9465482877324274,0.8501220504468265,0.9079181555784682,0.9231347104927037
test_144,0.8743707829062469,0.9269898944011274,0.827404479577554,0.9222536269178964,0.9054656775866174
