case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_100,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_101,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_102,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_103,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_104,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_105,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_106,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_107,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_108,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_109,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_10,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_110,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_111,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_112,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_113,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_114,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_115,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_116,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_117,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_118,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_119,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_11,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_120,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_121,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_122,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_123,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_124,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_125,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_126,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_127,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_128,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_129,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_12,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_130,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_131,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_132,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_133,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_134,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_135,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_136,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_137,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_138,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_139,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_13,RCA,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_140,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_141,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_142,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_143,RCA,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_144,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_145,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_146,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_147,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_148,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_149,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_14,LAD_LCX,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_150,RCA,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
test_151,RCA,0,0,0.0,0,,,0,0.0,2,0,0,0.0,0,0,0,,False
test_152,LAD_LCX,0,0,0.0,0,,,0,0.0,1,0,0,0.0,0,0,0,,False
