case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_100,LAD_LCX,7767,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,18,0,0,,False
test_101,RCA,7008,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,17357,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_103,LAD_LCX,5599,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,5,0,0,,False
test_104,RCA,7700,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,10308,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_106,LAD_LCX,11118,0,0.0,4,1.0,1.0,0,0.0,2,4,1,2.0,10,0,0,,False
test_107,LAD_LCX,2194,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,5,0,0,,False
test_108,LAD_LCX,6385,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_109,LAD_LCX,5876,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_10,LAD_LCX,12583,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_110,LAD_LCX,6373,0,0.0,4,0.9438147351964041,0.8195512317589833,1,0.802918562686333,1,4,0,4.0,11,6,0,0.0,False
test_111,LAD_LCX,3044,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,18,0,0,,False
test_112,RCA,6602,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5188,0,0.0,7,0.9839555692687442,0.9699306090979183,1,0.26773323053199694,2,7,0,3.5,19,8,2,0.25,False
test_114,RCA,3979,3979,1.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_115,LAD_LCX,4693,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_116,LAD_LCX,5006,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_117,LAD_LCX,8515,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_118,LAD_LCX,3539,0,0.0,7,1.0,1.0,0,0.0,2,7,1,3.5,15,0,0,,False
test_119,RCA,6519,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_11,LAD_LCX,16229,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,10,0,0,,False
test_120,LAD_LCX,4826,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_121,RCA,6297,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_122,RCA,2842,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,5485,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,10,0,0,,False
test_124,LAD_LCX,8287,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,14,0,0,,False
test_125,LAD_LCX,4454,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_126,RCA,16301,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_127,RCA,8759,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
