case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6063,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,18,0,0,,False
test_10,LAD_LCX,11791,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_100,LAD_LCX,7185,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,13,0,0,,False
test_101,RCA,6987,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,15699,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,22,0,0,,False
test_103,LAD_LCX,4729,0,0.0,11,1.0,1.0,0,0.0,1,11,3,11.0,28,0,0,,False
test_104,RCA,8658,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_105,LAD_LCX,10056,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,27,0,0,,False
test_106,LAD_LCX,9899,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_107,LAD_LCX,2497,0,0.0,6,1.0,1.0,0,0.0,2,6,3,3.0,13,0,0,,False
test_108,LAD_LCX,5384,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,10,0,0,,False
test_109,LAD_LCX,4807,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,10,0,0,,False
test_11,LAD_LCX,12319,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,42,0,0,,False
test_110,LAD_LCX,6361,0,0.0,16,0.9954649207111965,0.9525231881779594,1,0.6542996384216319,1,16,6,16.0,28,4,0,0.0,False
test_111,LAD_LCX,3166,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,8,0,0,,False
test_112,RCA,5975,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_113,LAD_LCX,5625,0,0.0,13,1.0,1.0,0,0.0,2,13,8,6.5,25,0,0,,False
test_114,RCA,3003,3003,1.0,8,1.0,1.0,0,0.0,1,8,4,8.0,14,0,0,,False
test_115,LAD_LCX,4330,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,23,0,0,,False
test_116,LAD_LCX,3991,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,16,0,0,,False
test_117,LAD_LCX,8964,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,21,0,0,,False
test_118,LAD_LCX,4401,0,0.0,9,1.0,1.0,0,0.0,2,9,0,4.5,20,0,0,,False
test_119,RCA,5726,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_12,LAD_LCX,2206,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,8,0,0,,False
test_120,LAD_LCX,4094,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_121,RCA,6055,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_122,RCA,2477,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_123,LAD_LCX,4489,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,12,0,0,,False
test_124,LAD_LCX,8196,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,15,0,0,,False
test_125,LAD_LCX,4038,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,10,0,0,,False
test_126,RCA,17021,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,8713,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_128,LAD_LCX,3062,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,14,0,0,,False
test_129,LAD_LCX,2213,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_13,RCA,10172,0,0.0,13,1.0,1.0,0,0.0,2,13,8,6.5,0,0,0,,False
test_130,RCA,11950,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_131,LAD_LCX,6489,0,0.0,8,0.9744659845629151,0.8246262906457081,1,0.8585298196948682,1,8,2,8.0,17,3,0,0.0,False
test_132,LAD_LCX,7039,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_133,LAD_LCX,8504,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,16,0,0,,False
test_134,LAD_LCX,8875,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,15,0,0,,False
test_135,LAD_LCX,5746,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_136,RCA,5058,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_137,LAD_LCX,11545,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,19,0,0,,False
test_138,RCA,5610,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_139,RCA,5496,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_14,LAD_LCX,6052,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,15,0,0,,False
test_140,RCA,2991,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,0,0,0,,False
test_141,LAD_LCX,8262,0,0.0,8,1.0,1.0,0,0.0,2,8,2,4.0,18,0,0,,False
test_142,LAD_LCX,3630,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,17,0,0,,False
test_143,RCA,11291,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,0,0,0,,False
test_144,RCA,8556,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_145,LAD_LCX,5831,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,10,0,0,,False
test_146,LAD_LCX,7850,0,0.0,7,1.0,1.0,0,0.0,1,7,4,7.0,14,0,0,,False
test_147,LAD_LCX,8072,0,0.0,12,1.0,1.0,0,0.0,1,12,4,12.0,20,0,0,,False
test_148,LAD_LCX,6261,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,12,0,0,,False
test_149,RCA,8666,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_15,LAD_LCX,4388,0,0.0,8,0.9891644325290438,0.955788514129444,1,0.5100273473108478,1,8,2,8.0,18,3,3,1.0,False
test_150,RCA,17458,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_151,RCA,9968,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,0,0,0,,False
test_152,LAD_LCX,5940,0,0.0,11,1.0,1.0,0,0.0,1,11,4,11.0,25,0,0,,False
test_153,LAD_LCX,4425,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,11,0,0,,False
test_154,RCA,7652,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_155,RCA,6920,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_156,RCA,10809,0,0.0,5,1.0,1.0,0,0.0,1,5,3,5.0,0,0,0,,False
test_157,LAD_LCX,9346,0,0.0,9,1.0,1.0,0,0.0,2,9,3,4.5,17,0,0,,False
test_158,LAD_LCX,5256,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_159,LAD_LCX,8194,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,16,0,0,,False
test_16,LAD_LCX,4156,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,10,0,0,,False
test_160,LAD_LCX,5767,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,10,0,0,,False
test_161,LAD_LCX,6039,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,16,0,0,,False
test_162,LAD_LCX,4481,0,0.0,9,1.0,1.0,0,0.0,2,9,3,4.5,19,0,0,,False
test_163,LAD_LCX,8253,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,17,0,0,,False
test_164,LAD_LCX,5928,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_165,RCA,8755,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_166,LAD_LCX,7364,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,17,0,0,,False
test_167,RCA,13602,0,0.0,8,1.0,1.0,0,0.0,1,8,4,8.0,0,0,0,,False
test_168,LAD_LCX,5110,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,8,0,0,,False
test_169,LAD_LCX,6188,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_17,LAD_LCX,5284,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_170,LAD_LCX,6370,0,0.0,14,1.0,1.0,0,0.0,1,14,4,14.0,31,0,0,,False
test_171,LAD_LCX,9039,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_172,RCA,7355,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_173,LAD_LCX,7676,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,16,0,0,,False
test_174,RCA,18444,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_175,LAD_LCX,9081,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,11,0,0,,False
test_176,LAD_LCX,10121,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,12,0,0,,False
test_177,LAD_LCX,5598,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,27,0,0,,False
test_178,LAD_LCX,2635,0,0.0,7,0.9292805143235322,0.7161290322580646,1,0.5734345351043644,1,7,1,7.0,17,3,0,0.0,False
test_179,LAD_LCX,4455,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,14,0,0,,False
test_18,LAD_LCX,5655,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,15,0,0,,False
test_180,LAD_LCX,3041,0,0.0,5,0.9991761071060761,0.9986846432094706,1,0.3193028609010194,2,5,1,2.5,11,0,0,,False
test_181,LAD_LCX,11099,0,0.0,17,0.9812145788547978,0.9307144787818722,1,0.21695648256599695,2,17,3,8.5,40,4,0,0.0,False
test_182,LAD_LCX,2858,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,8,0,0,,False
test_183,LAD_LCX,9417,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,19,0,0,,False
test_184,LAD_LCX,9137,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,6,0,0,,False
test_185,LAD_LCX,6606,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_186,LAD_LCX,6514,0,0.0,14,0.9987373737373737,0.9957015658581517,1,0.24316856002456247,1,14,1,14.0,32,4,4,1.0,False
test_187,LAD_LCX,3815,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,9,0,0,,False
test_188,LAD_LCX,6772,0,0.0,19,1.0,1.0,0,0.0,2,19,9,9.5,22,0,0,,False
test_189,LAD_LCX,7555,0,0.0,10,1.0,1.0,0,0.0,1,10,0,10.0,24,0,0,,False
test_19,LAD_LCX,10866,0,0.0,7,0.993999908395548,0.9638321369409166,1,0.8611264494754279,2,7,1,3.5,26,9,0,0.0,False
test_190,LAD_LCX,6363,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,13,0,0,,False
test_191,LAD_LCX,4900,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_192,LAD_LCX,5905,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,11,0,0,,False
test_193,RCA,4665,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_194,LAD_LCX,7566,0,0.0,11,1.0,1.0,0,0.0,1,11,3,11.0,20,0,0,,False
test_195,RCA,11239,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_196,RCA,14496,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,0,0,0,,False
test_197,RCA,5502,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_198,LAD_LCX,5252,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_199,LAD_LCX,9204,0,0.0,8,1.0,1.0,0,0.0,1,8,4,8.0,16,0,0,,False
test_2,LAD_LCX,6918,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,18,0,0,,False
test_20,RCA,10002,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_200,LAD_LCX,10824,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,20,0,0,,False
test_201,LAD_LCX,6188,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,13,0,0,,False
test_202,LAD_LCX,7523,0,0.0,13,1.0,1.0,0,0.0,1,13,1,13.0,29,0,0,,False
test_203,RCA,8720,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_204,RCA,13835,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_205,LAD_LCX,11668,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,15,0,0,,False
test_206,RCA,6920,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_207,LAD_LCX,5007,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,25,0,0,,False
test_208,LAD_LCX,11299,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,34,0,0,,False
test_209,RCA,10204,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_21,LAD_LCX,7161,0,0.0,13,1.0,1.0,0,0.0,1,13,1,13.0,27,0,0,,False
test_210,LAD_LCX,6087,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,15,0,0,,False
test_211,LAD_LCX,8423,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,12,0,0,,False
