case_id,mean_branch_purity,impure_branch_frac,n_branches,n_components_LAD,largest_component_ratio_LAD,n_components_RCA,largest_component_ratio_RCA,n_components_LCX,largest_component_ratio_LCX,spur_count,spur_density,n_fp_components,n_catheter_like_fp,catheter_like_fp_pixel_frac
test_1,1.0,0.0,12,0,,0,,15,0.7351480595916866,8,0.42105263157894735,6,6,1.0
test_10,1.0,0.0,12,8,0.9553408820967614,0,,0,,3,0.2,27,22,0.6104347826086957
test_100,1.0,0.0,13,1,1.0,0,,6,0.8290697674418605,7,0.35,13,10,0.14446227929373998
test_101,1.0,0.0,2,0,,2,0.5438622980522422,0,,0,0.0,5,4,0.8695652173913043
test_102,1.0,0.0,17,4,0.9888147212700703,0,,0,,2,0.1111111111111111,24,18,0.685077519379845
test_103,0.9902676399026764,0.04,25,11,0.916267942583732,0,,8,0.786042944785276,23,0.575,11,0,0.0
test_104,1.0,0.0,7,0,,7,0.9963951785513124,0,,6,0.5,8,8,1.0
test_105,1.0,0.0,17,17,0.5080251221214236,0,,0,,21,0.6176470588235294,16,7,0.39506995336442374
test_106,1.0,0.0,5,0,,0,,1,1.0,0,0.0,13,11,0.7838983050847458
test_107,1.0,0.0,9,1,1.0,0,,3,0.8239528795811518,1,0.09090909090909091,1,0,0.0
test_108,0.8103092783505155,0.21428571428571427,14,3,0.7030976037405027,0,,1,1.0,5,0.25,6,4,0.2631578947368421
test_109,1.0,0.0,4,2,0.9998263888888889,0,,0,,1,0.16666666666666666,7,3,0.13320825515947468
test_11,1.0,0.0,16,3,0.9379494555167455,0,,0,,8,0.4444444444444444,17,11,0.41098317094774134
test_110,0.9306049822064056,0.14285714285714285,7,3,0.5327433628318584,0,,12,0.6890265486725664,4,0.2857142857142857,5,2,0.047818791946308725
test_111,1.0,0.0,12,2,0.9914163090128756,0,,8,0.35257082896117525,8,0.4444444444444444,2,1,0.9079497907949791
test_112,1.0,0.0,5,0,,7,0.8969849246231156,0,,4,0.4444444444444444,5,2,0.35766423357664234
test_113,1.0,0.0,10,2,0.9744637385086823,0,,3,0.9653179190751445,5,0.38461538461538464,7,5,0.6838235294117647
test_114,0.9773584905660377,0.09523809523809523,21,1,1.0,14,0.49124552327894944,0,,19,0.5,9,6,0.23954372623574144
test_115,1.0,0.0,14,11,0.7274092615769712,0,,0,,10,0.5263157894736842,10,5,0.2802547770700637
test_116,1.0,0.0,7,1,1.0,0,,1,1.0,6,0.75,4,1,0.3493150684931507
test_117,1.0,0.0,10,7,0.9246831623415812,0,,0,,3,0.23076923076923078,23,15,0.6754068716094033
test_118,1.0,0.0,7,1,1.0,0,,7,0.7389676384059909,3,0.3,10,4,0.0865874363327674
test_119,1.0,0.0,3,0,,4,0.9706760316066725,0,,2,0.3333333333333333,7,4,0.7129380053908356
test_12,1.0,0.0,10,1,1.0,0,,10,0.5198019801980198,5,0.2631578947368421,5,1,0.08191126279863481
test_120,1.0,0.0,8,5,0.86336763739873,0,,0,,0,0.0,10,7,0.47753743760399336
test_121,1.0,0.0,4,0,,5,0.7927545691906005,0,,1,0.2,6,5,0.647887323943662
test_122,1.0,0.0,5,0,,1,1.0,0,,0,0.0,5,2,0.4
test_123,1.0,0.0,16,1,1.0,0,,6,0.9844923673370487,3,0.15789473684210525,12,4,0.15375
test_124,0.9970326409495549,0.16666666666666666,12,1,1.0,0,,3,0.9986284930567461,4,0.25,19,11,0.44638069705093836
test_125,1.0,0.0,11,0,,0,,2,0.9915406306075365,4,0.2857142857142857,8,4,0.29550827423167847
test_126,1.0,0.0,9,0,,1,1.0,0,,3,0.23076923076923078,19,9,0.2822164948453608
test_127,1.0,0.0,8,0,,1,1.0,0,,3,0.2727272727272727,10,5,0.5501432664756447
test_128,1.0,0.0,18,10,0.7205494657971416,0,,0,,11,0.44,12,2,0.014210919970082274
test_129,1.0,0.0,6,1,1.0,0,,2,0.9916461916461916,5,0.5555555555555556,10,5,0.49683544303797467
test_13,1.0,0.0,9,0,,4,0.9249398556535685,0,,2,0.18181818181818182,17,10,0.08325709057639524
test_130,1.0,0.0,6,0,,1,1.0,0,,3,0.5,10,9,0.9510309278350515
test_131,1.0,0.0,7,1,1.0,0,,4,0.7543053960964409,3,0.2727272727272727,10,8,0.7431952662721893
test_132,1.0,0.0,7,2,0.9998427672955975,0,,0,,3,0.375,16,12,0.6722560975609756
test_133,1.0,0.0,7,8,0.9058544303797469,0,,0,,4,0.3333333333333333,15,7,0.6117103235747303
test_134,1.0,0.0,9,0,,0,,4,0.9137439013163952,2,0.2,14,11,0.35514018691588783
test_135,1.0,0.0,11,2,0.918869644484959,0,,0,,3,0.25,19,11,0.49575371549893843
test_136,1.0,0.0,7,0,,3,0.9027857829010567,0,,5,0.5555555555555556,11,6,0.45153061224489793
test_137,1.0,0.0,27,16,0.6113409039633,0,,0,,8,0.21621621621621623,26,16,0.15468306527909176
test_138,1.0,0.0,12,4,0.46757679180887374,9,0.6196777905638665,0,,6,0.2608695652173913,8,5,0.5681233933161953
test_139,1.0,0.0,7,0,,10,0.9503907577302073,0,,4,0.4,4,2,0.5918367346938775
test_14,1.0,0.0,14,0,,0,,3,0.9524136039495338,4,0.2,14,7,0.20788177339901479
test_140,0.9829351535836177,0.2222222222222222,9,0,,10,0.6264333132166566,5,0.9291417165668663,8,0.42105263157894735,3,2,0.33076923076923076
test_141,1.0,0.0,8,1,1.0,0,,4,0.9730425358981306,4,0.36363636363636365,24,16,0.41334661354581675
test_142,1.0,0.0,9,5,0.8592,0,,0,,7,0.6363636363636364,6,3,0.5049833887043189
test_143,1.0,0.0,8,0,,1,1.0,2,0.6617647058823529,5,0.5,9,5,0.38620689655172413
test_144,1.0,0.0,11,0,,5,0.5251504485068695,0,,4,0.3333333333333333,12,7,0.5875576036866359
test_145,1.0,0.0,10,6,0.7949763496982548,0,,0,,4,0.26666666666666666,18,12,0.42668136714443217
test_146,1.0,0.0,7,6,0.912603062426384,0,,1,1.0,3,0.3333333333333333,4,1,0.9325950890707752
test_147,1.0,0.0,16,8,0.9254072976975899,0,,1,1.0,14,0.5185185185185185,11,5,0.13926940639269406
test_148,1.0,0.0,19,0,,0,,10,0.7628711522745846,9,0.3333333333333333,12,9,0.2687224669603524
test_149,1.0,0.0,19,0,,10,0.5710824799030944,0,,10,0.4166666666666667,13,7,0.31540697674418605
test_15,1.0,0.0,11,2,0.8281604844814534,0,,5,0.7091595845136922,6,0.3,5,3,0.7252358490566038
test_150,1.0,0.0,8,0,,1,1.0,0,,2,0.2222222222222222,11,6,0.3826429980276134
test_151,1.0,0.0,5,0,,5,0.8642226748133062,0,,4,0.3333333333333333,8,5,0.1848184818481848
test_152,0.9822732012513035,0.07142857142857142,14,6,0.8028846153846154,0,,14,0.5354295837023915,3,0.11538461538461539,10,5,0.6699770817417876
test_153,1.0,0.0,8,1,1.0,0,,1,1.0,3,0.375,5,4,0.8472906403940886
test_154,1.0,0.0,1,0,,1,1.0,0,,0,0.0,8,7,0.8709677419354839
test_155,1.0,0.0,11,0,,7,0.9020914020139427,0,,7,0.4375,12,7,0.622356495468278
test_156,1.0,0.0,5,0,,1,1.0,0,,0,0.0,15,13,0.4092140921409214
test_157,1.0,0.0,11,5,0.4397361359570662,0,,0,,7,0.3888888888888889,15,10,0.12984431931103013
test_158,1.0,0.0,11,8,0.9084445985781169,0,,0,,6,0.35294117647058826,10,4,0.41372141372141374
test_159,1.0,0.0,20,1,1.0,0,,8,0.8923499770957398,8,0.34782608695652173,8,6,0.4247191011235955
test_16,1.0,0.0,5,2,0.7576853526220615,0,,0,,1,0.16666666666666666,15,10,0.3504132231404959
test_160,1.0,0.0,10,8,0.760055693069307,0,,0,,6,0.46153846153846156,16,10,0.7638022083533366
test_161,1.0,0.0,18,9,0.5419974391805378,0,,0,,12,0.4444444444444444,16,9,0.21680993314231137
test_162,0.9722222222222222,0.14285714285714285,7,1,1.0,0,,4,0.9993668214436471,5,0.45454545454545453,6,4,0.7044967880085653
test_163,1.0,0.0,14,11,0.5664084117321527,0,,0,,5,0.3333333333333333,14,6,0.06771835321277414
test_164,1.0,0.0,6,1,1.0,0,,1,1.0,4,0.4444444444444444,6,4,0.5057803468208093
test_165,1.0,0.0,10,0,,2,0.99185437619483,0,,6,0.42857142857142855,15,10,0.5618838992332968
test_166,1.0,0.0,12,11,0.7683673469387755,0,,0,,4,0.3076923076923077,8,1,0.015488867376573089
test_167,1.0,0.0,16,0,,6,0.835653650254669,2,0.9767441860465116,9,0.42857142857142855,19,18,0.9808429118773946
test_168,0.974320241691843,0.09090909090909091,11,1,1.0,0,,6,0.49303621169916434,6,0.3333333333333333,12,4,0.09772455089820359
test_169,1.0,0.0,8,5,0.9902660609993511,0,,0,,3,0.3333333333333333,7,6,0.5509554140127388
test_17,1.0,0.0,9,9,0.8190647482014388,0,,0,,4,0.3076923076923077,17,12,0.8288987435328898
test_170,1.0,0.0,5,1,1.0,0,,2,0.9418406476352791,4,0.5714285714285714,12,6,0.2574626865671642
test_171,1.0,0.0,13,6,0.9834056399132322,0,,0,,11,0.4583333333333333,14,8,0.43005952380952384
test_172,1.0,0.0,5,0,,3,0.984378670425182,0,,3,0.42857142857142855,7,4,0.16565481352992195
test_173,1.0,0.0,5,1,1.0,0,,0,,2,0.3333333333333333,17,14,0.6576576576576577
test_174,1.0,0.0,9,0,,1,1.0,2,0.9848484848484849,8,0.5714285714285714,3,1,0.4883720930232558
test_175,1.0,0.0,9,4,0.9912166172106824,0,,0,,2,0.2,17,13,0.6485819975339088
test_176,1.0,0.0,21,1,1.0,0,,13,0.9462175593594699,7,0.2692307692307692,18,9,0.400974025974026
test_177,1.0,0.0,22,2,0.99836867862969,0,,20,0.6984225177853387,16,0.3902439024390244,20,6,0.1628199748216534
test_178,1.0,0.0,4,1,1.0,0,,5,0.8204887218045113,3,0.375,6,2,0.15384615384615385
test_179,1.0,0.0,12,2,0.9297218155197657,0,,4,0.7693456083602886,8,0.4,9,5,0.77863154043176
test_18,0.9516908212560387,0.2,5,3,0.6890547263681592,0,,4,0.8563982277821215,3,0.375,9,9,1.0
test_180,1.0,0.0,5,1,1.0,0,,2,0.9684035476718403,3,0.42857142857142855,8,4,0.15465898174831894
test_181,0.9767641996557659,0.07142857142857142,28,2,0.9250801282051282,0,,8,0.8016243654822335,9,0.25,21,14,0.22187104930467763
test_182,1.0,0.0,10,2,0.9276058876539501,0,,0,,3,0.3,8,5,0.5579710144927537
test_183,1.0,0.0,17,2,0.9993849938499385,0,,12,0.38426038377459315,6,0.2727272727272727,16,8,0.21570576540755468
test_184,1.0,0.0,3,1,1.0,0,,0,,3,0.5,11,9,0.6589595375722543
test_185,1.0,0.0,2,2,0.979573030256489,0,,0,,2,0.5,7,6,0.7504690431519699
test_186,1.0,0.0,6,1,1.0,0,,4,0.8354518141899699,1,0.14285714285714285,8,4,0.1743486973947896
test_187,0.8738738738738738,0.125,8,5,0.9627297909846386,0,,1,1.0,4,0.3076923076923077,11,9,0.6136363636363636
test_188,1.0,0.0,14,1,1.0,0,,6,0.6396735718769617,8,0.47058823529411764,14,7,0.7199046483909416
test_189,1.0,0.0,6,2,0.9992408138475555,0,,2,0.639344262295082,2,0.2,12,9,0.24415975885455915
test_19,0.9941245593419507,0.0625,32,3,0.8972407231208372,0,,13,0.8780217909431393,11,0.2682926829268293,18,9,0.0560188542422045
test_190,1.0,0.0,7,2,0.9935064935064936,0,,6,0.9969362745098039,4,0.3333333333333333,11,8,0.7123595505617978
test_191,1.0,0.0,7,1,1.0,0,,0,,2,0.2857142857142857,10,8,0.2767962308598351
test_192,1.0,0.0,9,9,0.4046651351828945,0,,0,,3,0.2727272727272727,14,9,0.3918918918918919
test_193,1.0,0.0,5,0,,3,0.9580152671755725,0,,1,0.2,4,3,0.3877551020408163
test_194,1.0,0.0,26,8,0.4535098522167488,0,,7,0.5017703591299949,21,0.5,24,10,0.3402820355610055
test_195,1.0,0.0,8,0,,2,0.9998210611076317,0,,1,0.09090909090909091,12,10,0.7970149253731343
test_196,1.0,0.0,7,0,,1,1.0,0,,3,0.3333333333333333,14,12,0.8370786516853933
test_197,1.0,0.0,14,0,,11,0.8289230769230769,0,,8,0.38095238095238093,3,0,0.0
test_198,1.0,0.0,8,0,,0,,4,0.6167615947925142,3,0.3,7,2,0.0667420814479638
test_199,1.0,0.0,9,4,0.9996656263932233,0,,0,,0,0.0,17,11,0.5351351351351351
test_2,1.0,0.0,22,2,0.999348109517601,0,,9,0.9066913026263693,9,0.28125,17,7,0.09595092024539878
test_20,1.0,0.0,9,0,,6,0.8496922916449359,0,,6,0.42857142857142855,14,7,0.10804020100502512
test_200,1.0,0.0,26,13,0.625351370344343,0,,0,,22,0.4230769230769231,21,15,0.2607260726072607
test_201,1.0,0.0,7,1,1.0,0,,2,0.8634600465477114,4,0.4,12,7,0.26180257510729615
test_202,1.0,0.0,12,3,0.6849812934259755,0,,0,,3,0.23076923076923078,17,13,0.30813475760065734
test_203,1.0,0.0,4,0,,4,0.9861466821885914,0,,1,0.16666666666666666,5,4,0.8461538461538461
test_204,1.0,0.0,7,0,,2,0.9999215378579835,0,,2,0.25,19,17,0.9206349206349206
