case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,5437,0,0.0,15,1.0,1.0,0,0.0,1,15,6,15.0,24,0,0,,False
test_10,LAD_LCX,12629,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,20,0,0,,False
test_100,LAD_LCX,7750,0,0.0,7,1.0,1.0,0,0.0,2,7,2,3.5,15,0,0,,False
test_101,RCA,6623,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,16629,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,14,0,0,,False
test_103,LAD_LCX,4648,0,0.0,18,0.999909489156801,0.9989242685025818,1,0.6602839931153184,1,18,8,18.0,38,6,0,0.0,False
test_104,RCA,8877,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,0,0,0,,False
test_105,LAD_LCX,7165,0,0.0,17,1.0,1.0,0,0.0,1,17,7,17.0,37,0,0,,False
test_106,LAD_LCX,9653,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,4,0,0,,False
test_107,LAD_LCX,1748,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,7,0,0,,False
test_108,LAD_LCX,4495,0,0.0,2,0.8801920500223315,0.7612903225806451,1,0.9962180200222469,1,2,0,2.0,7,4,4,1.0,False
test_109,LAD_LCX,5760,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,3,0,0,,False
test_11,LAD_LCX,9734,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,14,0,0,,False
test_110,LAD_LCX,6215,0,0.0,8,0.9535972404730617,0.9090909090909091,1,0.24489139179404665,1,8,4,8.0,11,2,2,1.0,False
test_111,LAD_LCX,2139,0,0.0,10,1.0,1.0,0,0.0,2,10,4,5.0,22,0,0,,False
test_112,RCA,6368,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_113,LAD_LCX,5650,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,14,0,0,,False
test_114,RCA,5615,589,0.10489759572573464,14,0.9800664451827242,0.9593944790739092,1,0.14550311665182547,1,14,3,14.0,5,0,0,,False
test_115,LAD_LCX,3995,0,0.0,11,1.0,1.0,0,0.0,1,11,3,11.0,24,0,0,,False
test_116,LAD_LCX,1311,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_117,LAD_LCX,8285,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,13,0,0,,False
test_118,LAD_LCX,3984,0,0.0,8,1.0,1.0,0,0.0,2,8,3,4.0,15,0,0,,False
test_119,RCA,5695,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_12,LAD_LCX,2785,0,0.0,11,1.0,1.0,0,0.0,2,11,4,5.5,15,0,0,,False
test_120,LAD_LCX,4567,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,10,0,0,,False
test_121,RCA,6128,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_122,RCA,2963,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,4561,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,18,0,0,,False
test_124,LAD_LCX,8502,0,0.0,2,0.8429075927015892,0.6860738649729475,1,0.999176664314279,2,2,0,1.0,10,15,0,0.0,False
test_125,LAD_LCX,3901,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,8,0,0,,False
test_126,RCA,16984,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,9191,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_128,LAD_LCX,7207,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,23,0,0,,False
test_129,LAD_LCX,2040,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_13,RCA,12470,0,0.0,4,1.0,1.0,0,0.0,2,4,2,2.0,0,0,0,,False
test_130,RCA,11206,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_131,LAD_LCX,6995,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_132,LAD_LCX,6360,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,5,0,0,,False
test_133,LAD_LCX,8848,0,0.0,8,1.0,1.0,0,0.0,1,8,4,8.0,12,0,0,,False
test_134,LAD_LCX,10863,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_135,LAD_LCX,5485,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,9,0,0,,False
test_136,RCA,5205,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_137,LAD_LCX,13297,0,0.0,16,1.0,1.0,0,0.0,1,16,5,16.0,32,0,0,,False
test_138,RCA,5507,293,0.05320501180315961,7,0.9937074483228517,0.9687670237879064,2,0.969311785000908,1,7,3,7.0,8,0,0,,False
test_139,RCA,5886,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,0,0,0,,False
