case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.5728903654481243,0.8161681181355241,0.44133906633861447,0.5520509478419835,0.5279201205045831
test_101,0.9558760531194088,0.9562857142843482,0.9554667427905289,0.9889138767047783,0.981221506012572
test_102,0.8696012306233377,0.9336805996690803,0.813752629830133,0.8658811450196979,0.888770271041645
test_103,0.6592372820025622,0.9035905574272891,0.5189109136471646,0.5963924210607283,0.6122150744938978
test_104,0.8857064771790731,0.9523921476419978,0.8277482631785577,0.9125313053299737,0.9195690184287821
test_105,0.7883783646258645,0.841699261189872,0.7414106613065925,0.7885446770414063,0.8126538798179079
test_106,0.7532769920659049,0.9346244382613581,0.6308681207564416,0.746445564280703,0.7628577144242089
test_107,0.35656401944842114,0.9726688102815703,0.21829334295468467,0.27841534436669674,0.3163265279412547
test_108,0.8401648232478419,0.9053517176889335,0.7837345741436704,0.8868682616152892,0.8899580777256636
test_109,0.8472677124626381,0.9242196314386533,0.782145130488889,0.8598118551070091,0.879549263513738
test_10,0.8976487425880606,0.8965122927379755,0.8987880773002793,0.9125722252795797,0.9081588868632829
test_110,0.7166727471720418,0.8399179066173423,0.6249681852880823,0.7228010370267102,0.7063585238887062
test_111,0.4791288566235948,0.8323699421921579,0.3363771501373192,0.5448356737807774,0.5731594847376409
test_112,0.8725718237248553,0.9264450674129937,0.824619771862138,0.9065601369136764,0.9139655512310032
test_113,0.7833131435487709,0.9147656940744213,0.6848934198322721,0.8203726004406706,0.8106998052964386
test_114,0.5897397989351051,0.9372650375917828,0.43022001725579134,0.6125669395132943,0.6046072973909759
test_115,0.6772526543261512,0.7799177667154731,0.5984722683483917,0.7052212302057078,0.7051445185599207
test_116,0.3850055672394099,0.701216764305087,0.26534788540200316,0.35749148641060496,0.33512206899887864
test_117,0.7661798965845978,0.782861124012096,0.7501947257140867,0.7732051459984138,0.7917791008189448
test_118,0.7767784137356545,0.8350424846151918,0.7261146496796788,0.8498023132288482,0.8628236253651902
test_119,0.8361232005349546,0.8589853826296492,0.8144464373050474,0.8200162456640414,0.8245721944652404
test_11,0.717307766952328,0.6586356832271304,0.7874552582232934,0.6838328358971764,0.7414338906040432
test_120,0.5464504349688041,0.7297762478464436,0.43673819742414294,0.5851297128274726,0.6005019949602783
test_121,0.8180537952395309,0.8816208832889944,0.763036910546745,0.8254169049842518,0.8188783623564259
test_122,0.843857072930586,0.951434878583696,0.7581354441490527,0.8801851689653913,0.8870707173535737
test_123,0.7038706256618453,0.9148862853173161,0.5719517449362949,0.7876822934334903,0.7706256308409178
test_124,0.7955789900624641,0.9031886727283259,0.7108815801388866,0.8232594112968524,0.8470989284330505
test_125,0.8066809615158483,0.9098778004050156,0.7245084127291213,0.8214908992773537,0.830304434590559
test_126,0.8566732412883913,0.9415873780555573,0.7858076188557716,0.7723075516209498,0.8421735295521955
test_127,0.894417475727662,0.9203087751153135,0.8699431269440175,0.922837422375102,0.9195965247662528
test_128,0.7427440633239258,0.629665874457389,0.9053266331640094,0.7824837431577558,0.8036785491180739
test_129,0.5691573926858996,0.816233470128517,0.43690505247635614,0.6586161500474838,0.6520064557368894
test_12,0.36397748592802254,0.752521334361889,0.24003959415926743,0.5032956817847845,0.47852426253976166
test_130,0.8534956521736161,0.9401532567042603,0.7814649681523684,0.8880649362933173,0.9094172966944352
test_131,0.8507176299018722,0.8698791398510911,0.8323820967244933,0.8834997386201607,0.8881335439609896
test_132,0.709909177171811,0.8826900387647351,0.5936968597657933,0.6747131165553528,0.681350802720778
test_133,0.8461701003693364,0.9037463326552654,0.7954906634874895,0.843160988910973,0.8802336281512662
test_134,0.8192744018865442,0.7945533769054525,0.8455831207966084,0.8043776405335432,0.8219167957248164
test_135,0.6813591921776876,0.8041997729837227,0.5910734149046286,0.7370439516313387,0.7643860023552974
test_136,0.8141502178921523,0.9017603634281625,0.7420560747651993,0.8442519120459036,0.8566215401734172
test_137,0.7940778189036769,0.7787516600258709,0.810019338796565,0.8149038076854724,0.8340111490480645
test_138,0.8496817365751186,0.8955788749339488,0.8082595870193942,0.9012158149404113,0.8917483133476131
test_139,0.9216739111898732,0.9449493184184814,0.8995175511547172,0.9498554824844596,0.9432154064424634
test_13,0.7736725217036272,0.7077946065748911,0.8530721282270112,0.6529151590446803,0.7289911907281384
test_140,0.735289987360293,0.8932105083558745,0.6248210023851436,0.7698656298655069,0.7541478887214003
test_141,0.8212004300798044,0.794128440366001,0.8501833420627944,0.8928135890079684,0.8901098851073171
test_142,0.2697693574956036,0.6559839759606612,0.16979909267638393,0.22084979535195276,0.23482366699455087
test_143,0.8188596687052646,0.9072919758574183,0.7461350691613131,0.7721813303679865,0.8189651018814272
test_144,0.9012103030925306,0.9202492869959646,0.8829431438118142,0.9695704387410276,0.9623838075356629
test_145,0.6600803979010287,0.8304474541388129,0.547715965625794,0.7247464671474845,0.7226986820174985
test_146,0.03396491228065408,0.018394648829403476,0.22120658134878965,0.03760842811057564,0.021150165343413543
test_147,0.732938995320591,0.8810357635563185,0.6274658000146417,0.7231841813144202,0.7569629404885777
test_148,0.6567145135561998,0.9449238112705253,0.5032264372306382,0.5799169152290404,0.5703225765610443
test_149,0.7926241452747491,0.9170016859020659,0.6979567663599862,0.8440833955488932,0.8336074772557944
test_14,0.8358208955218595,0.8637908496720735,0.80960548884978,0.8286937447890672,0.8448123266544499
test_150,0.9032169370357704,0.9604139866676643,0.8524496574627088,0.8399070783865696,0.8527573260329466
test_151,0.8237830930795736,0.8893008017924913,0.7672567688182331,0.8370950318882491,0.837017243341535
test_152,0.7294666396261108,0.7585407001249292,0.7025390624986279,0.767694799433486,0.7704983428694917
test_153,0.5210208620136386,0.920658682631285,0.3633141338054005,0.4854590328407828,0.4709248339287368
test_154,0.9209556487476674,0.9601218865912028,0.8848595848585045,0.9629920988304186,0.9605263107792096
test_155,0.8163023341972461,0.8672649976368016,0.7709966405364348,0.8436966865253845,0.8531542901919812
test_156,0.885434268333469,0.8839406207818739,0.8869329722401712,0.8974166291175946,0.888084654983418
test_157,0.5932293943364936,0.6516218523253824,0.5444414727640684,0.5552296665251205,0.5475048369666434
test_158,0.8703945387000598,0.8438777496576915,0.898631840794157,0.8866430112500645,0.9165738853919444
test_159,0.7628045157452389,0.8635813265157224,0.683090347982672,0.7765489418552532,0.7291932577201522
test_15,0.6748737373730272,0.793026706229493,0.5873626373615616,0.6082169691823871,0.595113603941494
test_160,0.762679134057564,0.8324828045244453,0.7036759189784252,0.7947280308979198,0.7866394107776369
test_161,0.5101723650745195,0.550289545869323,0.47550697919347445,0.5007935397843166,0.5626283319435884
test_162,0.5044699872282052,0.5655987112930632,0.4552658118420181,0.4816203127562438,0.47674013509629065
test_163,0.5944390004895919,0.6391413143676555,0.555580995992495,0.652200242148117,0.6589619447914111
test_164,0.7911254385125712,0.8950868912231387,0.7088005436617247,0.8299838409823914,0.8285136607785677
test_165,0.9077373688060745,0.9008477997570441,0.9147331310970609,0.9120537826547279,0.9538080913413357
test_166,0.6544063053283143,0.8061066554090248,0.5507594693322911,0.6212183186043057,0.6227846358557468
test_167,0.9206670674975727,0.926029664522932,0.9153662219979137,0.9439428154141009,0.9762527835247944
test_168,0.6691132542453962,0.550175438595719,0.8536585365835069,0.602870605231119,0.6420488749466128
test_169,0.7933518912716608,0.9153599093124591,0.700043346336223,0.8320148575735813,0.8404952609562418
test_16,0.7306513409954687,0.8747706421998285,0.6273026315779157,0.7025006333137442,0.7137535633104067
test_170,0.7871370290370473,0.8810888252133219,0.7112910221183876,0.7957433962137628,0.8231318861158712
test_171,0.8339449067130942,0.8987412275805962,0.7778634785954706,0.8137621191516602,0.8446000763050561
test_172,0.7947494033408146,0.836683417084376,0.7568181818173217,0.7082448924809193,0.736965048607732
test_173,0.7945657814044084,0.8277149877141742,0.7639695210442997,0.76056102246435,0.7840757130260262
test_174,0.9141703130256805,0.9788201375022295,0.8575314518866967,0.8679298119168867,0.9294960521707963
test_175,0.77734092084802,0.7792760087119808,0.7754154195471405,0.8041339164687394,0.8009756928999668
test_176,0.8292816669709243,0.9055888223543855,0.7648347943351611,0.8358023397770413,0.8294803973922885
test_177,0.5360985093969306,0.505376344085404,0.5707976814786492,0.5016358497814821,0.5231553515289502
test_178,0.7316901408424941,0.7667896678910201,0.6996632996585882,0.7557077575492328,0.7608832147488177
test_179,0.27322526551115345,0.4539375928660701,0.1954261954258829,0.2761975642995674,0.24595485704244038
test_17,0.6483329277188509,0.54036511156077,0.8102189780997257,0.648200792233825,0.6524411833197625
test_180,0.8095698405007019,0.7841760299588756,0.8366633366591576,0.8113374617798109,0.8071102519941037
test_181,0.7365010799132611,0.7943082843824242,0.6865371148453374,0.7780865491372899,0.7919687439562519
test_182,0.757819481678717,0.7725947521837734,0.7435987372825549,0.7696162065565826,0.782715395111056
test_183,0.8331251801321774,0.9079677520668956,0.7696813703729743,0.8913908747053029,0.8775826643778473
test_184,0.8873470684810723,0.9053280017281904,0.8700664727867988,0.9206807960521413,0.9400448587899529
test_185,0.9245619727442208,0.8959283131569,0.9550863080258839,0.9819032157498984,0.9766232907541567
test_186,0.678185287258132,0.6771803556293878,0.6791932059433563,0.6364170054021537,0.6099215699365631
test_187,0.43353957755447664,0.8602878916136313,0.28978893325685995,0.4417145345590952,0.4387609267039479
test_188,0.5558501237181372,0.43844974208777576,0.7591117547652447,0.5398582817146108,0.5485442284051598
test_189,0.8921172988961599,0.8544923552639504,0.9332082551577239,0.8721985996791526,0.8923303589502244
test_18,0.73396998635672,0.7585095669672538,0.7109684727190656,0.7329081428106062,0.7073125855048442
test_190,0.8114081524610829,0.8956902848781656,0.7416233216393593,0.8411305993604076,0.8686429904336687
test_191,0.6766588349666396,0.7996936039816168,0.5864344895371627,0.6941310724763472,0.6864816548779022
test_192,0.7046741064202614,0.887192017917151,0.5844399731715836,0.7605212770695895,0.7255838075078654
