case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,5790,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,14,0,0,,False
test_10,LAD_LCX,11999,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,13,0,0,,False
test_100,LAD_LCX,8454,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,11,0,0,,False
test_101,RCA,6819,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,17469,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,12,0,0,,False
test_103,LAD_LCX,4266,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,17,0,0,,False
test_104,RCA,8473,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_105,LAD_LCX,9874,0,0.0,12,1.0,1.0,0,0.0,1,12,3,12.0,29,0,0,,False
test_106,LAD_LCX,10151,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,9,0,0,,False
test_107,LAD_LCX,2197,0,0.0,9,1.0,1.0,0,0.0,2,9,3,4.5,17,0,0,,False
test_108,LAD_LCX,4604,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,20,0,0,,False
test_109,LAD_LCX,5227,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,8,0,0,,False
test_11,LAD_LCX,10212,0,0.0,9,1.0,1.0,0,0.0,1,9,5,9.0,17,0,0,,False
test_110,LAD_LCX,4757,0,0.0,10,0.9586345381526105,0.978347698129073,1,0.05234391423165861,1,10,2,10.0,21,2,0,0.0,False
test_111,LAD_LCX,3683,0,0.0,9,1.0,1.0,0,0.0,2,9,3,4.5,20,0,0,,False
test_112,RCA,7047,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,0,0,0,,False
test_113,LAD_LCX,5755,0,0.0,8,0.9148333865361424,0.9631624674196351,2,0.1212858384013901,2,8,4,4.0,15,4,0,0.0,False
test_114,RCA,5298,5298,1.0,16,1.0,1.0,0,0.0,1,16,5,16.0,35,0,0,,False
test_115,LAD_LCX,4117,0,0.0,10,1.0,1.0,0,0.0,1,10,4,10.0,22,0,0,,False
test_116,LAD_LCX,5706,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,10,0,0,,False
test_117,LAD_LCX,8611,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,10,0,0,,False
test_118,LAD_LCX,3472,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,8,0,0,,False
test_119,RCA,5884,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_12,LAD_LCX,2190,0,0.0,8,1.0,1.0,0,0.0,2,8,2,4.0,17,0,0,,False
test_120,LAD_LCX,3695,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,13,0,0,,False
test_121,RCA,6356,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_122,RCA,2982,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_123,LAD_LCX,3715,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,6,0,0,,False
test_124,LAD_LCX,8293,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,15,0,0,,False
test_125,LAD_LCX,3695,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,14,0,0,,False
test_126,RCA,16389,0,0.0,11,1.0,1.0,0,0.0,1,11,6,11.0,0,0,0,,False
test_127,RCA,8848,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_128,LAD_LCX,5409,0,0.0,12,1.0,1.0,0,0.0,1,12,3,12.0,29,0,0,,False
test_129,LAD_LCX,1926,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,5,0,0,,False
test_13,RCA,11295,0,0.0,6,1.0,1.0,0,0.0,2,6,4,3.0,0,0,0,,False
test_130,RCA,12164,0,0.0,16,1.0,1.0,0,0.0,1,16,9,16.0,0,0,0,,False
test_131,LAD_LCX,6216,0,0.0,10,0.9882272815722903,0.9026705276705277,1,0.8267374517374517,1,10,3,10.0,18,6,0,0.0,False
test_132,LAD_LCX,6713,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,17,0,0,,False
test_133,LAD_LCX,9210,0,0.0,11,1.0,1.0,0,0.0,1,11,4,11.0,16,0,0,,False
test_134,LAD_LCX,8577,0,0.0,12,1.0,1.0,0,0.0,1,12,4,12.0,20,0,0,,False
test_135,LAD_LCX,4511,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,7,0,0,,False
test_136,RCA,5380,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_137,LAD_LCX,12247,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,19,0,0,,False
test_138,RCA,5944,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_139,RCA,5778,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_14,LAD_LCX,6776,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,23,0,0,,False
test_140,RCA,3209,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_141,LAD_LCX,7446,0,0.0,7,1.0,1.0,0,0.0,2,7,2,3.5,15,0,0,,False
test_142,LAD_LCX,2714,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,20,0,0,,False
test_143,RCA,10660,0,0.0,4,1.0,1.0,0,0.0,2,4,1,2.0,0,0,0,,False
test_144,RCA,9120,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_145,LAD_LCX,5710,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,14,0,0,,False
test_146,LAD_LCX,7524,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_147,LAD_LCX,6852,0,0.0,11,1.0,1.0,0,0.0,1,11,3,11.0,20,0,0,,False
test_148,LAD_LCX,6145,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,14,0,0,,False
test_149,RCA,8481,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_15,LAD_LCX,3123,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,16,0,0,,False
test_150,RCA,17534,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_151,RCA,11031,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,0,0,0,,False
test_152,LAD_LCX,4272,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,23,0,0,,False
