case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6341,0,0.0,12,1.0,1.0,0,0.0,1,12,2,12.0,25,0,0,,False
test_10,LAD_LCX,11260,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,8,0,0,,False
test_100,LAD_LCX,7377,0,0.0,8,0.9418620882188722,0.8870814694320185,1,0.24278161854412364,2,8,2,4.0,18,6,0,0.0,False
test_101,RCA,6704,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,15448,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,30,0,0,,False
test_103,LAD_LCX,5179,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_104,RCA,8327,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_105,LAD_LCX,7752,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,24,0,0,,False
test_106,LAD_LCX,10142,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,7,0,0,,False
test_107,LAD_LCX,2604,0,0.0,5,1.0,1.0,0,0.0,2,5,2,2.5,10,0,0,,False
test_108,LAD_LCX,4502,0,0.0,5,0.9774954627949184,0.9586850288760551,1,0.3671701466015104,1,5,2,5.0,10,2,2,1.0,False
test_109,LAD_LCX,4390,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_11,LAD_LCX,9619,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,13,0,0,,False
test_110,LAD_LCX,6786,0,0.0,4,0.9990240728692258,0.9973474801061007,1,0.6794871794871795,1,4,0,4.0,12,0,0,,False
test_111,LAD_LCX,408,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,10,0,0,,False
test_112,RCA,6187,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_113,LAD_LCX,5406,0,0.0,4,0.888771186440678,0.9611542730299667,1,0.0873103958564558,2,4,1,2.0,12,2,2,1.0,False
test_114,RCA,4455,0,0.0,10,1.0,1.0,0,0.0,1,10,4,10.0,0,0,0,,False
test_115,LAD_LCX,3135,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_116,LAD_LCX,1034,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_117,LAD_LCX,8559,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_118,LAD_LCX,3092,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,13,0,0,,False
test_119,RCA,5894,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,0,0,0,,False
test_12,LAD_LCX,710,0,0.0,5,0.9339055793991416,0.7830985915492957,1,0.6563380281690141,2,5,0,2.5,10,3,0,0.0,False
test_120,LAD_LCX,4530,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_121,RCA,6224,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_122,RCA,2654,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_123,LAD_LCX,3996,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,11,0,0,,False
test_124,LAD_LCX,8868,0,0.0,3,0.8921396528184123,0.6882047812359043,1,0.9635769057284619,2,3,1,1.5,8,9,0,0.0,False
test_125,LAD_LCX,3276,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,6,0,0,,False
test_126,RCA,16987,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,8425,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_128,LAD_LCX,6387,0,0.0,15,1.0,1.0,0,0.0,1,15,4,15.0,34,0,0,,False
test_129,LAD_LCX,3054,0,0.0,4,0.9439368770764119,0.7789783889980354,1,0.9855926653569089,1,4,1,4.0,9,6,0,0.0,False
