case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,7474,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,17,0,0,,False
test_10,LAD_LCX,11301,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_100,LAD_LCX,6680,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,15,0,0,,False
test_101,RCA,7464,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,13541,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,16,0,0,,False
test_103,LAD_LCX,4749,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,16,0,0,,False
test_104,RCA,8734,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,10078,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,23,0,0,,False
test_106,LAD_LCX,10079,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,10,0,0,,False
test_107,LAD_LCX,2265,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,11,0,0,,False
test_108,LAD_LCX,4780,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_109,LAD_LCX,5702,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_11,LAD_LCX,15239,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,14,0,0,,False
test_110,LAD_LCX,6595,0,0.0,8,0.9815539407490218,0.9599696739954511,1,0.27126611068991663,1,8,0,8.0,18,2,0,0.0,False
test_111,LAD_LCX,3625,0,0.0,10,1.0,1.0,0,0.0,2,10,4,5.0,20,0,0,,False
test_112,RCA,6058,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5292,0,0.0,12,1.0,1.0,0,0.0,2,12,3,6.0,19,0,0,,False
test_114,RCA,4166,4166,1.0,13,1.0,1.0,0,0.0,1,13,2,13.0,23,0,0,,False
test_115,LAD_LCX,5702,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,14,0,0,,False
test_116,LAD_LCX,5343,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,24,0,0,,False
