case_id,category,gt_vessel_px,passthrough_dice_f1,passthrough_precision,passthrough_recall_sensitivity,passthrough_accuracy,refinement_dice_f1,refinement_precision,refinement_recall_sensitivity,refinement_accuracy,gap_recovery_rate,n_disagreement_px
test_100_corrupt_000,corrupt,1561,0.8622715404671597,0.8789088489628816,0.8462524023007928,0.954210069443409,0.9144486691986234,0.9047021943516947,0.9244074311279667,0.9707031249989466,0.5213270142180095,422
test_100_corrupt_002,corrupt,1512,0.8600893777900994,0.8954903364288083,0.8273809523754804,0.9558376736100739,0.9222148978216144,0.9191852825169567,0.9252645502584309,0.9743923611100538,0.6265356265356266,407
test_100_corrupt_003,corrupt,1550,0.8776258752888375,0.9082125603802056,0.8490322580590386,0.9601779513878469,0.9059372915246634,0.9378453038609266,0.8761290322524121,0.9694010416656147,0.5504087193460491,367
test_100_discont_000,discont,1044,0.0,0.0,0.0,0.8862847222212604,0.2942603071924474,0.9430051812982898,0.174329501914039,0.9052734374990177,0.17748091603053434,1048
test_100_discont_001,discont,1049,0.0,0.0,0.0,0.8861762152768161,0.0,0.0,0.0,0.8861762152768161,0.0,1049
test_100_discont_002,discont,1325,0.6349982535779427,0.5910273081886149,0.6860377358438791,0.8866102430545935,0.6582456140327781,0.6150819672090815,0.7079245282965441,0.8943142361101406,0.1569377990430622,1045
test_100_discont_003,discont,1222,0.6545454545429225,0.62068965516786,0.692307692302027,0.9031032986101311,0.6494969818887344,0.6389548693536109,0.6603927986852669,0.9054904513879063,0.11534154535274356,893
test_100_discont_004,discont,1081,0.6525974025938712,0.7861799217628921,0.5578168362575595,0.9303385416656571,0.6239120476380032,0.6179673321178043,0.6299722479127663,0.9109157986101226,0.19470404984423675,642
test_100_discont_005,discont,1198,0.5263157894710461,0.6587202007445581,0.4382303839696308,0.8974609374990261,0.5214776632280006,0.5371681415881667,0.5066777963229827,0.8791232638879349,0.12698412698412698,945
test_100_discont_006,discont,1631,0.7613469985330844,0.9445958219714389,0.6376456161824792,0.9292534722212138,0.7409909909882095,0.955469506283103,0.6051502145885644,0.9251302083323294,0.24079754601226994,652
test_100_discont_007,discont,1350,0.731864095497099,0.9625603864618049,0.5903703703659973,0.936631944443428,0.7891275756212665,0.9667024704514855,0.6666666666617285,0.9478081597211937,0.3664383561643836,584
test_100_discont_008,discont,1755,0.8076279692177731,0.9781199351622519,0.687749287745369,0.937608506943427,0.7387131176653441,0.9820415878924194,0.5920227920194188,0.9202473958323347,0.10782608695652174,575
test_100_discont_009,discont,1460,0.8202471103992817,0.980934223060239,0.7047945205431179,0.9510633680545235,0.7425658453664292,0.9776286353358207,0.5986301369822012,0.9342447916656529,0.1286031042128603,451
test_100_discont_010,discont,1808,0.7785234899303979,0.9220287660793186,0.6736725663679554,0.9248046874989965,0.7924042484686438,0.9476520400234978,0.6808628318546412,0.9300130208323242,0.2554112554112554,693
test_100_discont_011,discont,1878,0.7859541984708827,0.9212598425130906,0.6853035143733477,0.9239366319434418,0.807598039213212,0.95093795093109,0.7018104366309809,0.9318576388878776,0.3166904422253923,701
test_100_discont_012,discont,829,0.5786802030407896,0.9688385268847355,0.41254523521818404,0.9459635416656401,0.7131208302393394,0.9249999999822115,0.5802171290641711,0.9580078124989604,0.37349397590361444,498
test_100_discont_013,discont,1022,0.6492488569519971,0.9764243614739405,0.48630136985825534,0.9417317708323114,0.8022598870011173,0.949197860949877,0.6947162426546505,0.9620225694434005,0.5083798882681564,537
test_100_discont_014,discont,1374,0.5280652242065599,0.4639118457274716,0.6128093158616245,0.8366970486102031,0.5630818619564588,0.503733486499117,0.6382823871860388,0.8523220486101862,0.17807308970099667,1505
test_100_discont_015,discont,1365,0.5504937878287656,0.4870349492644474,0.6329670329623959,0.8468967013879699,0.5623441396491199,0.4894194248481312,0.6608058608010198,0.8476562499990802,0.14953933380581147,1411
test_100_empty_000,empty,1305,0.6301174795278387,0.5884308510599174,0.6781609195350333,0.8872612847212594,0.6528719229373783,0.6108144192215567,0.7011494252819835,0.8944227430545849,0.1530317613089509,1039
test_100_empty_001,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_100_empty_003,empty,0,0.0,0.0,0.0,0.9996744791655818,0.0,0.0,0.0,0.9999999999989149,1.0,3
test_100_empty_006,empty,1556,0.6132848043657468,0.580700746693965,0.649742930587084,0.8616536458323983,0.5971264367798933,0.5400207900179833,0.6677377891987935,0.8478732638879688,0.14274509803921567,1275
test_100_empty_007,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_101_corrupt_000,corrupt,1565,0.9299533021983658,0.9727843684509925,0.8907348242754586,0.9772135416656063,0.9520078354523278,0.9732977303005789,0.9316293929652931,0.9840494791655988,0.6190476190476191,210
test_101_corrupt_002,corrupt,1653,0.8853858784864191,0.9683908045907444,0.8154869933404992,0.9621310763878448,0.9661275556882328,0.9747536945752787,0.9576527525652895,0.9879557291655946,0.8595988538681948,349
test_101_corrupt_009,corrupt,1374,0.8937160589569678,0.9568106312212891,0.8384279475921512,0.9702690972211693,0.9620905410343685,0.9731943410203039,0.9512372634574147,0.9888237847211492,0.8029197080291971,274
test_101_corrupt_010,corrupt,1457,0.9165771571753792,0.9580838323281581,0.8785175017098249,0.9747178819433867,0.9629373051577315,0.9720279720211747,0.954015099513013,0.9883897569433718,0.7467811158798283,233
test_101_corrupt_011,corrupt,1421,0.886763580715812,0.9715004191033404,0.815622800838736,0.9678819444433941,0.9429824561369043,0.9809885931484337,0.9078114004158494,0.9830729166655999,0.7668918918918919,296
test_101_corrupt_014,corrupt,628,0.841512469824284,0.8504065040512129,0.8328025477574394,0.9786241319433825,0.8861985472083439,0.8985270048952778,0.8742038216421305,0.9847005208322648,0.5939086294416244,197
test_101_corrupt_015,corrupt,1662,0.8873010717736691,0.9640084685888215,0.8219013237014327,0.9623480902767335,0.9469790382214952,0.97092288242117,0.9241877256262083,0.9813368055544907,0.7319884726224783,347
test_101_discont_000,discont,957,0.891922639357839,0.9787765293261077,0.8192267502526727,0.9793836805544928,0.9020057306538568,0.9987309644543308,0.8223615464908844,0.981445312498935,0.28421052631578947,190
test_101_discont_001,discont,1169,0.9041344843211989,0.9641472868123631,0.8511548331834804,0.977105034721162,0.9149425287314256,0.9890656063519974,0.8511548331834804,0.9799262152767144,0.27488151658767773,211
test_101_discont_002,discont,1430,0.9558260869531972,0.9508650518965339,0.9608391608324418,0.9862196180544853,0.9510439164832576,0.9799703264022258,0.9237762237697639,0.9852430555544864,0.47244094488188976,127
test_101_discont_003,discont,1484,0.9564343163506822,0.9513333333269912,0.9615902964894772,0.9858940972211524,0.9559486645821854,0.9849892780487135,0.9285714285651714,0.9862196180544853,0.5,130
test_101_discont_004,discont,1229,0.9598360655698368,0.9669694467302481,0.9528071602851684,0.9893663194433708,0.9482401656275435,0.9654300168552663,0.9316517493821673,0.986436631943374,0.25510204081632654,98
test_101_discont_005,discont,1128,0.9605734766982054,0.9710144927448279,0.950354609920653,0.9904513888878141,0.9446460979993437,0.9674721189501165,0.9228723404173506,0.986762152776707,0.22727272727272727,88
test_101_discont_006,discont,1499,0.9602693602661271,0.9694085655950415,0.9513008672384837,0.9871961805544843,0.9461564510635078,0.9607977991680826,0.9319546364180658,0.9827473958322669,0.2457627118644068,118
test_101_discont_007,discont,1164,0.958856647895371,0.9668122270657922,0.9510309278268813,0.9896918402767038,0.9426193604864538,0.9615728328779127,0.9243986254216118,0.9857855902767081,0.22105263157894736,95
test_101_empty_000,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_101_empty_001,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_101_empty_002,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_101_empty_003,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_101_empty_004,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_102_corrupt_000,corrupt,1415,0.8420677361823813,0.8496402877636717,0.8346289752591193,0.9519314236100781,0.9244383934617957,0.8916611950039944,0.9597173144808502,0.9759114583322743,0.708803611738149,443
test_102_corrupt_002,corrupt,1968,0.8938486663013232,0.9624853458325764,0.8343495934916955,0.9576822916656275,0.9594039054446059,0.9703742203691769,0.9486788617837975,0.9828559027767112,0.8743589743589744,390
test_102_corrupt_005,corrupt,2325,0.928127772846211,0.9583142464454498,0.8997849462326891,0.964843749998953,0.9375416759259001,0.9701011959476997,0.907096774189647,0.969509548610059,0.6018518518518519,324
test_102_corrupt_007,corrupt,1306,0.7873448137733787,0.825356842982155,0.752679938738494,0.9423828124989774,0.8883738895292068,0.8963367108269966,0.8805513016777906,0.9686414930545044,0.5894538606403014,531
test_102_corrupt_011,corrupt,1472,0.9053778080295937,0.9072305593389685,0.9035326086895141,0.969835069443392,0.9034776437157436,0.9457652303050093,0.8648097826028206,0.970486111110058,0.34532374100719426,278
test_102_corrupt_014,corrupt,1431,0.8837561529690127,0.9644628099093847,0.8155136268286827,0.9666883680545065,0.8988598749507214,0.9487577639677892,0.8539482879045847,0.970160590276725,0.6547231270358306,307
test_102_discont_000,discont,1922,0.8179086538436963,0.9679943100926885,0.7081165452616643,0.9342447916656529,0.7868852458992055,0.9702517162397388,0.6618106139403652,0.9252387152767737,0.10066006600660066,606
test_102_discont_001,discont,2292,0.8471400394456432,0.97392290248881,0.7495636998222096,0.9327256944434323,0.8217446270522839,0.9771497293988145,0.7089877835920202,0.9235026041656645,0.09516129032258064,620
test_102_discont_002,discont,1356,0.7145390070890313,0.895555555545605,0.5943952802316048,0.9301215277767685,0.7629757785434128,0.9225941422497637,0.6504424778713095,0.9405381944434238,0.2732919254658385,644
test_102_discont_003,discont,1055,0.6849816849775032,0.9622641509268908,0.5317535544973294,0.9440104166656422,0.8099447513767407,0.9708609271394588,0.6947867298512344,0.9626736111100664,0.43410852713178294,516
test_102_discont_004,discont,1274,0.6924603174568826,0.940700808612659,0.5478806907335332,0.9327256944434323,0.7916331456122622,0.8118811881121133,0.7723704866501384,0.9437934027767536,0.6209677419354839,620
test_102_discont_005,discont,1404,0.708961845604663,0.9399999999889411,0.5690883190842658,0.9288194444434366,0.8099296035538721,0.8440154440089266,0.7784900284844838,0.9443359374989753,0.5777439024390244,656
test_102_discont_006,discont,1203,0.8084133516195318,0.8983739837307075,0.7348295926788461,0.954535590276742,0.847722342729511,0.8865698729502127,0.8121363258452857,0.9619140624989562,0.4486873508353222,419
test_102_discont_007,discont,961,0.8142610695755362,0.9100257069291771,0.7367325702316677,0.9649522569433974,0.8263810597473147,0.9015990159790701,0.7627471383895655,0.9665798611100622,0.3993808049535604,323
test_102_discont_008,discont,1592,0.8289913159624951,0.8851640513488933,0.7795226130604301,0.9444444444434196,0.8363047001593638,0.8640321500277025,0.8103015075325987,0.9452039930545298,0.435546875,512
test_102_discont_009,discont,1446,0.7970847717652586,0.8949181739802333,0.7185338865787101,0.942599826387866,0.763919821823445,0.8245192307626241,0.7116182572564895,0.9309895833323231,0.28166351606805295,529
test_102_discont_010,discont,1384,0.8907441016301607,0.8949671772363607,0.8865606936352127,0.9673394097211725,0.8843382631745,0.9305666400564201,0.8424855491268607,0.9669053819433951,0.25249169435215946,301
test_102_discont_011,discont,1362,0.8799708135684788,0.8745467730175885,0.8854625550595782,0.9643012152767314,0.8703914861236397,0.9022852639802815,0.8406754772331816,0.9629991319433995,0.2006079027355623,329
test_102_discont_012,discont,1236,0.8995297135489546,0.9537624659931664,0.8511326860772562,0.9745008680544981,0.8977321352122477,0.9527702088923455,0.8487055016112565,0.9740668402767207,0.3574468085106383,235
test_102_discont_013,discont,1236,0.8995297135489546,0.9537624659931664,0.8511326860772562,0.9745008680544981,0.8947368421014033,0.9584103511926211,0.8389967637472574,0.9735243055544991,0.3617021276595745,235
test_102_discont_014,discont,1707,0.9202159568058782,0.9428395820470631,0.8986526069074479,0.971137152776724,0.9210836277946964,0.9259917110661576,0.9162272993502272,0.9709201388878352,0.5714285714285714,266
