stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_1,6x6 only,0.5625248339668715,0.559570863918058,0.5655101574976426,0.970600128173791
test_1,5x5 only,0.5955171236769851,0.5936932849358056,0.5973522026927672,0.9728775024413691
test_1,OR (6x6 | 5x5),0.5506022361914916,0.47503519085826357,0.6547591873993897,0.964275360107385
test_1,confidence blend,0.5796475668102581,0.5930038204386425,0.5668797078286157,0.9725189208984003
test_10,6x6 only,0.7625505591241325,0.7933822922676843,0.7340254981290678,0.9771575927734002
test_10,5x5 only,0.8203187892445579,0.8676032354185886,0.777921978776412,0.9829711914062125
test_10,OR (6x6 | 5x5),0.7988025263769856,0.7654631961931392,0.8351782578816435,0.9789772033691032
test_10,confidence blend,0.7942291328224668,0.8049392395132849,0.7838002900978824,0.9797058105468376
test_100,6x6 only,0.3946763062764844,0.5708174904933923,0.3016072325462066,0.957839965820276
test_100,5x5 only,0.544992920267299,0.6538957234907393,0.46718566884273627,0.9644508361816038
test_100,OR (6x6 | 5x5),0.5474875149155666,0.5799082482908156,0.5184999162895375,0.9609413146972289
test_100,confidence blend,0.5332606324970094,0.6537433155072268,0.4502762430935457,0.9640808105468381
test_101,6x6 only,0.8375617792416227,0.7779409964490416,0.9070796460164045,0.9905967712401965
test_101,5x5 only,0.769601930035724,0.6663881345303254,0.9106480159849977,0.9854278564452749
test_101,OR (6x6 | 5x5),0.7548585830295408,0.6211632408511188,0.9618898087339968,0.9833030700683218
test_101,confidence blend,0.8534648392462831,0.7740473977686174,0.9510419640294733,0.9912719726562121
test_102,6x6 only,0.6301041666665026,0.6423148393944028,0.6183490927673814,0.9458160400390264
test_102,5x5 only,0.6621980170365418,0.7299876847286145,0.6059289547658543,0.9538612365722292
test_102,OR (6x6 | 5x5),0.6955462362062893,0.64209706722007,0.7587017633525384,0.9504280090331668
test_102,confidence blend,0.6719460995045701,0.6611913714621703,0.6830564784049664,0.9502220153808231
test_103,6x6 only,0.3020519138449798,0.2646467654282255,0.35177122501449454,0.9373283386230111
test_103,5x5 only,0.35773049645373156,0.3425389351681071,0.374332079952133,0.9481811523437138
test_103,OR (6x6 | 5x5),0.33899579073949976,0.2733002060354664,0.44626954284539255,0.9329071044921519
test_103,confidence blend,0.3363033655671904,0.29333333333311723,0.3940233524634929,0.940044403076136
test_104,6x6 only,0.8028884728532747,0.8425957112374058,0.7667552104610065,0.9859428405761342
test_104,5x5 only,0.8184197282331059,0.8064868081721815,0.8307110747846028,0.9862365722655874
test_104,OR (6x6 | 5x5),0.8287664827453339,0.7640972581472977,0.9053943604404316,0.9860305786132436
test_104,confidence blend,0.8677719369182836,0.8587434973981004,0.8769922353893778,0.9900207519530871
test_105,6x6 only,0.4720537161377763,0.5268761629103506,0.42756480161024446,0.9565086364745728
test_105,5x5 only,0.4691661544763014,0.6023937919234481,0.3841959567147184,0.9604644775390259
test_105,OR (6x6 | 5x5),0.5114446080966079,0.48666666666629793,0.5388809663614303,0.953182220458948
test_105,confidence blend,0.4671525608604952,0.5711687681855344,0.39518496770372014,0.9590034484862915
test_106,6x6 only,0.548955790615464,0.6824662813095544,0.4591353943868953,0.9555931091308228
test_106,5x5 only,0.6229797473428422,0.8170629076364221,0.503402683258472,0.9641380310058225
test_106,OR (6x6 | 5x5),0.6150804661485103,0.6615683056027295,0.5746969991570583,0.9576644897460572
test_106,confidence blend,0.5783998203725101,0.6843177189403309,0.5008749756947949,0.9570236206054322
test_107,6x6 only,0.3830273214439225,0.424289606850089,0.3490792634101696,0.9732093811034784
test_107,5x5 only,0.37198879551790953,0.37183999999940504,0.3721377101675386,0.9700660705566035
test_107,OR (6x6 | 5x5),0.3743954862974379,0.3224574800412791,0.44627702161657923,0.9644699096679319
test_107,confidence blend,0.3858590935742767,0.40460295151018166,0.3687750200154223,0.972034454345666
test_108,6x6 only,0.5444453131103554,0.5155463429071431,0.5767765446404228,0.9777717590331658
test_108,5x5 only,0.594903516438785,0.5006790402891572,0.73281431174303,0.9770164489745721
test_108,OR (6x6 | 5x5),0.5371685606057427,0.41790220093892816,0.7516978631758295,0.9701690673827754
test_108,confidence blend,0.6017793323697044,0.5562271577163955,0.6554580089437544,0.9800224304198845
test_109,6x6 only,0.6519839825259969,0.5821865857616402,0.7407969116217554,0.9781188964843377
test_109,5x5 only,0.6547469815922314,0.6277834008089224,0.6841307045351108,0.980037689208947
test_109,OR (6x6 | 5x5),0.6477494018802382,0.543003731342777,0.8025644560860299,0.9758491516112908
test_109,confidence blend,0.6583727586001644,0.5711390352649258,0.7770577691978808,0.9776878356933221
test_11,6x6 only,0.44009927555660044,0.48072977725638866,0.40580158337431604,0.9363174438476205
test_11,5x5 only,0.4480981917231308,0.4773124519328271,0.4222538347350184,0.9358482360839486
test_11,OR (6x6 | 5x5),0.4898914905766734,0.45501803522148576,0.5305541810981379,0.9318542480468394
test_11,confidence blend,0.4533075185542261,0.47389016327049394,0.43443839683298213,0.9353713989257455
test_110,6x6 only,0.5105610361311441,0.5495049504943337,0.4767717870459175,0.9691505432128537
test_110,5x5 only,0.5295419340559141,0.5185827283557063,0.5409743415841065,0.967559814453088
test_110,OR (6x6 | 5x5),0.5144076840979361,0.45058213648300277,0.5992991974673908,0.961814880371057
test_110,confidence blend,0.5446731234863531,0.5863417177106915,0.5085339663156906,0.9713058471679317
test_111,6x6 only,0.3350676378768238,0.4599999999985397,0.2635024549913375,0.9780616760253533
test_111,5x5 only,0.4644216133937743,0.48693397167267716,0.4438988907065941,0.9785232543944938
test_111,OR (6x6 | 5x5),0.45577055977845904,0.43409577093889407,0.47972358610569243,0.9759674072265252
test_111,confidence blend,0.4458086840044136,0.5771676300561354,0.36315693762436235,0.9810600280761345
test_112,6x6 only,0.6614967041484674,0.7251345990355269,0.6081273764251328,0.9800186157226188
test_112,5x5 only,0.7052378085486422,0.714791310714285,0.6959363117862453,0.9813232421874625
test_112,OR (6x6 | 5x5),0.7015265056893136,0.6582977393471628,0.7508317490485374,0.979488372802697
