case_id,gt_vessel_px,dice_f1,precision,recall_sensitivity,accuracy
test_100_b0000,1860,0.5046589638445597,0.8226002430033705,0.36397849462169907,0.8160553633206699
test_100_b0001,2303,0.8119931187003884,0.9354473386130496,0.7173252279604111,0.894117647057586
test_100_b0002,477,0.3093333333312711,0.22678396871723575,0.4863731656082521,0.8566089965386068
test_100_b0003,0,0.0,0.0,0.0,0.9850519031128234
test_100_b0004,0,0.0,0.0,0.0,0.9065743944624131
test_100_b0100,0,0.0,0.0,0.0,0.9975086505176505
test_100_b0101,1471,0.7233867653073432,0.9147609147514058,0.5982324948973609,0.9068512110714092
test_100_b0102,881,0.5371727748662976,0.49854227404763324,0.5822928490285778,0.8776470588223146
test_100_b0103,994,0.9063595393044249,0.9022931206290898,0.9104627766508002,0.9741176470574753
test_100_b0104,0,0.0,0.0,0.0,0.9862975778533062
test_100_b0200,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0201,76,0.0,0.0,0.0,0.989480968856762
test_100_b0202,793,0.11123723041871467,0.556818181754907,0.061790668347266195,0.8916262975766206
test_100_b0203,458,0.47078464106058787,0.999999999929078,0.3078602620020118,0.9561245674727251
test_100_b0204,1447,0.4693140794199623,0.9247967479486829,0.31444367657004535,0.8575778546700933
test_100_b0300,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0301,339,0.0,0.0,0.0,0.950588235292802
test_100_b0302,281,0.0,0.0,0.0,0.9611072664346559
test_100_b0303,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0304,471,0.26506024095929326,0.6999999999363636,0.16348195328739953,0.9408996539779365
test_100_b0400,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0401,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0402,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0403,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0404,0,0.0,0.0,0.0,0.9750865051889618
test_100_p0000,5,0.0,0.0,0.0,0.9551557093412385
test_100_p0001,808,0.5846621108535713,0.7563850687474187,0.4764851485089544,0.9251709986307454
test_100_p0002,705,0.7565415244553099,0.6315289648563008,0.9432624113341381,0.9407612456734384
test_100_p0003,0,0.0,0.0,0.0,0.996678200690662
test_100_p0004,0,0.0,0.0,0.0,0.9777017783844354
test_100_p0005,0,0.0,0.0,0.0,0.9926643598602177
test_100_p0100,668,0.0,0.0,0.0,0.9073871409016315
test_100_p0101,2199,0.15751989945472342,0.9999999999468084,0.08549340609329016,0.7280962682521254
test_100_p0102,1454,0.25511995318750663,0.8549019607507882,0.14993122420804725,0.825854993158925
test_100_p0103,967,0.7372926698729947,0.7638580931179173,0.7125129265696741,0.9328317373448252
test_100_p0104,0,0.0,0.0,0.0,0.9987831260127112
test_100_p0105,0,0.0,0.0,0.0,0.961696306428233
test_100_p0200,0,0.0,0.0,0.0,0.9999999999986159
test_100_p0201,9,0.0,0.0,0.0,0.9987688098481549
test_100_p0202,949,0.10199999999898,0.9999999998039215,0.05374077976761074,0.8757093425593416
test_100_p0203,525,0.5627283800209335,0.4136078782415971,0.8799999999832381,0.9006228373689957
test_100_p0204,981,0.8332391181411349,0.9352791878053899,0.7512742099821481,0.9596443228441045
test_100_p0205,160,0.012422360247675629,0.9999999900000002,0.0062499999996093744,0.9779930795834215
test_100_p0300,0,0.0,0.0,0.0,0.9999999999986159
test_100_p0301,0,0.0,0.0,0.0,0.999999999998632
test_100_p0302,887,0.0,0.0,0.0,0.8772318339088204
test_100_p0303,0,0.0,0.0,0.0,0.9999999999986159
test_100_p0304,645,0.0,0.0,0.0,0.9117647058811057
test_100_p0305,789,0.4111221449810216,0.9495412843601128,0.262357414445344,0.9179238754312555
test_100_p0400,0,0.0,0.0,0.0,0.999999999998632
test_100_p0401,0,0.0,0.0,0.0,0.999999999998648
test_100_p0402,195,0.0,0.0,0.0,0.9733242134049612
test_100_p0403,0,0.0,0.0,0.0,0.999999999998632
test_100_p0404,0,0.0,0.0,0.0,0.999999999998648
test_100_p0405,0,0.0,0.0,0.0,0.9883720930219038
test_100_p0500,0,0.0,0.0,0.0,0.9608304498256598
test_100_p0501,0,0.0,0.0,0.0,0.999999999998632
test_100_p0502,0,0.0,0.0,0.0,0.9999999999986159
test_100_p0503,0,0.0,0.0,0.0,0.9997231833896197
test_100_p0504,0,0.0,0.0,0.0,0.999999999998632
test_100_p0505,0,0.0,0.0,0.0,0.9995847750851217
test_101_b0000,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0001,1020,0.7988115449881206,0.7043413173599975,0.9225490195987985,0.9343944636665268
test_101_b0002,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0003,0,0.0,0.0,0.0,0.9928027681647159
test_101_b0004,0,0.0,0.0,0.0,0.9853287197218197
test_101_b0100,1130,0.9509230076499283,0.9679193400461237,0.9345132743280132,0.9849134948083254
test_101_b0101,241,0.2758620689575902,0.44859813079919647,0.19917012447306348,0.9651211072651001
test_101_b0102,599,0.8526077097441225,0.7790055248511187,0.9415692821211757,0.9730103806214907
test_101_b0103,29,0.15430267061856667,0.08441558441284365,0.8965517238287752,0.9605536332166636
test_101_b0104,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0200,1248,0.9523434422963674,0.9364833462359684,0.9687499999922377,0.9832525951543485
test_101_b0201,1387,0.9624772313261841,0.9727540500664746,0.9524152847804441,0.9857439446353139
test_101_b0202,435,0.9485714285605877,0.9431818181603823,0.9540229884838155,0.9937716262962024
test_101_b0203,0,0.0,0.0,0.0,0.985882352939812
test_101_b0204,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0300,497,0.9412976312982358,0.964135021076706,0.9195171025971928,0.9921107266422254
test_101_b0301,357,0.7538461538378698,0.6202531645457459,0.9607843136985774,0.9689965397910464
test_101_b0302,0,0.0,0.0,0.0,0.9641522491336136
test_101_b0303,0,0.0,0.0,0.0,0.9904498269882486
test_101_b0304,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0400,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0401,0,0.0,0.0,0.0,0.9999999999986159
test_101_b0402,0,0.0,0.0,0.0,0.9526643598602731
test_101_b0403,0,0.0,0.0,0.0,0.9017301038049803
test_101_b0404,0,0.0,0.0,0.0,0.9651211072651001
test_101_p0000,0,0.0,0.0,0.0,0.9999999999986159
test_101_p0001,0,0.0,0.0,0.0,0.9997264021874149
test_101_p0002,0,0.0,0.0,0.0,0.9781314878879196
test_101_p0003,0,0.0,0.0,0.0,0.9987543252581332
test_101_p0004,0,0.0,0.0,0.0,0.9894664842667723
test_101_p0005,0,0.0,0.0,0.0,0.9995847750851217
test_101_p0100,0,0.0,0.0,0.0,0.9983584131313292
test_101_p0101,1208,0.9659137576962386,0.9584352078161498,0.9735099337667756,0.9887777176838983
test_101_p0102,584,0.919597989942047,0.8999999999852459,0.9400684931345878,0.9868673050602095
test_101_p0103,227,0.5256723716317155,0.363790186119056,0.9471365638349278,0.9469220246225076
test_101_p0104,0,0.0,0.0,0.0,0.999999999998648
test_101_p0105,0,0.0,0.0,0.0,0.9974008207920693
test_101_p0200,62,0.0,0.0,0.0,0.9914186851197351
test_101_p0201,1403,0.9581263307276149,0.9540636042335403,0.9622238061228637,0.983857729136821
test_101_p0202,1185,0.9490060501255445,0.9725420726220325,0.9265822784731935,0.9836678200678427
test_101_p0203,273,0.730555555545409,0.5883668903671506,0.9633699633346751,0.9731487889259888
test_101_p0204,0,0.0,0.0,0.0,0.999999999998632
test_101_p0205,0,0.0,0.0,0.0,0.9997231833896197
test_101_p0300,321,0.6398305084610205,0.9999999999337748,0.4704049844090216,0.9764705882339426
test_101_p0301,1742,0.9293836026303729,0.9706249999939337,0.8915040183645724,0.9677154582750099
test_101_p0302,1,0.0,0.0,0.0,0.9998615916941178
test_101_p0303,0,0.0,0.0,0.0,0.9705190311405253
test_101_p0304,0,0.0,0.0,0.0,0.9794801641573468
test_101_p0305,0,0.0,0.0,0.0,0.9999999999986159
test_101_p0400,0,0.0,0.0,0.0,0.999999999998632
test_101_p0401,0,0.0,0.0,0.0,0.999999999998648
test_101_p0402,0,0.0,0.0,0.0,0.9521203830356332
test_101_p0403,0,0.0,0.0,0.0,0.9994528043761978
test_101_p0404,0,0.0,0.0,0.0,0.999999999998648
test_101_p0405,0,0.0,0.0,0.0,0.999999999998632
test_101_p0500,0,0.0,0.0,0.0,0.9999999999986159
test_101_p0501,0,0.0,0.0,0.0,0.999999999998632
test_101_p0502,0,0.0,0.0,0.0,0.9999999999986159
test_101_p0503,0,0.0,0.0,0.0,0.9999999999986159
test_101_p0504,0,0.0,0.0,0.0,0.999999999998632
test_101_p0505,0,0.0,0.0,0.0,0.9999999999986159
test_102_b0000,0,0.0,0.0,0.0,0.8845674740472186
test_102_b0001,821,0.8742352141340978,0.9892307692155503,0.7831912301975251,0.9743944636664714
test_102_b0002,2321,0.8776352966727284,0.8855263157855898,0.8698836708277903,0.9220761245661978
test_102_b0003,736,0.6829776158215358,0.5535864978856238,0.8913043478139768,0.9157093425592863
test_102_b0004,0,0.0,0.0,0.0,0.8685121107254415
test_102_b0100,0,0.0,0.0,0.0,0.9993079584761255
test_102_b0101,0,0.0,0.0,0.0,0.9999999999986159
test_102_b0102,1853,0.938414802538143,0.9609728506732977,0.916891527248155,0.9691349480955445
test_102_b0103,1606,0.8699639698628564,0.917760884582462,0.8268991282638425,0.9450519031128788
test_102_b0104,642,0.37024793388123767,0.3943661971761555,0.34890965731543755,0.8945328719710802
test_102_b0200,0,0.0,0.0,0.0,0.9919723183377274
test_102_b0201,0,0.0,0.0,0.0,0.9562629757772232
test_102_b0202,1483,0.9106518282959916,0.8616125150369338,0.9656102494877572,0.9611072664346559
test_102_b0203,1191,0.8986135181936802,0.9283795881743208,0.870696893359608,0.9676124567460656
test_102_b0204,1691,0.52430555555328,0.9853181076511367,0.3571850975732869,0.8483044982687221
test_102_b0300,0,0.0,0.0,0.0,0.992941176469214
test_102_b0301,299,0.0,0.0,0.0,0.9586159169536905
test_102_b0302,870,0.8982683982635375,0.8486707566375391,0.9540229884947813,0.9739792387529772
test_102_b0303,0,0.0,0.0,0.0,0.9947404844276889
test_102_b0304,1211,0.8268802848205302,0.8967181467094912,0.7671345994982071,0.9461591695488635
test_102_b0400,0,0.0,0.0,0.0,0.9685813148775522
test_102_b0401,791,0.08706166868093033,0.9999999997222222,0.04551201011320465,0.8955017301025668
test_102_b0402,459,0.9499999999892046,0.9928741092400742,0.9106753812437761,0.9939100346007005
test_102_b0403,0,0.0,0.0,0.0,0.9999999999986159
test_102_b0404,0,0.0,0.0,0.0,0.9999999999986159
test_102_p0000,0,0.0,0.0,0.0,0.9033910034589573
test_102_p0001,1805,0.7507293354918939,0.9046874999929322,0.6415512465338419,0.8948016415856432
test_102_p0002,1832,0.637998875771113,0.6575898030089363,0.6195414847127755,0.821730103805091
test_102_p0003,493,0.31182795698785026,0.2001150086244962,0.7058823529268584,0.7874048442895676
test_102_p0004,0,0.0,0.0,0.0,0.8072503419961597
test_102_p0005,0,0.0,0.0,0.0,0.9999999999986159
test_102_p0100,0,0.0,0.0,0.0,0.9974008207920693
test_102_p0101,0,0.0,0.0,0.0,0.9755273120592544
test_102_p0102,1381,0.7822111388163666,0.9180487804788484,0.6813902968813803,0.9283173734597424
