stem,threshold,view,dice_f1,precision,recall_sensitivity,accuracy
test_1,0.5,6x6 only,0.5625248339668715,0.559570863918058,0.5655101574976426,0.970600128173791
test_1,0.5,5x5 only,0.5955171236769851,0.5936932849358056,0.5973522026927672,0.9728775024413691
test_1,0.5,OR (6x6 | 5x5),0.5506022361914916,0.47503519085826357,0.6547591873993897,0.964275360107385
test_1,0.5,confidence blend,0.5796475668102581,0.5930038204386425,0.5668797078286157,0.9725189208984003
test_1,0.25,6x6 only,0.5553332631354346,0.5154417513677526,0.6019173704626775,0.9677810668944943
test_1,0.25,5x5 only,0.577626408173656,0.5339533081463392,0.629080118693644,0.9692497253417599
test_1,0.25,OR (6x6 | 5x5),0.5254442999564258,0.4236091696949793,0.6917370463356634,0.9582366943359009
test_1,0.25,confidence blend,0.5420971436582945,0.459102066671582,0.6617210682485029,0.9626350402831664
test_10,0.5,6x6 only,0.7625505591241325,0.7933822922676843,0.7340254981290678,0.9771575927734002
test_10,0.5,5x5 only,0.8203187892445579,0.8676032354185886,0.777921978776412,0.9829711914062125
test_10,0.5,OR (6x6 | 5x5),0.7988025263769856,0.7654631961931392,0.8351782578816435,0.9789772033691032
test_10,0.5,confidence blend,0.7942291328224668,0.8049392395132849,0.7838002900978824,0.9797058105468376
test_10,0.25,6x6 only,0.7575261655563245,0.755312689738346,0.7597526528736852,0.9756965637206658
test_10,0.25,5x5 only,0.82034615083373,0.8421094943316648,0.7996793648363999,0.982498168945275
test_10,0.25,OR (6x6 | 5x5),0.7866662002865484,0.7259522272429141,0.8584624780511042,0.9767341613769158
test_10,0.25,confidence blend,0.7890985925578236,0.7431867242304754,0.8410565692031139,0.9775352478026971
test_100,0.5,6x6 only,0.3946763062764844,0.5708174904933923,0.3016072325462066,0.957839965820276
test_100,0.5,5x5 only,0.544992920267299,0.6538957234907393,0.46718566884273627,0.9644508361816038
test_100,0.5,OR (6x6 | 5x5),0.5474875149155666,0.5799082482908156,0.5184999162895375,0.9609413146972289
test_100,0.5,confidence blend,0.5332606324970094,0.6537433155072268,0.4502762430935457,0.9640808105468381
test_100,0.25,6x6 only,0.40710986141775096,0.5086574654949704,0.3393604553822707,0.9549560546874635
test_100,0.25,5x5 only,0.557971685018711,0.6237070748855774,0.5047714716218777,0.963554382324182
test_100,0.25,OR (6x6 | 5x5),0.5380293159606929,0.5237830981445031,0.5530721580440707,0.9567184448241822
test_100,0.25,confidence blend,0.5348044645137024,0.5445003469807906,0.5254478486518287,0.9583435058593384
test_101,0.5,6x6 only,0.8375617792416227,0.7779409964490416,0.9070796460164045,0.9905967712401965
test_101,0.5,5x5 only,0.769601930035724,0.6663881345303254,0.9106480159849977,0.9854278564452749
test_101,0.5,OR (6x6 | 5x5),0.7548585830295408,0.6211632408511188,0.9618898087339968,0.9833030700683218
test_101,0.5,confidence blend,0.8534648392462831,0.7740473977686174,0.9510419640294733,0.9912719726562121
test_101,0.25,6x6 only,0.82326082820672,0.7407280611654219,0.9264915786455516,0.9893684387206654
test_101,0.25,5x5 only,0.7455180709085597,0.6225963838126637,0.9289180702241951,0.9830513000487906
test_101,0.25,OR (6x6 | 5x5),0.72080088987726,0.5730649372521072,0.9711675706523392,0.9798927307128532
test_101,0.25,confidence blend,0.7498062659134563,0.6123869801079453,0.9667427918912835,0.9827575683593375
test_102,0.5,6x6 only,0.6301041666665026,0.6423148393944028,0.6183490927673814,0.9458160400390264
test_102,0.5,5x5 only,0.6621980170365418,0.7299876847286145,0.6059289547658543,0.9538612365722292
test_102,0.5,OR (6x6 | 5x5),0.6955462362062893,0.64209706722007,0.7587017633525384,0.9504280090331668
test_102,0.5,confidence blend,0.6719460995045701,0.6611913714621703,0.6830564784049664,0.9502220153808231
test_102,0.25,6x6 only,0.6395368973107787,0.6197142583178542,0.6606695629948067,0.944416046142542
test_102,0.25,5x5 only,0.6642341641400842,0.6990625705891692,0.6327114745716163,0.9522590637206667
test_102,0.25,OR (6x6 | 5x5),0.6928124999998454,0.6149791955614761,0.7932021466901134,0.9475021362304326
test_102,0.25,confidence blend,0.696361844065772,0.6313601596272733,0.7762841809349469,0.9494743347167606
test_103,0.5,6x6 only,0.3020519138449798,0.2646467654282255,0.35177122501449454,0.9373283386230111
test_103,0.5,5x5 only,0.35773049645373156,0.3425389351681071,0.374332079952133,0.9481811523437138
test_103,0.5,OR (6x6 | 5x5),0.33899579073949976,0.2733002060354664,0.44626954284539255,0.9329071044921519
test_103,0.5,confidence blend,0.3363033655671904,0.29333333333311723,0.3940233524634929,0.940044403076136
test_103,0.25,6x6 only,0.3050047214351963,0.2531678641409189,0.383534533939854,0.9326171874999644
test_103,0.25,5x5 only,0.36641424206174816,0.3316232464927201,0.40936077577636115,0.945423126220667
test_103,0.25,OR (6x6 | 5x5),0.3380653222726257,0.2603581929963858,0.4818919453785059,0.9272499084472302
test_103,0.25,confidence blend,0.335926806425929,0.2641028545535432,0.46140906392196573,0.929672241210902
