stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_1,6x6 only,0.47605352506471893,0.36618939347362733,0.680095868522392,0.9499626159667606
test_1,5x5 only,0.49379969513430816,0.3863709625424625,0.6839762611268158,0.9531288146972292
test_1,OR (6x6 | 5x5),0.42705369000176213,0.2953551434568337,0.7707144487551121,0.9308776855468395
test_1,confidence blend,0.47059277257107074,0.3553911574530463,0.6963022141055737,0.9476356506347294
test_10,6x6 only,0.7085847641271183,0.6289654356056883,0.8112833040683936,0.9666557312011349
test_10,5x5 only,0.809199508763794,0.7894278245710212,0.8299870219094357,0.9804420471191032
test_10,OR (6x6 | 5x5),0.7176141085221391,0.6011757425739473,0.8899916024117184,0.9650001525878538
test_10,confidence blend,0.7375363217863014,0.6443240159722508,0.8622795633247864,0.9693336486816037
test_100,6x6 only,0.3967383460815425,0.34863665187041937,0.4602377364804451,0.9362182617187143
test_100,5x5 only,0.577348806924594,0.532161265268282,0.6309224845131165,0.9579048156737915
test_100,OR (6x6 | 5x5),0.4831740515492375,0.36937654976958495,0.6983090574244949,0.9319229125976206
test_100,confidence blend,0.49149852641108543,0.40082404521662834,0.6351916959646449,0.940105438232386
test_101,6x6 only,0.7003691221309044,0.5601095234015914,0.9343419925764569,0.978633880615197
test_101,5x5 only,0.575569172965704,0.419125789850551,0.9183556951171591,0.9638023376464475
test_101,OR (6x6 | 5x5),0.5317230021172724,0.36656574394443847,0.9677419354824897,0.9544448852538698
test_101,confidence blend,0.6555798687086527,0.4971605575628754,0.9621752783314842,0.9729804992675409
test_102,6x6 only,0.6262764659286622,0.5388270831796438,0.7476105290054957,0.9334068298339487
test_102,5x5 only,0.6327936701154881,0.6041841004181291,0.6642473805261108,0.9424629211425422
test_102,OR (6x6 | 5x5),0.6414088127528552,0.5133890185479323,0.8544850498334503,0.9286918640136365
test_102,confidence blend,0.6527998022940765,0.5466680463574273,0.8100690007662611,0.9356880187987924
test_103,6x6 only,0.3209288278915738,0.2428027418125195,0.4731842469815226,0.9228019714355117
test_103,5x5 only,0.3763060848185401,0.3075474067560545,0.4846625766866369,0.9380645751952766
test_103,OR (6x6 | 5x5),0.3478984363791858,0.244979595135058,0.5999406293285178,0.9132957458495745
test_103,confidence blend,0.3548719268888033,0.26294706723878736,0.5456164654655198,0.9235229492187147
test_104,6x6 only,0.6718122601942216,0.5963092032309549,0.7692071924798025,0.9719390869140254
