case_id,gt_vessel_px,dice_f1,precision,recall_sensitivity,accuracy
test_100_b0000,1860,0.7119924457012528,0.8587699316563496,0.6080645161257632,0.8733564013828743
test_100_b0001,2303,0.8672880603620344,0.8869723104816751,0.8484585323454258,0.9172318339087651
test_100_b0002,477,0.30173564752802584,0.22135161606051565,0.4737945492563146,0.855224913493626
test_100_b0003,0,0.0,0.0,0.0,0.9154325259502901
test_100_b0004,0,0.0,0.0,0.0,0.8899653979226436
test_100_b0100,0,0.0,0.0,0.0,0.9310726643585729
test_100_b0101,1471,0.8017850502015553,0.8850574712571014,0.732834806249267,0.9262283737011402
test_100_b0102,881,0.5328282828260403,0.423411371234626,0.7185017026025141,0.846366782005749
test_100_b0103,994,0.9055118110191659,0.8863198458488795,0.9255533199102057,0.9734256055349849
test_100_b0104,0,0.0,0.0,0.0,0.9630449826976291
test_100_b0200,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0201,76,0.0,0.0,0.0,0.989480968856762
test_100_b0202,793,0.2756244616685993,0.43478260868383745,0.20176544766454269,0.8835986159157321
test_100_b0203,458,0.5440494590333222,0.9312169311676605,0.38427947597414236,0.9591695501716828
test_100_b0204,1447,0.7025398191962869,0.9315068493044348,0.5639253628157297,0.9043598615904438
test_100_b0300,0,0.0,0.0,0.0,0.9811764705868773
test_100_b0301,339,0.31818181817699726,0.3271028037281276,0.3097345132651996,0.9377162629744806
test_100_b0302,281,0.0,0.0,0.0,0.9611072664346559
test_100_b0303,0,0.0,0.0,0.0,0.9796539792373984
test_100_b0304,471,0.6431969552745652,0.5827586206796076,0.7176220806641693,0.9480968858118366
test_100_b0400,0,0.0,0.0,0.0,0.9579238754312002
test_100_b0401,0,0.0,0.0,0.0,0.9957093425591755
test_100_b0402,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0403,0,0.0,0.0,0.0,0.9999999999986159
test_100_b0404,0,0.0,0.0,0.0,0.8964705882340533
test_100_p0000,5,0.0,0.0,0.0,0.7847750865041041
test_100_p0001,808,0.4040052242037266,0.31161853592806166,0.5742574257354671,0.8127222982205025
test_100_p0002,705,0.5336969224755213,0.3678839957015689,0.9716312056599768,0.8343252595144162
test_100_p0003,0,0.0,0.0,0.0,0.8919031141856167
test_100_p0004,0,0.0,0.0,0.0,0.9495212038290705
test_100_p0005,0,0.0,0.0,0.0,0.9370242214519903
test_100_p0100,668,0.06263656227194002,0.06099290780055329,0.0643712574840663,0.823939808480405
test_100_p0101,2199,0.38852402350366916,0.8097982708817032,0.25557071395972913,0.7608166576517567
test_100_p0102,1454,0.5296562145805453,0.587594300078897,0.4821182943570694,0.8296853625159649
test_100_p0103,967,0.7352320675066708,0.7502691065581241,0.720785935876724,0.9313269493831309
test_100_p0104,0,0.0,0.0,0.0,0.9721471065427635
test_100_p0105,0,0.0,0.0,0.0,0.9526675786580675
test_100_p0200,0,0.0,0.0,0.0,0.9973702422131524
test_100_p0201,9,0.0,0.0,0.0,0.9987688098481549
test_100_p0202,949,0.8048220436233937,0.8839848675802776,0.7386722866097084,0.9529411764692693
test_100_p0203,525,0.4976720124133592,0.34161931817939195,0.916190476173025,0.8656055363309819
test_100_p0204,981,0.8664563617199451,0.8946796959729133,0.8399592252717639,0.9652530779740558
test_100_p0205,160,0.7972027971749229,0.9047619046900983,0.7124999999554688,0.9919723183377274
