stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_1,6x6 only,0.5681365874093599,0.5249709639948461,0.6190367495998412,0.9685440063476193
test_1,5x5 only,0.5541577491253566,0.5106301106296194,0.6057977630671013,0.9674186706542599
test_1,OR (6x6 | 5x5),0.5508058864748814,0.44690831556471433,0.7176443734299045,0.9608764648437133
test_1,confidence blend,0.5786859220563432,0.5248490478397354,0.6448299474998347,0.9686164855956662
test_10,6x6 only,0.7670081816168766,0.7414321339503088,0.7944117871587186,0.9758834838866814
test_10,5x5 only,0.8134727244140805,0.8383151073302241,0.790060309946721,0.9818954467773062
test_10,OR (6x6 | 5x5),0.7933725866079716,0.7191708558302493,0.8846476830285634,0.9769744873046502
test_10,confidence blend,0.7908513159309214,0.7465428416480839,0.8407512023812194,0.9777793884276971
test_100,6x6 only,0.5017967658212708,0.6213844252155484,0.42081031307515415,0.9619216918944945
test_100,5x5 only,0.6007260303221863,0.6132182404737874,0.5887326301686013,0.964336395263635
test_100,OR (6x6 | 5x5),0.6140173702279886,0.5933328128654903,0.636196216306181,0.9635505676269164
test_100,confidence blend,0.615870193376032,0.6566499194230195,0.5798593671516994,0.9670372009276974
test_101,6x6 only,0.8354574852572217,0.7516257843687945,0.9403368541236935,0.9901008605956653
test_101,5x5 only,0.7261290870965454,0.6021050653128445,0.9145018555510783,0.9815635681151968
test_101,OR (6x6 | 5x5),0.7136466501759309,0.5652355147973611,0.9677419354824897,0.979244232177697
test_101,confidence blend,0.8124583409072214,0.7059071285661725,0.9568940907779662,0.9881935119628529
test_102,6x6 only,0.6732399644009853,0.6213201919333328,0.7346281625347638,0.9467773437499638
test_102,5x5 only,0.670759460174472,0.6954183813439256,0.647789419882112,0.9525375366210573
test_102,OR (6x6 | 5x5),0.7060347619560173,0.6112149532707996,0.8356759519545945,0.9480628967284794
test_102,confidence blend,0.7042445129691856,0.6328701251067147,0.7937643751593183,0.9502410888671512
test_103,6x6 only,0.3666137005648099,0.3309163346610909,0.4109439936667218,0.9452590942382452
test_103,5x5 only,0.3413497471970361,0.30714455257511897,0.3841282406487392,0.9428520202636359
test_103,OR (6x6 | 5x5),0.39502494972801255,0.31669453069004255,0.5248367306545371,0.9380264282226204
test_103,confidence blend,0.39240135570509543,0.33995504966262596,0.46398179299380166,0.9446067810058233
test_104,6x6 only,0.744197729327467,0.7320616722665229,0.7567429505509228,0.9805755615234001
test_104,5x5 only,0.7881283726210413,0.7342564826241539,0.8505312627698707,0.982925415039025
test_104,OR (6x6 | 5x5),0.777975133214583,0.6753666792021997,0.9173477727820623,0.9804496765136345
test_104,confidence blend,0.8151632019561588,0.7552727906564796,0.8853698406202641,0.9850082397460561
test_105,6x6 only,0.5404529495734632,0.5003571938844832,0.5875346028012854,0.9545631408691042
test_105,5x5 only,0.5824621292935428,0.5927566440849463,0.5725190839689853,0.9626731872558226
test_105,OR (6x6 | 5x5),0.5606663767435317,0.4662808813707621,0.7029611609758384,0.9499015808105106
test_105,confidence blend,0.5871729567027139,0.5437004216390026,0.6382014931627898,0.9591903686523071
test_106,6x6 only,0.6439706286564401,0.81689579597448,0.5314667185167338,0.9654121398925413
test_106,5x5 only,0.6557364691690578,0.7834819418168211,0.5638084127289106,0.9651565551757444
test_106,OR (6x6 | 5x5),0.7132033886628855,0.7608935263423022,0.6711387646635095,0.968231201171838
test_106,confidence blend,0.6971950231904965,0.8068501320603162,0.6137792468723742,0.9686203002929318
test_107,6x6 only,0.3273980470991592,0.27217741935454987,0.41072858286563535,0.9597969055175415
test_107,5x5 only,0.39987937273793733,0.3778315999424735,0.4246597277815458,0.9696350097655879
test_107,OR (6x6 | 5x5),0.3317565436768991,0.24692903528656057,0.5053642914323373,0.9514999389648074
test_107,confidence blend,0.3355159451919877,0.2699775587859596,0.44307445956694463,0.9581909179687134
test_108,6x6 only,0.5163089293816767,0.42423273657243793,0.6594334934559227,0.971546173095666
test_108,5x5 only,0.4859634198210942,0.35784198574868226,0.756998509192054,0.9631195068359008
test_108,OR (6x6 | 5x5),0.4614215849197752,0.32341586794440663,0.8048699685260811,0.9567298889159791
test_108,confidence blend,0.5220605220602206,0.4007447468743676,0.7487162497917034,0.9684295654296505
test_109,6x6 only,0.5757722788287369,0.4727337110477401,0.7362470701768423,0.9699821472167598
test_109,5x5 only,0.6865783554107182,0.627813964117669,0.7574796635864367,0.9808654785155876
test_109,OR (6x6 | 5x5),0.5880670611436942,0.457741613571461,0.822142561697474,0.9681320190429318
test_109,confidence blend,0.6017561983467966,0.4811266209626818,0.8031159520187465,0.9705886840819942
