model,view,dice_f1,precision,recall_sensitivity,accuracy
SmallENet trained on 502,confidence blend,0.5831421757311832,0.5998892079017223,0.590854610746157,0.9728089112501508
SmallENet trained on 502,OR (6x6 | 5x5),0.568842779429755,0.51725780589254,0.6621191786820666,0.9678849807152012
SmallENet trained on 502,6x6 only,0.5551769474840362,0.5811726619415386,0.5537803102291382,0.971239896920974
SmallENet trained on 502,5x5 only,0.5539305547309005,0.5617759841256811,0.5722346031642537,0.97060900468089
SmallENet trained on 504,confidence blend,0.5788598467573883,0.5949359401958345,0.5895440709091266,0.971017494201623
SmallENet trained on 504,OR (6x6 | 5x5),0.5674201062538683,0.5115052956512814,0.6669366032086124,0.9657291285196572
SmallENet trained on 504,5x5 only,0.5633427057842113,0.5722270812688922,0.5794384310910103,0.9701446787515904
SmallENet trained on 504,6x6 only,0.551730987484437,0.5762961459055799,0.5541478445969769,0.96953111012773
SmallENet trained on 505,confidence blend,0.5276809000013198,0.4193095159667613,0.7507120274834285,0.9546837615966433
SmallENet trained on 505,5x5 only,0.5154464747366218,0.4242469380318632,0.6980995629101056,0.955902341206832
SmallENet trained on 505,6x6 only,0.5112878426157538,0.419982562344501,0.6882400404986111,0.9555308024088176
SmallENet trained on 505,OR (6x6 | 5x5),0.4804956254201856,0.353283990113246,0.8025537247461637,0.9410660680134731
SmallENet trained on 507 (ch.0 baseline),confidence blend,0.5872497545885743,0.5210621900742751,0.7019818087305774,0.966425755818648
SmallENet trained on 507 (ch.0 baseline),6x6 only,0.5646565238178294,0.5213096082212996,0.6427070405672722,0.9661986287434526
SmallENet trained on 507 (ch.0 baseline),5x5 only,0.5639834412542394,0.519453008362779,0.646340764818687,0.9664644495645789
SmallENet trained on 507 (ch.0 baseline),OR (6x6 | 5x5),0.560974476452102,0.460302906125866,0.7539452570881494,0.959949824015263
