case_id,dice,n_cells_visited,n_cells_total,pct_cells_skipped,n_cells_with_exit_directions,seed_found
test_52,0.6803357179064494,15,49,69.38775510204081,13,True
test_49,0.5660120717499226,6,49,87.75510204081633,4,True
test_268,0.6531289268657184,24,49,51.02040816326531,22,True
test_235,0.4989602978865037,30,49,38.775510204081634,16,True
test_172,0.7233685623213536,17,49,65.3061224489796,14,True
test_111,0.4062774149523284,49,49,0.0,14,False
test_104,0.8220296783184832,18,49,63.26530612244898,15,True
test_182,0.46384574183119465,9,49,81.63265306122449,9,True
test_148,0.648625429552955,16,49,67.34693877551021,12,True
test_120,0.3843506882103648,16,49,67.34693877551021,13,True
