case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6300605930609523,0.6615246030844932,0.6014537264531107,0.5921500857896498,0.6107252420730339
test_101,0.9451292526583467,0.9329717702670937,0.9576077647716849,0.9899651817133529,0.9871932942829039
test_102,0.8539462624269286,0.8961007360539593,0.8155796700250163,0.8440587400056174,0.8787775906045964
test_103,0.5731801678468108,0.6001495699855414,0.5485304169508446,0.5158042736624908,0.5720678675237921
test_104,0.8982696737553445,0.944250478656443,0.8565590518994108,0.9230834197241625,0.9529363174901063
test_105,0.7348422430084162,0.7444029850738959,0.7255239735852946,0.7245367947405513,0.7780495120297009
test_106,0.7688926458153977,0.9268392092919024,0.6569406326732219,0.770936082213323,0.7844594885169291
test_107,0.34997046662677206,0.9641985353867845,0.21378314991843084,0.28931552122100945,0.30985915230218336
test_108,0.8186469584983715,0.7699162359636965,0.8739631802531379,0.8504532745559987,0.9029463387696673
test_109,0.8705822527325445,0.9312783318206141,0.8173138128567515,0.8894718386426376,0.9160329656991946
test_10,0.8767589926595252,0.8684823652278714,0.8851948902711388,0.9149597120161875,0.9147855335824057
test_110,0.6951131613084222,0.8015292553178166,0.613642148128514,0.6856218401577946,0.677084576830173
test_111,0.639378783889656,0.8407753547911362,0.5158207687396139,0.6607556279037131,0.6746784688865194
test_112,0.8408467267732648,0.9339622641495878,0.7646150190104982,0.8158533596151607,0.848542934533429
test_113,0.7595009735337422,0.8340196388963668,0.6972064080488585,0.7865013045320315,0.7832153090350784
test_114,0.28786626251466163,0.97027863776489,0.16900345125089622,0.31644387612603786,0.3153812984821562
test_115,0.7929646482317176,0.8381428042899776,0.7524078379263494,0.8657210686600223,0.8635119388957445
test_116,0.36487880350649193,0.7478858350911846,0.24130286493819697,0.33410583564086704,0.3009998272478775
test_117,0.7863815419241494,0.7955140612537908,0.7774563258030739,0.839716934710573,0.8557658705159726
test_118,0.7952695829084495,0.7938563087057785,0.7966878980871422,0.8698751342162765,0.8787559580566641
test_119,0.7487715961319157,0.7284502698523848,0.7702592532190278,0.6929646229475033,0.7438575349990243
test_11,0.6281458074707038,0.5622600848538203,0.7115220726089044,0.6070397412647243,0.6717987150592589
test_120,0.5827005000920701,0.6326161270849937,0.5400858369089441,0.5897704475731232,0.6311078939297767
test_121,0.745700527401402,0.8917733089563222,0.6407460922098506,0.6962368199202363,0.6925343763906487
test_122,0.676027497439409,0.6745475773477101,0.6775139255330475,0.7143958878461091,0.7159776600244345
test_123,0.7472997032632078,0.8321438012137665,0.6781559672540324,0.7917410567667253,0.7926257959646993
test_124,0.7549307171028851,0.8542978138939518,0.6762707257400776,0.7488013785156851,0.7837299175874952
test_125,0.8224795495582465,0.8640624999980713,0.7847151834567511,0.8402603223152867,0.8347525601072682
test_126,0.8300486378585763,0.9419947674041592,0.7418836063922294,0.7369969189562094,0.8512203894142973
test_127,0.9054134443778565,0.9126689925851366,0.8982723468173641,0.9545708010050584,0.9599762086727675
test_128,0.54846369720044,0.4271463797350065,0.7660301507522291,0.649146314483765,0.6392605573305694
