case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_100,LAD_LCX,8881,0,0.0,1,0.8955072626956424,0.8955072626956424,1,1.0,2,1,0,0.5,9,14,0,0.0,False
test_101,RCA,7191,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,16439,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_103,LAD_LCX,8023,0,0.0,3,0.9584171696847753,0.9613610868752337,1,0.30973451327433627,1,3,0,3.0,9,1,0,0.0,False
test_104,RCA,8879,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_105,LAD_LCX,10184,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_106,LAD_LCX,9814,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,6,0,0,,False
test_107,LAD_LCX,1229,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,4,0,0,,False
test_108,LAD_LCX,5611,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,7,0,0,,False
test_109,LAD_LCX,5515,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_10,LAD_LCX,12447,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_110,LAD_LCX,6016,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,13,0,0,,False
test_111,LAD_LCX,2889,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,6,0,0,,False
test_112,RCA,6890,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_113,LAD_LCX,6314,0,0.0,2,0.9047540713933213,0.8165980361102312,1,0.9627811213177067,2,2,0,1.0,8,8,0,0.0,False
test_114,RCA,1615,1195,0.739938080495356,9,1.0,1.0,0,0.0,1,9,0,9.0,10,0,0,,False
test_115,LAD_LCX,5406,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_116,LAD_LCX,1892,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,13,0,0,,False
test_117,LAD_LCX,8783,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_118,LAD_LCX,3939,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,8,0,0,,False
test_119,RCA,6485,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_11,LAD_LCX,14849,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,15,0,0,,False
test_120,LAD_LCX,4973,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_121,RCA,5470,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_122,RCA,3426,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,3783,0,0.0,3,0.9349240780911062,0.8572561459159397,1,0.7311657414750198,1,3,0,3.0,10,3,0,0.0,False
test_124,LAD_LCX,8737,0,0.0,4,0.9153254437869822,0.6724276067299989,1,0.9671511960627217,2,4,0,2.0,12,5,0,0.0,False
test_125,LAD_LCX,4480,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,7,0,0,,False
test_126,RCA,15671,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_127,RCA,9172,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_128,LAD_LCX,8922,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,14,0,0,,False
test_129,LAD_LCX,2860,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_12,LAD_LCX,4608,0,0.0,2,0.7765685019206146,0.8485243055555556,1,0.3389756944444444,2,2,0,1.0,9,6,0,0.0,False
test_130,RCA,12882,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_131,LAD_LCX,8228,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_132,LAD_LCX,6402,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_133,LAD_LCX,8217,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_134,LAD_LCX,12482,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_135,LAD_LCX,4861,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_136,RCA,4816,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_137,LAD_LCX,15304,0,0.0,3,0.9930542340627974,0.9856900156821746,1,0.6867485624673288,1,3,0,3.0,9,3,3,1.0,False
test_138,RCA,6141,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_139,RCA,5736,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_13,RCA,10002,160,0.015996800639872025,2,0.9917021055907064,0.9840031993601279,1,0.9639072185562887,2,2,0,1.0,3,0,0,,False
test_140,RCA,2803,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_141,LAD_LCX,8560,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_142,LAD_LCX,2798,292,0.1043602573266619,3,1.0,1.0,0,0.0,1,3,0,3.0,4,0,0,,False
test_143,RCA,9380,1282,0.13667377398720681,7,0.9758413629381372,0.9815565031982942,1,0.10906183368869936,2,7,0,3.5,9,0,0,,False
test_144,RCA,8565,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_145,LAD_LCX,7280,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,5,0,0,,False
test_146,LAD_LCX,5233,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_147,LAD_LCX,11924,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,14,0,0,,False
