case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6226455479448723,0.6522421524656364,0.5956183456177359,0.5981866772996631,0.6290162458452158
test_101,0.9257723112121525,0.9276296933205394,0.9239223522681645,0.9643709775466626,0.9719410416445337
test_102,0.8531738949369823,0.9218950887111584,0.7939873768127593,0.8501731818157968,0.9043242422329908
test_103,0.5345091122865758,0.5522351797855293,0.517885623148191,0.49240334542123193,0.534176761302847
test_104,0.8849328370281679,0.9374785689782403,0.837964854923541,0.9053004034000497,0.933769463743668
test_105,0.5557561597278272,0.624239532386229,0.5008134749732024,0.5252382570756705,0.569975608137962
test_106,0.7542055672672399,0.9327444929222807,0.6330348114974483,0.7405604705533247,0.7559247758473489
test_107,0.5539594843455445,0.8670253651004343,0.4069998195915443,0.5356204028809586,0.5606344073591688
test_108,0.800437506213781,0.7870551427438658,0.8142828241941852,0.8379305906069643,0.8877237210547583
test_109,0.8406176393606903,0.9302954238251974,0.7667091024812751,0.8507970605686589,0.895065001023271
test_10,0.871933922909698,0.8886904761897204,0.8557975761539012,0.9113818887217947,0.9192128694580968
test_110,0.745671412080996,0.9431574849115376,0.6165691015517732,0.7747251911816426,0.7672487217827243
test_111,0.7312958703026275,0.7552036199077937,0.7088553833070528,0.8124779163139613,0.8243768159758577
test_112,0.7860855103590977,0.9429758935977673,0.6739543726227732,0.7309915831526574,0.7468445679609061
test_113,0.7576984794064662,0.8959161546785401,0.6564279094390886,0.7918594136523791,0.7875149917090094
test_114,0.30445432277936635,0.958309537401723,0.18097497842948557,0.2923901634801834,0.2824858732745208
test_115,0.7650273224036748,0.8471157724871983,0.6974427100619438,0.8193044796162325,0.8282074487706385
test_116,0.4286680189312275,0.6318936877055419,0.3243519781713432,0.39474949877057836,0.3918353265197398
test_117,0.7700661802133774,0.7831339162439218,0.7574273951254507,0.8214682136222353,0.8404218636160475
test_118,0.7994984326008784,0.7871604938252169,0.812229299360988,0.8701994153571093,0.8813752158495466
test_119,0.7999375536641948,0.7672955974831277,0.835480189139352,0.7603245767674203,0.7984835585866993
test_11,0.6978830908612693,0.7137384176757717,0.6827168910851519,0.6756897787609367,0.7415396485246794
test_120,0.5634254456280643,0.6251569694419733,0.5127896995699351,0.5777368541908119,0.6075412141768708
test_121,0.7322115384609517,0.9387713170311511,0.6001576251141466,0.7148172538424801,0.6855791917002578
test_122,0.8070288570033741,0.896489971343494,0.7338024039849493,0.827421207789614,0.8405572334589313
test_123,0.6239924134653579,0.6937269372675442,0.566996984057374,0.6263614976788617,0.6458607555312091
test_124,0.7329497016193878,0.8896649851236714,0.6231765878403341,0.7402434622364704,0.7699737774201113
test_125,0.7504159733768119,0.9069232979002961,0.6399756740307319,0.759554494357931,0.749895526558222
test_126,0.8392296362168694,0.9387006527815115,0.758819981907348,0.7927250825231521,0.8976597981899925
test_127,0.890939786155942,0.9366938823796749,0.8494473655962554,0.9230015797462523,0.9160484191669301
test_128,0.4410024906596816,0.35983741902659744,0.5694472361797599,0.5266516951711644,0.5286307197006967
test_129,0.7682616271267012,0.8519619500569204,0.6995362460319757,0.8466057479791782,0.8530368634539147
test_12,0.7265251989380285,0.7827950843075656,0.6778025241260138,0.8470772285528191,0.8421523944517005
test_130,0.8222404625099667,0.9349890430963923,0.7337579617829721,0.8105700422298486,0.8195402250381338
test_131,0.8099138836373241,0.7585573770481855,0.8687293481512937,0.8452444487087217,0.8546094562135634
test_132,0.6984061555367557,0.8863121185686377,0.5762385217089034,0.6654890871836655,0.6754617369422293
test_133,0.7859072613989161,0.8832569091574133,0.707886372665169,0.7450005509026822,0.7703604757954174
test_134,0.6916362159964009,0.6150929770711183,0.7899373985615696,0.6346265046214177,0.6543964304972989
test_135,0.6709454455684432,0.821810118925979,0.5668798665175655,0.71566118355881,0.7336655894920114
test_136,0.7273068619161481,0.915190172452362,0.6034267912763187,0.6760461869272805,0.7194277267057515
test_137,0.6409920602436601,0.5768692449351183,0.7211529606771147,0.6553461665997301,0.6771114949251844
test_138,0.836718871142164,0.8356822053572314,0.8377581120930946,0.8920143160691014,0.8912266358365103
test_139,0.8996103788436544,0.896563119628393,0.9026784228898641,0.9300294392019105,0.9382569879245236
test_13,0.7634199381934511,0.7856301531203937,0.7424309884230382,0.644295041110114,0.7941238145030342
test_140,0.5409446143381907,0.9386792452774843,0.37995226730219583,0.5485038454144441,0.5282988251874676
