case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_100,LAD_LCX,8920,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,11,0,0,,False
test_101,RCA,6978,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,15556,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_103,LAD_LCX,8232,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
test_104,RCA,8749,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_105,LAD_LCX,8383,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,14,0,0,,False
test_106,LAD_LCX,9397,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,5,0,0,,False
test_107,LAD_LCX,2602,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,4,0,0,,False
test_108,LAD_LCX,5114,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_109,LAD_LCX,5179,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_10,LAD_LCX,11760,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_110,LAD_LCX,5137,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,6,0,0,,False
test_111,LAD_LCX,4420,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,11,0,0,,False
test_112,RCA,6015,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5534,0,0.0,1,0.8951933501987712,0.8951933501987712,1,1.0,2,1,0,0.5,8,15,0,0.0,False
test_114,RCA,1751,388,0.22158766419189035,6,1.0,1.0,0,0.0,1,6,0,6.0,4,0,0,,False
test_115,LAD_LCX,4958,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_116,LAD_LCX,3010,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,6,0,0,,False
test_117,LAD_LCX,8692,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,6,0,0,,False
test_118,LAD_LCX,4050,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,9,0,0,,False
test_119,RCA,6678,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_11,LAD_LCX,11224,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_120,LAD_LCX,4778,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,8,0,0,,False
test_121,RCA,4867,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_122,RCA,2792,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_123,LAD_LCX,3794,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_124,LAD_LCX,7731,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,14,0,0,,False
test_125,LAD_LCX,3481,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,6,0,0,,False
test_126,RCA,16085,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_127,RCA,8451,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_128,LAD_LCX,7873,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,23,0,0,,False
test_129,LAD_LCX,3364,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,7,0,0,,False
test_12,LAD_LCX,3499,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,9,0,0,,False
