case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6116,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,22,0,0,,False
test_10,LAD_LCX,12720,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,11,0,0,,False
test_100,LAD_LCX,6196,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,18,0,0,,False
test_101,RCA,7062,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_102,LAD_LCX,16106,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,15,0,0,,False
test_103,LAD_LCX,4081,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,14,0,0,,False
test_104,RCA,8484,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,0,0,0,,False
test_105,LAD_LCX,10913,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,14,0,0,,False
test_106,LAD_LCX,10369,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,16,0,0,,False
test_107,LAD_LCX,1955,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,4,0,0,,False
test_108,LAD_LCX,5453,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_109,LAD_LCX,5534,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_11,LAD_LCX,14197,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,23,0,0,,False
test_110,LAD_LCX,4924,0,0.0,5,0.9799917830731306,0.9010966693744923,1,0.9886271324126726,1,5,2,5.0,10,3,0,0.0,False
test_111,LAD_LCX,3168,0,0.0,7,1.0,1.0,0,0.0,2,7,1,3.5,16,0,0,,False
test_112,RCA,6362,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,4905,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,11,0,0,,False
test_114,RCA,5044,5044,1.0,6,1.0,1.0,0,0.0,1,6,1,6.0,11,0,0,,False
test_115,LAD_LCX,3879,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_116,LAD_LCX,4849,0,0.0,8,0.9885625,0.9622602598473912,1,0.41245617653124356,1,8,2,8.0,16,3,0,0.0,False
test_117,LAD_LCX,7946,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_118,LAD_LCX,3425,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,9,0,0,,False
test_119,RCA,6009,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_12,LAD_LCX,1766,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,8,0,0,,False
test_120,LAD_LCX,4677,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_121,RCA,6971,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_122,RCA,3195,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_123,LAD_LCX,4001,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,10,0,0,,False
test_124,LAD_LCX,7958,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,10,0,0,,False
test_125,LAD_LCX,3662,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,7,0,0,,False
test_126,RCA,16404,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_127,RCA,8648,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_128,LAD_LCX,2372,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,17,0,0,,False
test_129,LAD_LCX,2149,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,9,0,0,,False
test_13,RCA,10348,680,0.06571318129107073,2,0.9671370578001159,0.9342868187089293,1,0.9998067259373792,2,2,1,1.0,3,0,0,,False
test_130,RCA,13992,1,7.14694110920526e-05,12,0.999993669123047,0.999928530588908,1,0.9407518582046884,1,12,5,12.0,0,0,0,,False
test_131,LAD_LCX,6697,0,0.0,7,0.9735037984065221,0.8505300880991489,1,0.805883231297596,1,7,0,7.0,15,2,0,0.0,False
test_132,LAD_LCX,6750,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,15,0,0,,False
test_133,LAD_LCX,9418,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,13,0,0,,False
test_134,LAD_LCX,11565,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,18,0,0,,False
test_135,LAD_LCX,5063,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_136,RCA,4518,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_137,LAD_LCX,9983,0,0.0,17,1.0,1.0,0,0.0,1,17,4,17.0,33,0,0,,False
test_138,RCA,5398,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_139,RCA,5167,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_14,LAD_LCX,6890,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,17,0,0,,False
test_140,RCA,3413,743,0.21769704072663346,3,0.9456635318704284,0.8476413712276589,1,0.9346615880457075,1,3,1,3.0,7,0,0,,False
test_141,LAD_LCX,8520,0,0.0,11,0.9988193624557261,0.9998826291079812,1,0.00903755868544601,2,11,1,5.5,23,0,0,,False
test_142,LAD_LCX,4759,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_143,RCA,9529,3,0.000314828418511911,11,1.0,1.0,0,0.0,2,11,2,5.5,0,0,0,,False
test_144,RCA,9376,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_145,LAD_LCX,6847,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
test_146,LAD_LCX,7696,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,15,0,0,,False
test_147,LAD_LCX,9439,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,21,0,0,,False
test_148,LAD_LCX,5235,0,0.0,7,1.0,1.0,0,0.0,2,7,2,3.5,11,0,0,,False
test_149,RCA,8374,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,0,0,0,,False
test_15,LAD_LCX,3422,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,13,0,0,,False
test_150,RCA,16835,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_151,RCA,10013,0,0.0,9,1.0,1.0,0,0.0,2,9,2,4.5,0,0,0,,False
test_152,LAD_LCX,4015,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,4,0,0,,False
test_153,LAD_LCX,3892,0,0.0,10,0.9843163538873995,0.9699383350462487,1,0.19167523124357658,2,10,1,5.0,20,2,0,0.0,False
test_154,RCA,7582,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_155,RCA,5425,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_156,RCA,10921,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_157,LAD_LCX,8075,0,0.0,13,1.0,1.0,0,0.0,2,13,2,6.5,31,0,0,,False
test_158,LAD_LCX,6201,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,12,0,0,,False
test_159,LAD_LCX,8107,0,0.0,4,0.9528923441823692,0.8236092265943012,1,0.9361046009621314,1,4,1,4.0,11,3,0,0.0,False
test_16,LAD_LCX,4700,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,12,0,0,,False
test_160,LAD_LCX,6126,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,15,0,0,,False
test_161,LAD_LCX,6804,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,19,0,0,,False
test_162,LAD_LCX,5253,0,0.0,11,0.9901913875598086,0.9921949362269179,1,0.07233961545783361,2,11,3,5.5,22,0,0,,False
