case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6449957228396663,0.7280803398986377,0.5789312039306111,0.6164726024563151,0.6101007542195687
test_101,0.930926216639838,0.9307933789941056,0.9310590922053511,0.9547397471971697,0.9547344895878443
test_102,0.8904260425193004,0.9085095350573782,0.8730483888822539,0.9031084612409978,0.9314251171510233
test_103,0.6924949572228611,0.8890873370228808,0.567099567098921,0.6239769918440657,0.6669643024470987
test_104,0.8424062214084844,0.9566233766221343,0.7525541479354796,0.8345727462362649,0.8657164241840543
test_105,0.7996338584570026,0.80510283275048,0.7942386831268119,0.8229708138598724,0.8560071493235579
test_106,0.8295145008809367,0.9312826047841956,0.7477971977461015,0.8188844995360763,0.8426190454388264
test_107,0.5025203567267642,0.8860528714636006,0.3507126104990967,0.4052690743126154,0.43462189692306386
test_108,0.7496468926547054,0.664996084572177,0.8589925146654683,0.7973778832000671,0.8083355521911578
test_109,0.8624999999992906,0.8924438393449754,0.8345003182672908,0.8693466455221447,0.8933367064293267
test_10,0.8834039120786918,0.8703806723349993,0.8968227972478735,0.9288269326082897,0.927744857305578
test_110,0.7808305811251628,0.8718029185613184,0.7070501399838292,0.7825622341494296,0.791330949639739
test_111,0.626596156325775,0.7979632063048687,0.5158207687396139,0.7234927936384624,0.7012703898791487
test_112,0.8216806498862553,0.9345652832460852,0.7331273764249844,0.7994383787827262,0.8235548902343496
test_113,0.6866023075106454,0.8430994602913587,0.5791076393478365,0.7525660267864297,0.7237776475647725
test_114,0.5537695268277459,0.9220909776302536,0.39570750647066893,0.5294743928554474,0.5232949612226694
test_115,0.707232851142597,0.8073726827172227,0.6291929591487393,0.7431854674976727,0.7571816997903572
test_116,0.607543698251511,0.659608469834879,0.5630968622091352,0.5664705517946153,0.6310908808342159
test_117,0.7939664038391075,0.8159718144441386,0.7731167241562555,0.8193369260689584,0.84850409629191
test_118,0.7368703108243075,0.7770556654400197,0.7006369426733742,0.7849924101730896,0.8049299023712347
test_119,0.7755295605431746,0.7525694124854233,0.7999347790627753,0.7050798811929304,0.7605887823677998
test_11,0.6929871616061606,0.5970176843917696,0.8257201295373907,0.706222992939447,0.7423141446415841
test_120,0.5610740775508768,0.6191462909228779,0.5129613733896773,0.566212124496689,0.5960373701139167
test_121,0.7935298346507594,0.8764491027459481,0.7249441744375082,0.785094113745956,0.7805574411090155
test_122,0.8280825203888884,0.9109781843739938,0.7590149516248637,0.8484390770515067,0.8693477476334117
test_123,0.7589611928500454,0.7006381039185039,0.8278759155518572,0.803330666699291,0.810720539438249
test_124,0.7474642931066303,0.8714854591518384,0.6543444776654396,0.7548556671800234,0.7986674107021539
test_125,0.8192180675393425,0.8632689717088836,0.7794445570630865,0.8447197805284378,0.8545430651317184
test_126,0.8480344760902655,0.9415986749273408,0.7713840586989791,0.7555845254909599,0.8522715092636465
test_127,0.9014271490204108,0.9302431784439659,0.8743427406364691,0.9344684164974932,0.9302533410289737
test_128,0.5459517531003555,0.5309650455916965,0.5618090452250014,0.59717930780188,0.5896606101805562
test_129,0.7824294731408187,0.8284233496976857,0.7412741030003874,0.8201008325723173,0.8575916871348567
test_12,0.5675122104922522,0.7810060711154336,0.44568176193901093,0.6848331116145358,0.6908738481793661
test_130,0.770586716819423,0.9151265656469167,0.6654777070059456,0.7390903323253796,0.7677243583862949
test_131,0.8453682914457554,0.8163379493624054,0.8765395013504408,0.8804127081224138,0.8824267541572539
test_132,0.7135298563865498,0.8028348688861761,0.6421040698326242,0.7011094589881961,0.7305743231298436
test_133,0.8220006044117951,0.83384426731981,0.8104886769956192,0.7871356012166336,0.8363167720786484
test_134,0.7747995166424394,0.7362212943624882,0.8176443310910994,0.7252571420424456,0.7613823364991307
test_135,0.6892576147069492,0.7837023914955116,0.6151279199101569,0.7344880465275572,0.7638311971003242
test_136,0.7749227373061589,0.8945973496413974,0.6834890965721441,0.7660349066660129,0.79500578079817
test_137,0.717670543308142,0.678621255641626,0.7614881664971346,0.7283453864157483,0.7585338044704897
test_138,0.8103934916148012,0.8708296164123625,0.7578015836038537,0.8537548828964224,0.8425813822999708
test_139,0.8877014565191004,0.920958512158582,0.8567626018950978,0.919082074286234,0.9179024922537531
test_13,0.7841330367541658,0.7479288745193494,0.8240204808539358,0.6874594934169432,0.760335946432443
test_140,0.7351767388815064,0.9125973106832534,0.6155131264901778,0.8004049418980212,0.7732306162501426
test_141,0.8621675366636451,0.8203642384096258,0.9084599266619847,0.9163301526526108,0.9305856782865934
test_142,0.5758960789025933,0.7550462573575377,0.46545690213808755,0.5314149924438866,0.5604331207795574
test_143,0.8270711143691225,0.946612125025229,0.7343368592345529,0.8156937878800945,0.8186109059285347
test_144,0.8667854635774789,0.9276467868690156,0.8134184655915542,0.9203447672421134,0.9201200332638997
test_145,0.711317277752614,0.8119831713320587,0.6328584350965254,0.781115988431245,0.7840021471134565
test_146,0.08077544426484308,0.043333333333275555,0.5941499085814598,0.10783331222838449,0.06094021952290021
test_147,0.736876966384858,0.8146453089237394,0.6726626861154315,0.7318505354203279,0.7820567369007324
test_148,0.6822429906537805,0.9403984884903119,0.5352952678915376,0.5953193471796708,0.5903307846357921
test_149,0.8178569465056804,0.923057830726082,0.7341822130088498,0.8590855292728024,0.8572274113090854
test_14,0.7222258592466629,0.7754815127220926,0.6758147512856214,0.6518987227884679,0.6705796689753626
test_150,0.8919621559323279,0.922241312419818,0.8636080548054476,0.803201885434899,0.8352682199953968
test_151,0.7855383459271132,0.8952326577211007,0.6997917286516663,0.7502169443342945,0.7608254519405738
test_152,0.7849709918033105,0.7426380902583332,0.8324218749983742,0.7968518039849509,0.829302372987045
test_153,0.6156358048399773,0.8802526778333418,0.473342194652971,0.5808563559621649,0.6163561686257046
test_154,0.9125470434388514,0.9553893415240345,0.873382173381107,0.9601570997827904,0.9575871768947001
test_155,0.8542259170124303,0.8916121175203355,0.8198488241869824,0.8940158196466673,0.9364903913744562
test_156,0.8793161086962704,0.8684905660369164,0.890414933745149,0.8889030931548122,0.8840695761322396
test_157,0.6541615416150809,0.7693791440617608,0.5689578318618446,0.6287100288518629,0.6593718590588417
test_158,0.889251439538494,0.8279127948519873,0.9604063018222214,0.876717792710197,0.9469696919595172
test_159,0.8178720597929117,0.8456642800308606,0.7918484622743515,0.8324440569758587,0.8150535560838236
test_15,0.6548545861291679,0.6402449693777074,0.6701465201452927,0.6376019198445751,0.631014466197459
test_160,0.7514782297072643,0.7193825042869307,0.7865716429092525,0.7643064768854055,0.7865342515513724
test_161,0.5931288666575009,0.5928947368413251,0.5933631814582653,0.5996814182264505,0.6791855956646348
test_162,0.6008856905614441,0.5780854746364291,0.6255582769044438,0.582819667578699,0.5986324864486043
test_163,0.6540016615892251,0.6334763948491057,0.6759015455058088,0.70344478843752,0.7218406461887287
test_164,0.8433143358168844,0.8713535060683614,0.8170234454624243,0.9028104309271335,0.9025857875735993
test_165,0.9062060654746309,0.8883288706875977,0.9248175780922154,0.9275328529154662,0.9768063969771451
test_166,0.6829777244505801,0.7466636249563742,0.6293020572960687,0.6635640189782637,0.6655330388966542
test_167,0.9178349154457415,0.9169702298700433,0.9187012333243653,0.9373104161652819,0.9814918076568362
test_168,0.7319566550800123,0.6897880539485746,0.7796167247369782,0.6502069334182725,0.732366482763758
test_169,0.8510154592294248,0.8948207171300481,0.8112989452379551,0.8990560555881868,0.9043358518810857
test_16,0.7472428942878622,0.8214074512106813,0.685361842104136,0.7335787475576431,0.7507243783987891
test_170,0.7162901641639425,0.6957884694007145,0.7380367211208066,0.7073544412234642,0.759463820688438
test_171,0.8233084614989984,0.8693321899443999,0.7819128422668897,0.8177264044284784,0.8308127097184881
test_172,0.8423336265019981,0.8701393095083341,0.8162499999990723,0.7778773419858508,0.7978235547798547
test_173,0.7083746775150286,0.7817564607963405,0.6475870827280047,0.6822472352648392,0.704032547713731
test_174,0.9141454592427557,0.9764322772927605,0.8593287025788802,0.8468376688233136,0.9324109853657774
test_175,0.8065350015506119,0.8080389516204205,0.8050366394872484,0.8543610785101688,0.8447860247917369
test_176,0.8169517008077349,0.9229299363047526,0.7328051247465165,0.8153031913129665,0.8241970030010933
test_177,0.6936936936931455,0.8115754437854815,0.6057134971010134,0.701859735778934,0.7279938257109586
test_178,0.823331085634446,0.8244429439512192,0.8222222222166854,0.8840044612507669,0.8985519687462673
test_179,0.2881423715254067,0.38436916510967095,0.2304493842951696,0.35003401084783603,0.31238259420512166
test_17,0.6704605611425748,0.5934864104953292,0.7703771289514283,0.6879702030095187,0.6854490626668172
test_180,0.7220686932476864,0.5969321148805583,0.9135864135818502,0.6990740082635588,0.7241937674454902
test_181,0.7392717509064302,0.8003059663428859,0.6868872549013595,0.7721823907242037,0.798202052129732
test_182,0.7807745504827441,0.7698602113850329,0.7920028060301929,0.8019588301544911,0.8705847984618211
test_183,0.7929358998314366,0.8371313011730914,0.7531729830471703,0.8257022396455869,0.8273564856749902
test_184,0.8724221921510839,0.9109302588437764,0.8370378063971363,0.8961505349003599,0.9256683698684822
test_185,0.893563381390614,0.8431460005934536,0.9503938327451812,0.9511815500801472,0.9558166015248513
test_186,0.5772633163932078,0.5184246112229236,0.6511677282364094,0.5306193352658503,0.5251371756815549
test_187,0.63761582769794,0.768874572174816,0.5446377638326517,0.6500360283041835,0.6742935251242502
test_188,0.5922699045318451,0.4807402949135108,0.7711803041255825,0.5504702083957065,0.6282071594111476
test_189,0.828029678482417,0.7385294117636199,0.9422138836755306,0.7708806137572042,0.8282768353204084
test_18,0.7441946869768306,0.7324922289253383,0.7562771380012153,0.7421545622182321,0.7319813713808772
test_190,0.8079178885625113,0.8996586017501861,0.7331559211313254,0.8323640764006035,0.8638436432896024
test_191,0.7046194847492563,0.7451072490985673,0.6683050133398845,0.7292190348370949,0.7449390544132558
test_192,0.7395291541193953,0.7549252480078875,0.7247484909447018,0.7691483169869521,0.7648047196187409
test_193,0.8800136251376308,0.9092028857981538,0.8526402640249957,0.9285114178714652,0.9266195454035681
test_194,0.569894591665565,0.6693277797053461,0.4961832061064446,0.5185424153527036,0.540861003492816
test_195,0.9392217257381722,0.932707220402436,0.9458278724325505,0.9629263138280435,0.9783698157813236
test_196,0.89165879377049,0.9505523066920398,0.8396372610911785,0.9107603167188292,0.9146984488380333
test_197,0.7605592562764362,0.8821531669198809,0.6684251157994487,0.6932357622747203,0.7094849391458183
test_198,0.8335577246711262,0.9585833172034864,0.7373827601596883,0.8494855229797936,0.839822835178945
test_199,0.7765442641613167,0.8678685047710838,0.7026098901092869,0.7704973140216895,0.7732731203815187
test_19,0.7080053753116202,0.7704198871936803,0.6549458355526061,0.649538774937328,0.6799180648055874
test_1,0.6716780897629363,0.7875907362585766,0.5855068739553058,0.6304137696731343,0.6348935622674173
test_200,0.8111723763894011,0.8536910197860981,0.772688135008806,0.8632948766118039,0.8837334722350827
test_201,0.6448307173429466,0.7544392168754676,0.5630309208284482,0.6077760699319343,0.6642733603241983
test_202,0.7555576312344687,0.8059984057385352,0.7110583684944523,0.7850080638032086,0.7958426082624267
test_203,0.9207759835261077,0.9388882749464703,0.9033492822956901,0.9386451907713345,0.9537908892704926
test_204,0.8933702677743699,0.8814868804658298,0.9055784350423769,0.9245749457249315,0.9414882878673999
test_205,0.8012921585967768,0.803114400246066,0.7994781674462439,0.8123512573216282,0.8230099815823805
test_206,0.8342272670569825,0.9377453729655949,0.7512918445284752,0.8480609776917847,0.8374426566434798
test_207,0.6261048909836283,0.8587593453205521,0.49263938796743634,0.6385690080633716,0.6392239591808202
test_208,0.6809839906284391,0.7316459236465308,0.636883749238809,0.7087325852129056,0.7453707387529411
test_209,0.8682566723448475,0.9542334096099914,0.7964924466046218,0.8597511133796603,0.8958857093254223
test_20,0.8639021511716839,0.8350098517050346,0.894865525671377,0.8469260287392658,0.8744303586766864
test_210,0.6727344232818289,0.8112466124650254,0.5746232843837463,0.7087953066769123,0.7647638923778411
test_211,0.461150834184228,0.33261296660085204,0.7516093229728045,0.3968103009750857,0.48085213868734406
test_212,0.6970946750978855,0.8700526195358727,0.5814984709471231,0.6718444027387968,0.7078109886626279
test_213,0.5077927731819697,0.5751479289929484,0.45455962587614257,0.4561134391105136,0.4612228303234795
test_214,0.6461302812404177,0.6878340429380488,0.609194480102207,0.6595253260878675,0.7271689122543309
test_215,0.7527380492194914,0.829829545452188,0.6887526526746316,0.8461229360035746,0.8510579087793424
test_216,0.7926050420164261,0.8349013657047699,0.754387568555069,0.7585014041655116,0.8488301582905481
test_217,0.8278598365804416,0.879255674231576,0.7821407363414622,0.8090475317483624,0.8187412989606846
test_218,0.5934351641205755,0.6001314636277386,0.5868866509528745,0.5587976035569924,0.652295486867955
test_219,0.6775694141585422,0.6320857065356223,0.7301065162895832,0.6692461880297405,0.7146359561158194
test_21,0.6329113924046587,0.6739278420685174,0.5966011811490941,0.5862313998173398,0.5997479216478329
test_220,0.7961174287477775,0.6941586458673297,0.9331846068031977,0.7604976418973542,0.8049037776783196
test_221,0.8699023104354566,0.9504608294924434,0.8019326433753776,0.8518592039515744,0.8627585751722257
test_222,0.6256626429069262,0.6751206064773603,0.5829564389424149,0.6042198220107912,0.6453985425490261
test_223,0.8216527926332039,0.8540216550649129,0.79164799713165,0.8199115337328143,0.8116193639818201
test_224,0.6569532495455985,0.9400530503968805,0.5049008434006697,0.5615791445150351,0.6058548960684622
test_225,0.7080257204091998,0.7913228639861707,0.6405946994175387,0.685453975958281,0.7943909157723996
test_226,0.6953362320562896,0.8123869171874567,0.6077675968340194,0.6683568319048505,0.6784778771984801
test_227,0.8314210976144542,0.9506633499165181,0.7387582270903765,0.7667261525473315,0.7815015856356675
test_228,0.873395247199622,0.9371336459540781,0.8177749360603354,0.8943181508541201,0.9110296171405787
test_229,0.6956977964320148,0.897057165406588,0.5681639648642661,0.6358825984035039,0.6587624091939194
test_22,0.8448039215682133,0.8629080712989555,0.8274438256185639,0.8715917874513434,0.8903087762978963
test_230,0.7725357179562274,0.8066108606988552,0.741222879683687,0.7223737033635483,0.7641442714932336
test_231,0.748947822118174,0.8020199826229343,0.7024636164741724,0.6903370524156027,0.7534002762243611
test_232,0.5360676380639179,0.48463164742155695,0.599718253168445,0.5112060378822284,0.5630445395966711
test_233,0.7819021648390105,0.7836903168219727,0.7801221543578232,0.753170041547264,0.7711079822443523
test_234,0.8076970928541418,0.8412232204553893,0.7767408470919863,0.8318628578412695,0.8351390790159462
test_235,0.7045351985555592,0.8405114401065403,0.6064284327047907,0.6605663051045598,0.7019546454254721
test_236,0.6568787384442967,0.5955768418078665,0.7322480083118597,0.6474285516312448,0.6213710522874967
test_237,0.774059139784426,0.83294764246336,0.7229475269887987,0.7922324831936863,0.800878173336775
test_238,0.705994472504807,0.7324500692095463,0.6813833701238385,0.7374959714550108,0.7054895413010751
test_239,0.8062074186214929,0.906961890566517,0.7256004087877268,0.7714751186354989,0.7725486714147598
test_23,0.6254826254820766,0.5758603974784685,0.6844632225836672,0.6111803162351108,0.657322178162622
test_240,0.78923429431251,0.7689078430060845,0.8106646058726916,0.7654537976298063,0.8128819884107349
test_241,0.8547251759765951,0.8822074509184075,0.8289034132159347,0.8870657403125785,0.8974842907175334
test_242,0.7609068845079258,0.7336757990859204,0.7902373048066025,0.7732243868139224,0.7781602674472167
test_243,0.40604520529597027,0.4894405932605361,0.3469317792248349,0.406830384625681,0.38437996832893034
test_244,0.4840532166935629,0.4939557373991186,0.4745399321056378,0.4376458823744999,0.45039037031921136
test_245,0.559823399557881,0.9112468559076132,0.40401465668248526,0.6080406189554591,0.6508544900862934
test_246,0.7150312553760881,0.6655989750153046,0.7723949944235258,0.7118592170008943,0.7603387294762556
test_247,0.8488730139174474,0.9066035253868632,0.7980546549319151,0.8820591347081043,0.8850317915005718
test_248,0.8551177318591692,0.8051125438289728,0.9117458690906728,0.842366913773515,0.8487962238888527
test_249,0.8792919092307951,0.9371913384817815,0.8281302450477473,0.8828874506134052,0.8958624025674796
test_24,0.5273239436613776,0.8843537414932564,0.37566222507565317,0.5537813307345661,0.556569510563068
test_250,0.779132130667492,0.878383949428503,0.7000328551082027,0.7557861249556315,0.7554556889087556
