case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,5624,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,20,0,0,,False
test_10,LAD_LCX,12404,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,16,0,0,,False
test_100,LAD_LCX,8925,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,14,0,0,,False
test_101,RCA,6895,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,15769,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,12,0,0,,False
test_103,LAD_LCX,6899,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,22,0,0,,False
test_104,RCA,8241,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_105,LAD_LCX,9545,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,19,0,0,,False
test_106,LAD_LCX,10031,0,0.0,9,1.0,1.0,0,0.0,2,9,4,4.5,22,0,0,,False
test_107,LAD_LCX,2753,0,0.0,10,1.0,1.0,0,0.0,2,10,3,5.0,19,0,0,,False
test_108,LAD_LCX,5485,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,13,0,0,,False
test_109,LAD_LCX,4963,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,12,0,0,,False
test_11,LAD_LCX,14431,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,19,0,0,,False
test_110,LAD_LCX,6062,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,15,0,0,,False
test_111,LAD_LCX,3002,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_112,RCA,6123,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_113,LAD_LCX,5096,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,18,0,0,,False
test_114,RCA,4972,4972,1.0,6,0.9922686945500634,0.9754625905068383,1,0.5289621882542237,1,6,2,6.0,17,16,0,0.0,False
test_115,LAD_LCX,4755,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,19,0,0,,False
test_116,LAD_LCX,5103,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,23,0,0,,False
test_117,LAD_LCX,9275,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,18,0,0,,False
test_118,LAD_LCX,2666,0,0.0,4,1.0,1.0,0,0.0,2,4,2,2.0,4,0,0,,False
test_119,RCA,5507,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_12,LAD_LCX,2398,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,7,0,0,,False
test_120,LAD_LCX,5032,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,17,0,0,,False
test_121,RCA,5898,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_122,RCA,2344,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,3816,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_124,LAD_LCX,7430,0,0.0,4,0.9369016234216734,0.7551816958277254,1,0.9699865410497981,2,4,0,2.0,15,15,0,0.0,False
test_125,LAD_LCX,3216,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,6,0,0,,False
test_126,RCA,15654,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,9052,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_128,LAD_LCX,5249,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,17,0,0,,False
test_129,LAD_LCX,2652,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_13,RCA,11191,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,0,0,0,,False
test_130,RCA,14000,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,0,0,0,,False
test_131,LAD_LCX,6976,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_132,LAD_LCX,7048,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,10,0,0,,False
test_133,LAD_LCX,9118,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,21,0,0,,False
test_134,LAD_LCX,8045,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,17,0,0,,False
test_135,LAD_LCX,4760,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_136,RCA,5112,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_137,LAD_LCX,11790,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,24,0,0,,False
test_138,RCA,5196,2946,0.5669745958429562,6,1.0,1.0,0,0.0,1,6,0,6.0,9,0,0,,False
test_139,RCA,5721,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_14,LAD_LCX,8036,0,0.0,9,1.0,1.0,0,0.0,2,9,2,4.5,20,0,0,,False
test_140,RCA,2411,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_141,LAD_LCX,8413,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,13,0,0,,False
test_142,LAD_LCX,2900,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,12,0,0,,False
test_143,RCA,7263,5377,0.7403276882830786,8,0.9963285519125683,0.9822387443205287,1,0.6047087980173482,2,8,3,4.0,10,0,0,,False
test_144,RCA,8938,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_145,LAD_LCX,5375,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,11,0,0,,False
test_146,LAD_LCX,8894,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,13,0,0,,False
test_147,LAD_LCX,7912,0,0.0,13,0.9987096079946481,0.9979777553083923,2,0.5630687563195147,1,13,3,13.0,32,2,0,0.0,False
test_148,LAD_LCX,6586,0,0.0,5,0.9146079158701881,0.6746128150622532,2,0.9400242939568783,2,5,2,2.5,14,10,4,0.4,False
test_149,RCA,7093,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_15,LAD_LCX,5225,0,0.0,8,0.9766295025728988,0.9374162679425837,1,0.33473684210526317,1,8,1,8.0,16,3,0,0.0,False
test_150,RCA,16971,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_151,RCA,10304,0,0.0,7,1.0,1.0,0,0.0,2,7,2,3.5,0,0,0,,False
test_152,LAD_LCX,6216,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,16,0,0,,False
test_153,LAD_LCX,4299,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,8,0,0,,False
test_154,RCA,7565,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_155,RCA,6656,0,0.0,9,1.0,1.0,0,0.0,1,9,3,9.0,0,0,0,,False
test_156,RCA,10543,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_157,LAD_LCX,8361,0,0.0,7,1.0,1.0,0,0.0,2,7,3,3.5,14,0,0,,False
test_158,LAD_LCX,2935,0,0.0,5,0.9663325267888005,0.8340715502555366,1,0.9856899488926746,1,5,3,5.0,7,4,4,1.0,False
test_159,LAD_LCX,7997,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,15,0,0,,False
test_16,LAD_LCX,3744,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_160,LAD_LCX,5775,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,7,0,0,,False
test_161,LAD_LCX,7099,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_162,LAD_LCX,5920,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,9,0,0,,False
test_163,LAD_LCX,7253,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_164,LAD_LCX,3569,0,0.0,16,1.0,1.0,0,0.0,1,16,7,16.0,29,0,0,,False
test_165,RCA,12257,39,0.003181855266378396,5,0.999360393603936,0.9968181447336216,1,0.994941665986783,1,5,0,5.0,2,0,0,,False
test_166,LAD_LCX,6308,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,12,0,0,,False
test_167,RCA,15592,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_168,LAD_LCX,5654,0,0.0,5,0.9947826086956522,0.9962858153519633,1,0.14237707817474354,2,5,0,2.5,19,0,0,,False
test_169,LAD_LCX,5853,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_17,LAD_LCX,4677,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,22,0,0,,False
test_170,LAD_LCX,7269,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,14,0,0,,False
test_171,LAD_LCX,8436,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_172,RCA,8916,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_173,LAD_LCX,8539,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_174,RCA,17642,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_175,LAD_LCX,8657,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,10,0,0,,False
test_176,LAD_LCX,10538,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,16,0,0,,False
test_177,LAD_LCX,9542,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,26,0,0,,False
test_178,LAD_LCX,2233,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,11,0,0,,False
test_179,LAD_LCX,2298,0,0.0,5,0.9580912863070539,0.9120974760661444,1,0.4194952132288947,1,5,0,5.0,10,1,0,0.0,False
test_18,LAD_LCX,4758,0,0.0,9,1.0,1.0,0,0.0,1,9,3,9.0,16,0,0,,False
test_180,LAD_LCX,2651,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,13,0,0,,False
test_181,LAD_LCX,10373,0,0.0,13,0.987746438403144,0.8725537453002988,1,0.8000578424756579,2,13,4,6.5,32,18,0,0.0,False
test_182,LAD_LCX,2967,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,4,0,0,,False
test_183,LAD_LCX,8616,0,0.0,16,0.9989725496277916,0.9938486536675951,1,0.37418755803156917,2,16,5,8.0,34,2,0,0.0,False
test_184,LAD_LCX,8832,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_185,LAD_LCX,6554,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_186,LAD_LCX,6134,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,15,0,0,,False
test_187,LAD_LCX,2391,0,0.0,6,0.9263826606875935,0.5880384776244248,1,0.9326641572563781,1,6,3,6.0,11,4,0,0.0,False
test_188,LAD_LCX,8217,0,0.0,12,1.0,1.0,0,0.0,2,12,1,6.0,25,0,0,,False
test_189,LAD_LCX,5585,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,10,0,0,,False
test_19,LAD_LCX,9336,0,0.0,5,0.9850229127081704,0.9282347900599829,1,0.9583333333333334,2,5,0,2.5,19,9,0,0.0,False
test_190,LAD_LCX,6730,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,9,0,0,,False
test_191,LAD_LCX,5851,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,9,0,0,,False
test_192,LAD_LCX,5741,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,17,0,0,,False
test_193,RCA,5171,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_194,LAD_LCX,8508,0,0.0,14,0.9780380673499268,0.9753173483779972,1,0.0802773859896568,1,14,3,14.0,28,0,0,,False
test_195,RCA,11175,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_196,RCA,16384,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,0,0,0,,False
test_197,RCA,4858,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_198,LAD_LCX,5175,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_199,LAD_LCX,9531,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,7,0,0,,False
test_2,LAD_LCX,8131,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,18,0,0,,False
test_20,RCA,8871,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,0,0,0,,False
test_200,LAD_LCX,10661,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,17,0,0,,False
test_201,LAD_LCX,6893,0,0.0,3,0.9225847728726807,0.9648919193384593,1,0.1511678514434934,2,3,0,1.5,9,2,0,0.0,False
test_202,LAD_LCX,8014,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,19,0,0,,False
test_203,RCA,8716,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_204,RCA,12876,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,0,0,0,,False
test_205,LAD_LCX,10107,0,0.0,14,1.0,1.0,0,0.0,1,14,7,14.0,29,0,0,,False
test_206,RCA,6452,0,0.0,5,1.0,1.0,0,0.0,1,5,3,5.0,0,0,0,,False
test_207,LAD_LCX,3646,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,18,0,0,,False
test_208,LAD_LCX,10601,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,10,0,0,,False
test_209,RCA,10509,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_21,LAD_LCX,8268,0,0.0,13,1.0,1.0,0,0.0,1,13,2,13.0,30,0,0,,False
test_210,LAD_LCX,6422,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,12,0,0,,False
test_211,LAD_LCX,9086,0,0.0,10,1.0,1.0,0,0.0,1,10,4,10.0,24,0,0,,False
test_212,LAD_LCX,5982,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,23,0,0,,False
test_213,LAD_LCX,4561,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_214,LAD_LCX,10904,0,0.0,8,0.999960430515986,0.9997248716067498,1,0.8691305942773294,1,8,3,8.0,16,0,0,,False
test_215,LAD_LCX,5342,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,10,0,0,,False
test_216,RCA,9531,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_217,RCA,11743,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,0,0,0,,False
test_218,LAD_LCX,10553,0,0.0,3,0.9362923111409999,0.8653463470103289,1,0.7045389936510945,1,3,0,3.0,13,7,0,0.0,False
test_219,LAD_LCX,8085,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,14,0,0,,False
test_22,RCA,9689,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,0,0,0,,False
test_220,LAD_LCX,11540,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_221,RCA,12558,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_222,LAD_LCX,6132,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,14,0,0,,False
