case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6095,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,18,0,0,,False
test_10,LAD_LCX,11214,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_100,LAD_LCX,6995,0,0.0,11,1.0,1.0,0,0.0,2,11,0,5.5,26,0,0,,False
test_101,RCA,7006,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_102,LAD_LCX,16623,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,19,0,0,,False
test_103,LAD_LCX,5369,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,16,0,0,,False
test_104,RCA,8562,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,9415,0,0.0,13,1.0,1.0,0,0.0,1,13,2,13.0,27,0,0,,False
test_106,LAD_LCX,9552,0,0.0,4,1.0,1.0,0,0.0,2,4,1,2.0,11,0,0,,False
test_107,LAD_LCX,1433,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,5,0,0,,False
test_108,LAD_LCX,4860,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,6,0,0,,False
test_109,LAD_LCX,5180,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,5,0,0,,False
test_11,LAD_LCX,9661,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,11,0,0,,False
test_110,LAD_LCX,7013,0,0.0,3,0.9332778702163061,0.8284614287751318,1,0.8569798944816769,1,3,0,3.0,8,2,2,1.0,False
test_111,LAD_LCX,2107,0,0.0,7,1.0,1.0,0,0.0,2,7,3,3.5,9,0,0,,False
test_112,RCA,6802,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_113,LAD_LCX,6119,0,0.0,4,0.9832122521107403,0.9441085144631476,1,0.8323255433894428,2,4,0,2.0,14,8,0,0.0,False
test_114,RCA,4814,1606,0.3336103032820939,10,0.9777365491651206,0.9501454092230993,1,0.22393020357291235,1,10,1,10.0,19,0,0,,False
test_115,LAD_LCX,4584,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,20,0,0,,False
test_116,LAD_LCX,1384,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
test_117,LAD_LCX,7455,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_118,LAD_LCX,3702,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,6,0,0,,False
test_119,RCA,5817,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,0,0,0,,False
test_12,LAD_LCX,1604,0,0.0,13,0.9663081688768229,0.9108478802992519,2,0.3260598503740648,2,13,2,6.5,24,2,1,0.5,False
test_120,LAD_LCX,4560,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,8,0,0,,False
test_121,RCA,6205,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,0,0,0,,False
test_122,RCA,2926,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_123,LAD_LCX,4404,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_124,LAD_LCX,8067,0,0.0,3,0.9175351745700886,0.7645965042766828,1,0.95153092847403,2,3,0,1.5,12,21,6,0.2857142857142857,False
test_125,LAD_LCX,3937,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_126,RCA,15991,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_127,RCA,8643,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,0,0,0,,False
test_128,LAD_LCX,7532,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,22,0,0,,False
test_129,LAD_LCX,2566,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_13,RCA,11625,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,0,0,0,,False
test_130,RCA,12048,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
