case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,5428,0,0.0,12,1.0,1.0,0,0.0,1,12,2,12.0,25,0,0,,False
test_10,LAD_LCX,12040,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,14,0,0,,False
test_100,LAD_LCX,7546,0,0.0,16,1.0,1.0,0,0.0,2,16,7,8.0,29,0,0,,False
test_101,RCA,7011,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,15606,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,11,0,0,,False
test_103,LAD_LCX,5872,3,0.0005108991825613079,4,1.0,1.0,0,0.0,1,4,1,4.0,8,0,0,,False
test_104,RCA,8401,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,7165,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,13,0,0,,False
test_106,LAD_LCX,11039,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,13,0,0,,False
test_107,LAD_LCX,1470,0,0.0,6,1.0,1.0,0,0.0,2,6,3,3.0,13,0,0,,False
test_108,LAD_LCX,4406,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,6,0,0,,False
test_109,LAD_LCX,4909,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,8,0,0,,False
test_11,LAD_LCX,10646,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,18,0,0,,False
test_110,LAD_LCX,4183,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,8,0,0,,False
test_111,LAD_LCX,2534,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,13,0,0,,False
test_112,RCA,6452,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_113,LAD_LCX,5102,0,0.0,5,0.9912087912087912,0.9984319874558997,1,0.03567228537828303,2,5,1,2.5,11,0,0,,False
test_114,RCA,4017,2382,0.5929798356982823,3,0.8659841623882087,0.8115509086382873,2,0.9213343291013194,1,3,0,3.0,19,0,0,,False
test_115,LAD_LCX,4512,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_116,LAD_LCX,2165,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,14,0,0,,False
test_117,LAD_LCX,8128,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,15,0,0,,False
test_118,LAD_LCX,3148,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,6,0,0,,False
test_119,RCA,5565,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,0,0,0,,False
test_12,LAD_LCX,2793,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,13,0,0,,False
test_120,LAD_LCX,4406,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,8,0,0,,False
test_121,RCA,6121,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_122,RCA,2618,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_123,LAD_LCX,4511,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,18,0,0,,False
