case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6756,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,18,0,0,,False
test_10,LAD_LCX,11494,0,0.0,10,1.0,1.0,0,0.0,1,10,4,10.0,19,0,0,,False
test_100,LAD_LCX,8943,0,0.0,7,1.0,1.0,0,0.0,2,7,2,3.5,19,0,0,,False
test_101,RCA,6855,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,13771,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_103,LAD_LCX,4703,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,16,0,0,,False
test_104,RCA,8292,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,7743,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,25,0,0,,False
test_106,LAD_LCX,10133,0,0.0,4,1.0,1.0,0,0.0,2,4,2,2.0,9,0,0,,False
test_107,LAD_LCX,2808,0,0.0,2,0.8423817863397548,0.9358974358974359,1,0.20334757834757836,2,2,0,1.0,11,9,0,0.0,False
test_108,LAD_LCX,4323,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_109,LAD_LCX,5308,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,7,0,0,,False
test_11,LAD_LCX,9870,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,16,0,0,,False
test_110,LAD_LCX,4782,0,0.0,10,0.9983767142457319,0.9878711836051861,1,0.7471769134253451,1,10,5,10.0,16,11,3,0.2727272727272727,False
test_111,LAD_LCX,3723,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,11,0,0,,False
test_112,RCA,6650,0,0.0,4,1.0,1.0,0,0.0,1,4,2,4.0,0,0,0,,False
test_113,LAD_LCX,6115,0,0.0,5,0.9391333049703972,0.8842191332788226,2,0.9175797219950941,2,5,1,2.5,12,9,0,0.0,False
test_114,RCA,6482,673,0.10382597963591485,16,1.0,1.0,0,0.0,1,16,4,16.0,14,0,0,,False
test_115,LAD_LCX,5459,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,18,0,0,,False
test_116,LAD_LCX,2765,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,14,0,0,,False
test_117,LAD_LCX,9151,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,16,0,0,,False
test_118,LAD_LCX,3812,0,0.0,10,1.0,1.0,0,0.0,2,10,3,5.0,21,0,0,,False
test_119,RCA,5868,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_12,LAD_LCX,3366,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,11,0,0,,False
test_120,LAD_LCX,4634,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,13,0,0,,False
test_121,RCA,6308,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_122,RCA,2821,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_123,LAD_LCX,4416,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,11,0,0,,False
test_124,LAD_LCX,7848,0,0.0,2,0.893599174086979,0.7898827726809379,1,0.9873853211009175,2,2,0,1.0,8,8,0,0.0,False
test_125,LAD_LCX,4346,0,0.0,5,0.9721717791411043,0.8695352047860101,1,0.9376438104003681,1,5,1,5.0,16,20,0,0.0,False
test_126,RCA,15046,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_127,RCA,8338,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_128,LAD_LCX,9502,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,15,0,0,,False
test_129,LAD_LCX,2484,0,0.0,9,1.0,1.0,0,0.0,1,9,4,9.0,14,0,0,,False
test_13,RCA,10702,3,0.00028032143524574845,3,0.9999045163754415,0.9997196785647543,1,0.9786021304429079,2,3,1,1.5,2,0,0,,False
test_130,RCA,11002,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_131,LAD_LCX,6325,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,15,0,0,,False
test_132,LAD_LCX,6325,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,9,0,0,,False
test_133,LAD_LCX,8573,0,0.0,8,0.9937115824283917,0.9869357284497842,2,0.954041759010848,1,8,3,8.0,24,20,18,0.9,False
test_134,LAD_LCX,10078,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,22,0,0,,False
test_135,LAD_LCX,5582,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,17,0,0,,False
test_136,RCA,4498,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_137,LAD_LCX,12475,0,0.0,7,0.9981159259669733,0.9877354709418837,1,0.9299398797595191,1,7,2,7.0,23,10,10,1.0,False
test_138,RCA,6133,0,0.0,5,1.0,1.0,0,0.0,1,5,3,5.0,0,0,0,,False
test_139,RCA,5760,0,0.0,10,1.0,1.0,0,0.0,1,10,6,10.0,0,0,0,,False
test_14,LAD_LCX,7007,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,12,0,0,,False
test_140,RCA,1559,498,0.3194355355997434,6,0.999001996007984,0.9980756895445798,1,0.32135984605516354,1,6,0,6.0,2,0,0,,False
test_141,LAD_LCX,8688,0,0.0,10,1.0,1.0,0,0.0,2,10,3,5.0,25,0,0,,False
test_142,LAD_LCX,732,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,17,0,0,,False
