case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_100,0.5339201877931139,0.6255500550046403,0.4657043407038639,0.5367130320752013
test_101,0.9375997778850992,0.9125793811634745,0.9640308307151527,0.9555349921168321
test_102,0.8401609802976814,0.9181436260989115,0.774388218358557,0.8307646986155574
test_103,0.3854452367888229,0.9759259259214078,0.2401458190929139,0.30676515508119195
test_104,0.8725224976531372,0.949189189188049,0.8073150796885907,0.884308375402914
test_105,0.7060254284130978,0.8357544823964982,0.6111589625795663,0.6949228270973584
test_106,0.7779772091660984,0.921669468894351,0.6730463671813715,0.7715660802871755
test_107,0.5574226152867247,0.9300168634024873,0.39797943351903664,0.5648910939386759
test_108,0.7570038910498472,0.72906127037525,0.7871737811029998,0.8047081349345514
test_109,0.8517268242007688,0.9337635224882639,0.7829408020356733,0.8928072931601836
test_10,0.8692549120766717,0.9150900697013532,0.8277923354071177,0.8847350448269555
test_110,0.744402007039059,0.9044585987244687,0.6324764571129645,0.7303896646813781
test_111,0.21249292319265428,0.9542372881194197,0.11955829263087799,0.3014849323318324
test_112,0.7776209961896587,0.9571031608180669,0.6548241444859139,0.6932791647582068
test_113,0.7665117696345193,0.9025834230339028,0.6660929432004951,0.792441100194868
test_114,0.511631587276063,0.9604872251902541,0.3486842105259397,0.48184838774101096
test_115,0.7409130561202472,0.8898719441189992,0.6346728661563689,0.7960232004884118
test_116,0.5387248609322435,0.7227324913871334,0.4293997271479717,0.5545189946587247
test_117,0.7809839690432387,0.7760079094795386,0.7860242572596127,0.8201735864847244
test_118,0.7571283095713377,0.7565504960550584,0.7577070063674963,0.8089489473626982
test_119,0.8278785823292963,0.8623918035667508,0.7960215229075558,0.7863984407970113
test_11,0.7763891386437797,0.8215984776395607,0.7358956877443873,0.7416548678406614
test_120,0.567572892040418,0.6658192743224732,0.4945922746772625,0.5806323017546741
test_121,0.8224593568711434,0.904251968502513,0.7542361749628869,0.8332273420364957
test_122,0.8562371215709998,0.9320220841927812,0.791849897388473,0.9041132134131484
test_123,0.7477816944199005,0.8580195257995592,0.6626454114591499,0.8580884170985932
test_124,0.7496465413411794,0.888089330023712,0.6485458004886757,0.7786483540220689
test_125,0.7481054179383009,0.8462128966201479,0.6703831339941813,0.7491791865287526
test_126,0.8513348842359446,0.9481801357181072,0.772439441149476,0.7703485000398117
test_127,0.8805123307674397,0.9239566140050413,0.8409700611644586,0.8926991918662511
test_128,0.8479576399386838,0.8005713265474013,0.901306532661505,0.854110186027379
test_129,0.5668361489247715,0.86399999999568,0.4217720283123706,0.6205926433247367
test_12,0.6515906477569291,0.6735340728983795,0.6310319227898267,0.7381198668878468
test_130,0.8292977777774829,0.9385915492950192,0.7428025477702275,0.8182894454078244
test_131,0.8668716717911445,0.8657677902608752,0.8679783718821449,0.911968978691655
test_132,0.7249800902570182,0.8743396830464634,0.6192041718618986,0.6919947055897386
test_133,0.7987121128007112,0.9053611880179897,0.7145411203806966,0.7681845920227514
test_134,0.7243330638638216,0.6419487730605034,0.8309761187099107,0.6657477916802207
