case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,5961,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,14,0,0,,False
test_10,LAD_LCX,11047,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_100,LAD_LCX,7272,0,0.0,9,1.0,1.0,0,0.0,2,9,3,4.5,19,0,0,,False
test_101,RCA,7401,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,15234,0,0.0,12,1.0,1.0,0,0.0,1,12,3,12.0,29,0,0,,False
test_103,LAD_LCX,2160,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,8,0,0,,False
test_104,RCA,8325,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_105,LAD_LCX,7641,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,14,0,0,,False
test_106,LAD_LCX,10111,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,6,0,0,,False
test_107,LAD_LCX,2372,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,8,0,0,,False
test_108,LAD_LCX,5337,0,0.0,11,1.0,1.0,0,0.0,1,11,7,11.0,11,0,0,,False
test_109,LAD_LCX,5269,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,12,0,0,,False
test_11,LAD_LCX,10510,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,25,0,0,,False
test_110,LAD_LCX,5495,0,0.0,8,0.9769259496372172,0.8425841674249318,1,0.8527752502274796,1,8,2,8.0,21,6,0,0.0,False
test_111,LAD_LCX,590,0,0.0,10,0.9991228070175439,0.9966101694915255,1,0.3864406779661017,2,10,2,5.0,19,0,0,,False
test_112,RCA,5758,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_113,LAD_LCX,5574,0,0.0,3,0.9523809523809524,0.9897739504843919,1,0.07158234660925726,2,3,0,1.5,10,1,1,1.0,False
test_114,RCA,3366,2878,0.8550207961972668,4,0.9260492674822094,0.8550207961972668,2,0.9848484848484849,1,4,1,4.0,8,0,0,,False
test_115,LAD_LCX,4295,0,0.0,4,1.0,1.0,0,0.0,1,4,3,4.0,5,0,0,,False
test_116,LAD_LCX,3484,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,16,0,0,,False
test_117,LAD_LCX,9103,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_118,LAD_LCX,3931,0,0.0,5,1.0,1.0,0,0.0,2,5,0,2.5,11,0,0,,False
test_119,RCA,5661,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_12,LAD_LCX,3786,0,0.0,3,0.8912310286677908,0.7955625990491284,1,0.6265187533016376,2,3,0,1.5,8,6,0,0.0,False
test_120,LAD_LCX,4327,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,10,0,0,,False
test_121,RCA,6350,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_122,RCA,2898,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,0,0,0,,False
test_123,LAD_LCX,3585,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,20,0,0,,False
test_124,LAD_LCX,8060,0,0.0,3,0.9114906832298137,0.745409429280397,1,0.9588089330024814,2,3,0,1.5,10,9,0,0.0,False
test_125,LAD_LCX,3908,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,12,0,0,,False
test_126,RCA,16210,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_127,RCA,8482,0,0.0,7,1.0,1.0,0,0.0,1,7,3,7.0,0,0,0,,False
test_128,LAD_LCX,5601,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,13,0,0,,False
test_129,LAD_LCX,2000,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_13,RCA,12392,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,0,0,0,,False
test_130,RCA,12425,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_131,LAD_LCX,6675,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,17,0,0,,False
test_132,LAD_LCX,6247,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_133,LAD_LCX,7946,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,10,0,0,,False
test_134,LAD_LCX,11166,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,17,0,0,,False
test_135,LAD_LCX,4817,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,13,0,0,,False
test_136,RCA,4920,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_137,LAD_LCX,11523,0,0.0,11,1.0,1.0,0,0.0,1,11,3,11.0,32,0,0,,False
test_138,RCA,4466,1572,0.35199283475145543,17,0.9237173959513447,0.6632333184057322,4,0.9137931034482759,1,17,9,17.0,34,0,0,,False
test_139,RCA,5565,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
