model,n_cases,territory_leakage_rate_mean,territory_leakage_rate_lad_lcx,territory_leakage_rate_rca,cases_with_leakage,mean_component_purity,area_weighted_purity,cases_with_mixed_component,mean_pred_components,mean_gt_components,mean_component_ratio,mean_noise_islands,n_cases_with_branch_paths,branch_inconsistent_path_rate_mean,cases_with_branch_inconsistency
ENetComboAG2,300,0.007414138132063634,0.001404168397973498,0.019434077600243908,15,0.9885957582247495,0.9737034058157376,70,4.863333333333333,1.2333333333333334,4.1466666666666665,0.93,51,0.1834513559185644,14
PUNet,300,0.017222132199388424,0.010032452558774729,0.03160149148061582,10,0.9942027801117804,0.9758343284474118,58,8.266666666666667,1.2333333333333334,7.177777777777777,1.0766666666666667,48,0.19391075005470548,17
ENetUpscaleSkipD1,300,0.013494565206507957,0.008024244654908419,0.024435206309707035,24,0.9903983949278075,0.9779466816234342,72,6.12,1.2333333333333334,5.288333333333333,1.61,48,0.20296466650633316,14
ENetUpscaleSkipD2,300,0.011710813007051816,0.004826452304182454,0.02547953441279054,20,0.9913756720063873,0.97904008037094,67,5.24,1.2333333333333334,4.471111111111111,1.11,50,0.15009673001198426,11
ENetE1,300,0.007773931673019155,6.298655343241331e-05,0.023195821912192636,13,0.9931519364820371,0.9795882138993662,57,6.196666666666666,1.2333333333333334,5.404444444444445,1.8833333333333333,47,0.26481586515181144,17
ENetComboEG2,300,0.016988765401985455,0.008638845043787603,0.03368860611838117,26,0.9915141183317706,0.9802665287383893,59,5.046666666666667,1.2333333333333334,4.354444444444445,1.1066666666666667,36,0.14307451807451807,10
ENetGlobalCtxG10,300,0.012355136011967298,0.005902521139510092,0.025260365756881713,11,0.993854836528074,0.9803274831932798,51,5.596666666666667,1.2333333333333334,4.841111111111112,1.2133333333333334,41,0.2637349100763735,15
ENetComboAG1,300,0.010008451249478812,0.012934438038475904,0.0041564776714846305,8,0.994602251680357,0.9807408808921015,47,6.07,1.2333333333333334,5.292777777777777,1.2166666666666666,41,0.06978756884343038,5
LMUNetM0,300,0.013297948043370547,0.011352783196237583,0.017188277737636478,10,0.9917076971978499,0.9810642643966205,62,8.296666666666667,1.2333333333333334,7.242222222222222,1.0,50,0.41096356421356417,27
ENetUpscaleArchUAS2,300,0.012970738984403606,0.005327888269920172,0.028256440413370467,19,0.9935277790298039,0.9812732174034657,55,5.596666666666667,1.2333333333333334,4.859444444444444,1.4466666666666668,34,0.17028478057889823,10
ENetSkipA3,300,0.010480186168551746,0.005681375282400753,0.020077807940853735,15,0.9927690325492279,0.981678321454613,58,5.086666666666667,1.2333333333333334,4.3661111111111115,0.8366666666666667,41,0.1568799493189737,9
ENet,300,0.013942595156538505,0.002844302678136611,0.036139180113342294,19,0.9939515212677471,0.9836607596683871,55,5.74,1.2333333333333334,4.942777777777778,1.4566666666666668,33,0.24611592111592112,11
ENetOriginal,300,0.013942595156538505,0.002844302678136611,0.036139180113342294,19,0.9939515212677471,0.9836607596683871,55,5.74,1.2333333333333334,4.942777777777778,1.4566666666666668,33,0.24611592111592112,11
ENetComboAG3,300,0.01419347161386646,0.012117335751619655,0.01834574333836007,11,0.9949912886187451,0.9859831357691322,48,5.82,1.2333333333333334,4.931666666666667,0.91,33,0.16269841269841268,7
ENetUpscaleArch,300,0.012145558607292928,0.006949508049536329,0.022537659722806132,19,0.9939125785338521,0.986504119323972,48,4.876666666666667,1.2333333333333334,4.179444444444444,0.9633333333333334,35,0.16653061224489793,8
ENetComboEG3,300,0.009271813672392888,0.00011500547645125958,0.027585430064276144,10,0.9966446384417335,0.9897548429145528,38,6.12,1.2333333333333334,5.241111111111111,1.3733333333333333,29,0.12873563218390804,5
ENetComboEG1,300,0.010235619809510817,0.005650895047140897,0.019405069334250662,6,0.9973467003706052,0.9913673589679248,25,5.976666666666667,1.2333333333333334,5.109444444444445,1.41,21,0.2857142857142857,6
LMUNet,300,0.01875766413043036,0.018136496195645547,0.02,9,0.9973247655408002,0.993383067769574,25,5.8133333333333335,1.2333333333333334,5.023888888888888,0.6366666666666667,16,0.20935691210122495,6
ENetGlobalCtxG3,300,0.01665222511218517,0.012797592335317257,0.024361490665921002,8,0.9980072115924061,0.9944081732739402,23,6.41,1.2333333333333334,5.559444444444445,1.79,18,0.011111111111111112,1
