abbrev,config_name,stage,channels,decoder_type,use_prelu,use_dilated,use_asymmetric
Base,nnUNetTrainerENet_1_naive_baseline_Baseline,1_naive_baseline,"16,64,128,64,16",upsample_conv,0,1,1
U2,nnUNetTrainerENet_1_naive_baseline_U2,1_naive_baseline,"8,32,64,32,8",upsample_conv,0,1,1
U3,nnUNetTrainerENet_1_naive_baseline_U3,1_naive_baseline,"8,24,48,24,8",upsample_conv,0,1,1
U4,nnUNetTrainerENet_1_naive_baseline_U4,1_naive_baseline,"4,16,32,16,4",upsample_conv,0,1,1
U6,nnUNetTrainerENet_1_naive_baseline_U6,1_naive_baseline,"4,12,24,12,4",upsample_conv,0,1,1
U8,nnUNetTrainerENet_1_naive_baseline_U8,1_naive_baseline,"4,8,16,8,4",upsample_conv,0,1,1
U16,nnUNetTrainerENet_1_naive_baseline_U16,1_naive_baseline,"4,4,8,4,4",upsample_conv,0,1,1
E1,nnUNetTrainerENet_1_naive_baseline_E1,1_naive_baseline,"20,72,144,72,20",upsample_conv,0,1,1
S2-PReLU,nnUNetTrainerENet_2_special_ops_prelu,2_special_ops,"4,16,32,16,4",upsample_conv,1,1,1
S2-MaxUnpool,nnUNetTrainerENet_2_special_ops_maxunpool,2_special_ops,"4,16,32,16,4",max_unpool,0,1,1
S2-NoDilated,nnUNetTrainerENet_2_special_ops_no_dilated,2_special_ops,"4,16,32,16,4",upsample_conv,0,0,1
S2-NoAsym,nnUNetTrainerENet_2_special_ops_no_asymmetric,2_special_ops,"4,16,32,16,4",upsample_conv,0,1,0
S3-Transfer,nnUNetTrainerENet_3_transfer_original,3_transfer_original,"16,64,128,64,16",max_unpool,1,1,1
S4-E1Shape,nnUNetTrainerENet_4_1_e1_shape,4_arch_probes,"4,16,28,16,4",upsample_conv,1,1,0
S4-ExtraInitial,nnUNetTrainerENet_4_2_extra_initial,4_arch_probes,"8,16,32,16,4",upsample_conv,1,1,0
S4-ShallowDilation,nnUNetTrainerENet_4_4_1_shallow_dilation,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-SeparableDilated,nnUNetTrainerENet_4_4_2_separable_dilated,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-MergeDilatedPairs,nnUNetTrainerENet_4_4_3_merge_dilated_pairs,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-DscDilatedOnly,nnUNetTrainerENet_4_4_4_dsc_dilated_only,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-DoubleProjections,nnUNetTrainerENet_4_5_double_projections,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-TwoBlockSkip,nnUNetTrainerENet_4_6_two_block_skip,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-DscNoProjection,nnUNetTrainerENet_4_7_dsc_no_projection,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-DenseDilation,nnUNetTrainerENet_4_8_dense_dilation,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S4-ShallowDilationWide,nnUNetTrainerENet_4_9_shallow_dilation_wide,4_arch_probes,"4,16,32,16,4",upsample_conv,1,1,0
S5-DscNoProjDense,nnUNetTrainerENet_5_1_dscnoprojection_dense_dilation,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
S5-ShallowWideDense,nnUNetTrainerENet_5_2_dense_dilation_shallow_wide_dense,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
S5-MergeDense,nnUNetTrainerENet_5_3_dense_dilation_merge_pairs,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
S5-DenseE1Shape,nnUNetTrainerENet_5_4_dense_dilation_e1shape,5_arch_probe_pairs,"4,16,28,16,4",upsample_conv,1,1,0
S5-DscNoProjE1Shape,nnUNetTrainerENet_5_5_dscnoprojection_e1shape,5_arch_probe_pairs,"4,16,28,16,4",upsample_conv,1,1,0
S5-SeparableDense,nnUNetTrainerENet_5_6_separable_dense_dilation,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
S5-MergeSeparable,nnUNetTrainerENet_5_7_merge_pairs_separable,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
S5-ShallowWideMerge,nnUNetTrainerENet_5_8_shallow_wide_merge_pairs,5_arch_probe_pairs,"4,16,32,16,4",upsample_conv,1,1,0
