stage,width,params_per_block,flops_per_block
f1,4,35,2424832.0
f1,8,104,7733248.0
f1,12,207,15925248.0
f1,16,344,27000832.0
f1,20,515,40960000.0
f1,24,720,57802752.0
f1,28,959,77529088.0
f1,32,1232,100139008.0
f1,36,1539,125632512.0
f1,40,1880,154009600.0
f1,44,2255,185270272.0
f1,48,2664,219414528.0
f1,52,3107,256442368.0
f1,56,3584,296353792.0
f1,60,4095,339148800.0
f1,64,4640,384827392.0
f1,68,5219,433389568.0
f1,72,5832,484835328.0
f1,76,6479,539164672.0
f1,80,7160,596377600.0
f1,84,7875,656474112.0
f1,88,8624,719454208.0
f1,92,9407,785317888.0
f1,96,10224,854065152.0
f1,100,11075,925696000.0
f1,104,11960,1000210432.0
f1,108,12879,1077608448.0
f1,112,13832,1157890048.0
f1,116,14819,1241055232.0
f1,120,15840,1327104000.0
f1,124,16895,1416036352.0
f1,128,17984,1507852288.0
f1,132,19107,1602551808.0
f1,136,20264,1700134912.0
f1,140,21455,1800601600.0
f1,144,22680,1903951872.0
f1,148,23939,2010185728.0
f1,152,25232,2119303168.0
f1,156,26559,2231304192.0
f1,160,27920,2346188800.0
f2=f3 (stage23),4,35,606208.0
f2=f3 (stage23),8,104,1933312.0
f2=f3 (stage23),12,207,3981312.0
f2=f3 (stage23),16,344,6750208.0
f2=f3 (stage23),20,515,10240000.0
f2=f3 (stage23),24,720,14450688.0
f2=f3 (stage23),28,959,19382272.0
f2=f3 (stage23),32,1232,25034752.0
f2=f3 (stage23),36,1539,31408128.0
f2=f3 (stage23),40,1880,38502400.0
f2=f3 (stage23),44,2255,46317568.0
f2=f3 (stage23),48,2664,54853632.0
f2=f3 (stage23),52,3107,64110592.0
f2=f3 (stage23),56,3584,74088448.0
f2=f3 (stage23),60,4095,84787200.0
f2=f3 (stage23),64,4640,96206848.0
f2=f3 (stage23),68,5219,108347392.0
f2=f3 (stage23),72,5832,121208832.0
f2=f3 (stage23),76,6479,134791168.0
f2=f3 (stage23),80,7160,149094400.0
f2=f3 (stage23),84,7875,164118528.0
f2=f3 (stage23),88,8624,179863552.0
f2=f3 (stage23),92,9407,196329472.0
f2=f3 (stage23),96,10224,213516288.0
f2=f3 (stage23),100,11075,231424000.0
f2=f3 (stage23),104,11960,250052608.0
f2=f3 (stage23),108,12879,269402112.0
f2=f3 (stage23),112,13832,289472512.0
f2=f3 (stage23),116,14819,310263808.0
f2=f3 (stage23),120,15840,331776000.0
f2=f3 (stage23),124,16895,354009088.0
f2=f3 (stage23),128,17984,376963072.0
f2=f3 (stage23),132,19107,400637952.0
f2=f3 (stage23),136,20264,425033728.0
f2=f3 (stage23),140,21455,450150400.0
f2=f3 (stage23),144,22680,475987968.0
f2=f3 (stage23),148,23939,502546432.0
f2=f3 (stage23),152,25232,529825792.0
f2=f3 (stage23),156,26559,557826048.0
f2=f3 (stage23),160,27920,586547200.0
f4,4,29,2228224.0
f4,8,92,7340032.0
f4,12,189,15335424.0
f4,16,320,26214400.0
f4,20,485,39976960.0
f4,24,684,56623104.0
f4,28,917,76152832.0
f4,32,1184,98566144.0
f4,36,1485,123863040.0
f4,40,1820,152043520.0
f4,44,2189,183107584.0
f4,48,2592,217055232.0
f4,52,3029,253886464.0
f4,56,3500,293601280.0
f4,60,4005,336199680.0
f4,64,4544,381681664.0
f4,68,5117,430047232.0
f4,72,5724,481296384.0
f4,76,6365,535429120.0
f4,80,7040,592445440.0
f4,84,7749,652345344.0
f4,88,8492,715128832.0
f4,92,9269,780795904.0
f4,96,10080,849346560.0
f4,100,10925,920780800.0
f4,104,11804,995098624.0
f4,108,12717,1072300032.0
f4,112,13664,1152385024.0
f4,116,14645,1235353600.0
f4,120,15660,1321205760.0
f4,124,16709,1409941504.0
f4,128,17792,1501560832.0
f4,132,18909,1596063744.0
f4,136,20060,1693450240.0
f4,140,21245,1793720320.0
f4,144,22464,1896873984.0
f4,148,23717,2002911232.0
f4,152,25004,2111832064.0
f4,156,26325,2223636480.0
f4,160,27680,2338324480.0
f5,4,29,8912896.0
f5,8,92,29360128.0
f5,12,189,61341696.0
f5,16,320,104857600.0
f5,20,485,159907840.0
f5,24,684,226492416.0
f5,28,917,304611328.0
f5,32,1184,394264576.0
f5,36,1485,495452160.0
f5,40,1820,608174080.0
f5,44,2189,732430336.0
f5,48,2592,868220928.0
f5,52,3029,1015545856.0
f5,56,3500,1174405120.0
f5,60,4005,1344798720.0
f5,64,4544,1526726656.0
f5,68,5117,1720188928.0
f5,72,5724,1925185536.0
f5,76,6365,2141716480.0
f5,80,7040,2369781760.0
f5,84,7749,2609381376.0
f5,88,8492,2860515328.0
f5,92,9269,3123183616.0
f5,96,10080,3397386240.0
f5,100,10925,3683123200.0
f5,104,11804,3980394496.0
f5,108,12717,4289200128.0
f5,112,13664,4609540096.0
f5,116,14645,4941414400.0
f5,120,15660,5284823040.0
f5,124,16709,5639766016.0
f5,128,17792,6006243328.0
f5,132,18909,6384254976.0
f5,136,20060,6773800960.0
f5,140,21245,7174881280.0
f5,144,22464,7587495936.0
f5,148,23717,8011644928.0
f5,152,25004,8447328256.0
f5,156,26325,8894545920.0
f5,160,27680,9353297920.0
