stage,width,params_per_filter,flops_per_filter
f_i,4,16.0,1966080.0
f_i,8,16.0,1966080.0
f_i,12,16.0,1966080.0
f_i,16,16.0,1966080.0
f_i,20,16.0,1966080.0
f_i,24,16.0,1966080.0
f_i,28,16.0,1966080.0
f_i,32,16.0,1966080.0
f_i,36,16.0,1966080.0
f_i,40,16.0,1966080.0
f_i,44,16.0,1966080.0
f_i,48,16.0,1966080.0
f_i,52,16.0,1966080.0
f_i,56,16.0,1966080.0
f_i,60,16.0,1966080.0
f_i,64,16.0,1966080.0
f_i,68,16.0,1966080.0
f_i,72,16.0,1966080.0
f_i,76,16.0,1966080.0
f_i,80,16.0,1966080.0
f_i,84,16.0,1966080.0
f_i,88,16.0,1966080.0
f_i,92,16.0,1966080.0
f_i,96,16.0,1966080.0
f_i,100,16.0,1966080.0
f_i,104,16.0,1966080.0
f_i,108,16.0,1966080.0
f_i,112,16.0,1966080.0
f_i,116,16.0,1966080.0
f_i,120,16.0,1966080.0
f_i,124,16.0,1966080.0
f_i,128,16.0,1966080.0
f_i,132,16.0,1966080.0
f_i,136,16.0,1966080.0
f_i,140,16.0,1966080.0
f_i,144,16.0,1966080.0
f_i,148,16.0,1966080.0
f_i,152,16.0,1966080.0
f_i,156,16.0,1966080.0
f_i,160,16.0,1966080.0
f1,4,39.5,2056192.0
f1,8,54.5,2990080.0
f1,12,69.5,3923968.0
f1,16,84.5,4857856.0
f1,20,99.5,5791744.0
f1,24,114.5,6725632.0
f1,28,129.5,7659520.0
f1,32,144.5,8593408.0
f1,36,159.5,9527296.0
f1,40,174.5,10461184.0
f1,44,189.5,11395072.0
f1,48,204.5,12328960.0
f1,52,219.5,13262848.0
f1,56,234.5,14196736.0
f1,60,249.5,15130624.0
f1,64,264.5,16064512.0
f1,68,279.5,16998400.0
f1,72,294.5,17932288.0
f1,76,309.5,18866176.0
f1,80,324.5,19800064.0
f1,84,339.5,20733952.0
f1,88,354.5,21667840.0
f1,92,369.5,22601728.0
f1,96,384.5,23535616.0
f1,100,399.5,24469504.0
f1,104,414.5,25403392.0
f1,108,429.5,26337280.0
f1,112,444.5,27271168.0
f1,116,459.5,28205056.0
f1,120,474.5,29138944.0
f1,124,489.5,30072832.0
f1,128,504.5,31006720.0
f1,132,519.5,31940608.0
f1,136,534.5,32874496.0
f1,140,549.5,33808384.0
f1,144,564.5,34742272.0
f1,148,579.5,35676160.0
f1,152,594.5,36610048.0
f1,156,609.5,37543936.0
f1,160,624.5,38477824.0
f2=f3 (stage23),4,64.75,1067008.0
f2=f3 (stage23),8,92.25,1562624.0
f2=f3 (stage23),12,119.75,2058240.0
f2=f3 (stage23),16,147.25,2553856.0
f2=f3 (stage23),20,174.75,3049472.0
f2=f3 (stage23),24,202.25,3545088.0
f2=f3 (stage23),28,229.75,4040704.0
f2=f3 (stage23),32,257.25,4536320.0
f2=f3 (stage23),36,284.75,5031936.0
f2=f3 (stage23),40,312.25,5527552.0
f2=f3 (stage23),44,339.75,6023168.0
f2=f3 (stage23),48,367.25,6518784.0
f2=f3 (stage23),52,394.75,7014400.0
f2=f3 (stage23),56,422.25,7510016.0
f2=f3 (stage23),60,449.75,8005632.0
f2=f3 (stage23),64,477.25,8501248.0
f2=f3 (stage23),68,504.75,8996864.0
f2=f3 (stage23),72,532.25,9492480.0
f2=f3 (stage23),76,559.75,9988096.0
f2=f3 (stage23),80,587.25,10483712.0
f2=f3 (stage23),84,614.75,10979328.0
f2=f3 (stage23),88,642.25,11474944.0
f2=f3 (stage23),92,669.75,11970560.0
f2=f3 (stage23),96,697.25,12466176.0
f2=f3 (stage23),100,724.75,12961792.0
f2=f3 (stage23),104,752.25,13457408.0
f2=f3 (stage23),108,779.75,13953024.0
f2=f3 (stage23),112,807.25,14448640.0
f2=f3 (stage23),116,834.75,14944256.0
f2=f3 (stage23),120,862.25,15439872.0
f2=f3 (stage23),124,889.75,15935488.0
f2=f3 (stage23),128,917.25,16431104.0
f2=f3 (stage23),132,944.75,16926720.0
f2=f3 (stage23),136,972.25,17422336.0
f2=f3 (stage23),140,999.75,17917952.0
f2=f3 (stage23),144,1027.25,18413568.0
f2=f3 (stage23),148,1054.75,18909184.0
f2=f3 (stage23),152,1082.25,19404800.0
f2=f3 (stage23),156,1109.75,19900416.0
f2=f3 (stage23),160,1137.25,20396032.0
f4,4,36.75,2424832.0
f4,8,49.25,3473408.0
f4,12,61.75,4521984.0
f4,16,74.25,5570560.0
f4,20,86.75,6619136.0
f4,24,99.25,7667712.0
f4,28,111.75,8716288.0
f4,32,124.25,9764864.0
f4,36,136.75,10813440.0
f4,40,149.25,11862016.0
f4,44,161.75,12910592.0
f4,48,174.25,13959168.0
f4,52,186.75,15007744.0
f4,56,199.25,16056320.0
f4,60,211.75,17104896.0
f4,64,224.25,18153472.0
f4,68,236.75,19202048.0
f4,72,249.25,20250624.0
f4,76,261.75,21299200.0
f4,80,274.25,22347776.0
f4,84,286.75,23396352.0
f4,88,299.25,24444928.0
f4,92,311.75,25493504.0
f4,96,324.25,26542080.0
f4,100,336.75,27590656.0
f4,104,349.25,28639232.0
f4,108,361.75,29687808.0
f4,112,374.25,30736384.0
f4,116,386.75,31784960.0
f4,120,399.25,32833536.0
f4,124,411.75,33882112.0
f4,128,424.25,34930688.0
f4,132,436.75,35979264.0
f4,136,449.25,37027840.0
f4,140,461.75,38076416.0
f4,144,474.25,39124992.0
f4,148,486.75,40173568.0
f4,152,499.25,41222144.0
f4,156,511.75,42270720.0
f4,160,524.25,43319296.0
f5,4,44.75,16515072.0
f5,8,53.25,19398656.0
f5,12,61.75,22282240.0
f5,16,70.25,25165824.0
f5,20,78.75,28049408.0
f5,24,87.25,30932992.0
f5,28,95.75,33816576.0
f5,32,104.25,36700160.0
f5,36,112.75,39583744.0
f5,40,121.25,42467328.0
f5,44,129.75,45350912.0
f5,48,138.25,48234496.0
f5,52,146.75,51118080.0
f5,56,155.25,54001664.0
f5,60,163.75,56885248.0
f5,64,172.25,59768832.0
f5,68,180.75,62652416.0
f5,72,189.25,65536000.0
f5,76,197.75,68419584.0
f5,80,206.25,71303168.0
f5,84,214.75,74186752.0
f5,88,223.25,77070336.0
f5,92,231.75,79953920.0
f5,96,240.25,82837504.0
f5,100,248.75,85721088.0
f5,104,257.25,88604672.0
f5,108,265.75,91488256.0
f5,112,274.25,94371840.0
f5,116,282.75,97255424.0
f5,120,291.25,100139008.0
f5,124,299.75,103022592.0
f5,128,308.25,105906176.0
f5,132,316.75,108789760.0
f5,136,325.25,111673344.0
f5,140,333.75,114556928.0
f5,144,342.25,117440512.0
f5,148,350.75,120324096.0
f5,152,359.25,123207680.0
f5,156,367.75,126091264.0
f5,160,376.25,128974848.0
