config_name,filter,bottleneck,params,macs,activation_elements,memory_bits,macs_ratio,memory_ratio,dice,dice_ratio,dice_is_placeholder,score
2a_OF_2,OF,2,822,40333312.0,1458176,11671984,0.00839809369157922,0.28674773574125767,0.7800019869577919,1.0,True,-0.23495139018905437
2a_OF_3,OF,3,900,41136128.0,1458176,11672608,0.00856525387879863,0.28676306566178383,0.7800019869577919,1.0,True,-0.23489056015313917
2a_OF_5,OF,5,1040,42348544.0,1458176,11673728,0.008817699875823861,0.28679058090375387,0.7800019869577919,1.0,True,-0.23479723974014075
2a_OF_native,OF,native,1258,44363776.0,1458176,11675472,0.009237306060068501,0.28683342606625,0.7800019869577919,1.0,True,-0.23464308929122715
2a_O16_2,O16,2,1219,43794432.0,1474560,11806232,0.00911875878443841,0.29004583056624994,0.7800019869577919,1.0,True,-0.2336118035497705
2a_O16_3,O16,3,1447,46186496.0,1474560,11808056,0.009616827913704407,0.2900906411031725,0.7800019869577919,1.0,True,-0.233430843661041
2a_O16_5,O16,5,1863,50053120.0,1474560,11811384,0.010421925958271358,0.290172400679312,0.7800019869577919,1.0,True,-0.23313522445413887
2a_O16_native,O16,native,2507,56311808.0,1474560,11816536,0.011725093132104307,0.2902989707923741,0.7800019869577919,1.0,True,-0.23265864535850717
2a_O8_2,O8,2,3278,76709888.0,1638400,13133424,0.015972326460434207,0.32265119576328166,0.7800019869577919,1.0,True,-0.22045882592542804
2a_O8_3,O8,3,4022,84639744.0,1638400,13139376,0.017623459738274908,0.32279741962060804,0.7800019869577919,1.0,True,-0.21985970688037235
2a_O8_5,O8,5,5398,98140160.0,1638400,13150384,0.020434480029474775,0.32306785514168485,0.7800019869577919,1.0,True,-0.2188325549429468
2a_O8_native,O8,native,7518,119570432.0,1638400,13167344,0.024896633598515346,0.323484514520088,0.7800019869577919,1.0,True,-0.21720628396046554
2a_O4_2,O4,2,10702,194641920.0,1966080,15814256,0.04052781681972627,0.38851167894272287,0.7800019869577919,1.0,True,-0.19032016807918362
2a_O4_3,O4,3,13342,223084544.0,1966080,15835376,0.04645006345264249,0.3890305377913004,0.7800019869577919,1.0,True,-0.18817313291868568
2a_O4_5,O4,5,18270,273154048.0,1966080,15874800,0.056875400843306084,0.38999907430864517,0.7800019869577919,1.0,True,-0.18437517494934957
2a_O4_native,O4,native,25838,351666176.0,1966080,15935344,0.0732229848668859,0.3914864696745674,0.7800019869577919,1.0,True,-0.17843018181951556
2a_O2_2,O2,2,39045,663027712.0,2883584,23381032,0.138053846048879,0.5744060294542804,0.7800019869577919,1.0,True,-0.09584670816561353
2a_O2_3,O2,3,48933,770244608.0,2883584,23460136,0.16037825962365077,0.5763493916871344,0.7800019869577919,1.0,True,-0.0877574495630716
2a_O2_5,O2,5,67493,962658304.0,2883584,23608616,0.20044212163803338,0.5799971266225885,0.7800019869577919,1.0,True,-0.07318691724645937
2a_O2_native,O2,native,95941,1262288896.0,2883584,23836200,0.26283039722718776,0.5855882237908967,0.7800019869577919,1.0,True,-0.05052712632730516
2a_Original_2,Original,2,149209,2463301632.0,4718592,38942408,0.5129020373074247,0.9567051598350579,0.7800019869577919,1.0,True,0.15653573238082746
2a_Original_3,Original,3,187417,2879062016.0,4718592,39248072,0.5994705456927255,0.9642144624435618,0.7800019869577919,1.0,True,0.18789500271209575
2a_Original_5,Original,5,259353,3632988160.0,4718592,39823560,0.7564510186537123,0.978352579917529,0.7800019869577919,1.0,True,0.2449345328570804
2a_Original_native,Original,native,369497,4802674688.0,4718592,40704712,1.0,1.0,0.7800019869577919,1.0,True,0.3333333333333333
