config_name,channels,k,total_channels,params,macs,memory_bits,macs_ratio,memory_ratio,savings
Original,"(16, 64, 128, 64, 16)",0,288,369497,4802674688.0,40704712,1.0,1.0,0.0
Original_fixfi_k1,"(16, 56, 120, 56, 8)",1,256,319893,4019257344.0,33754280,0.836878948732994,0.8292474836819875,0.1669367837925093
Original_fixfi_k2,"(16, 48, 112, 48, 4)",2,228,274550,3348725760.0,28935088,0.6972626666484724,0.7108535247712845,0.29594190429012157
Original_fixfi_k3,"(16, 40, 104, 40, 4)",3,204,233246,2770632704.0,26245360,0.5768936861209285,0.6447744919556242,0.3891659109617236
Original_fixfi_k4,"(16, 32, 96, 32, 4)",4,180,195590,2257715200.0,23584816,0.47009538364968684,0.5794124277307257,0.4752460943097938
Original_fixfi_k5,"(16, 24, 88, 24, 4)",5,156,161582,1809973248.0,20953456,0.37686775923474747,0.5147673320965888,0.5541824543343319
Original_fixfi_k6,"(16, 16, 80, 16, 4)",6,132,131222,1427406848.0,18351280,0.2972108128761104,0.4508392050532135,0.625974991035338
Original_fixfi_k7,"(16, 8, 72, 8, 4)",7,108,104510,1110016000.0,15778288,0.23112454457377563,0.38762804660059996,0.6906237044128122
Original_fixfi_k8,"(16, 4, 64, 4, 4)",8,92,82363,871284736.0,14290392,0.18141656318655078,0.35107463725575555,0.7337543997788468
Original_fixfi_k9,"(16, 4, 56, 4, 4)",9,84,63827,680837120.0,13879960,0.1417620730592361,0.3409914802983989,0.7586232233211825
Original_fixfi_k10,"(16, 4, 48, 4, 4)",10,76,47667,515063808.0,13488536,0.10724520011462413,0.331375296304762,0.780689751790307
Original_fixfi_k11,"(16, 4, 40, 4, 4)",11,68,33883,373964800.0,13116120,0.07786594435271482,0.32222608527484486,0.7999539851862202
Original_fixfi_k12,"(16, 4, 32, 4, 4)",12,60,22475,257540096.0,12762712,0.05362430577350818,0.3135438472086475,0.8164159235089221
Original_fixfi_k13,"(16, 4, 24, 4, 4)",13,52,13443,165789696.0,12428312,0.03452028437700422,0.3053285821061699,0.830075566758413
Original_fixfi_k14,"(16, 4, 16, 4, 4)",14,44,6787,98713600.0,12112920,0.020553880163202927,0.29758028996741215,0.8409329149346925
Original_fixfi_k15,"(16, 4, 8, 4, 4)",15,36,2507,56311808.0,11816536,0.011725093132104307,0.2902989707923741,0.8489879680377608
Original_fixfi_k16,"(16, 4, 4, 4, 4)",16,32,1258,44363776.0,11675472,0.009237306060068501,0.28683342606625,0.8519646339368407
