variant,layer,stage,op_type,cin,cout,groups,kh,kw,sh,sw,dh,dw,lut,bram18,cycles
S5.6 (baseline),initial.conv,initial,Conv2d,1,3,1,3,3,2,2,1,1,2626.8,12,65536
S5.6 (baseline),initial.pool,initial,MaxPool2d,1,1,1,2,2,2,2,1,1,434,4,65536
S5.6 (baseline),down1.pool,stage1,MaxPool2d,4,4,1,2,2,2,2,1,1,458,2,16384
S5.6 (baseline),down1.reduce.0,stage1,Conv2d,4,4,1,2,2,2,2,1,1,5231.6,18,16384
S5.6 (baseline),down1.conv.0,stage1,Conv2d,4,4,1,3,3,1,1,1,1,10863.6,36,16384
S5.6 (baseline),down1.expand.0,stage1,Conv2d,4,16,1,1,1,1,1,1,1,5231.6,18,16384
S5.6 (baseline),regular1.0.reduce.0,stage1,Conv2d,16,4,1,1,1,1,1,1,1,5231.6,24,16384
S5.6 (baseline),regular1.0.conv,stage1,Conv2d,4,4,1,3,3,1,1,1,1,10863.6,36,16384
S5.6 (baseline),regular1.0.expand.0,stage1,Conv2d,4,16,1,1,1,1,1,1,1,5231.6,18,16384
S5.6 (baseline),regular1.1.reduce.0,stage1,Conv2d,16,4,1,1,1,1,1,1,1,5231.6,24,16384
S5.6 (baseline),regular1.1.conv,stage1,Conv2d,4,4,1,3,3,1,1,1,1,10863.6,36,16384
S5.6 (baseline),regular1.1.expand.0,stage1,Conv2d,4,16,1,1,1,1,1,1,1,5231.6,18,16384
S5.6 (baseline),regular1.2.reduce.0,stage1,Conv2d,16,4,1,1,1,1,1,1,1,5231.6,24,16384
S5.6 (baseline),regular1.2.conv,stage1,Conv2d,4,4,1,3,3,1,1,1,1,10863.6,36,16384
S5.6 (baseline),regular1.2.expand.0,stage1,Conv2d,4,16,1,1,1,1,1,1,1,5231.6,18,16384
S5.6 (baseline),regular1.3.reduce.0,stage1,Conv2d,16,4,1,1,1,1,1,1,1,5231.6,24,16384
S5.6 (baseline),regular1.3.conv,stage1,Conv2d,4,4,1,3,3,1,1,1,1,10863.6,36,16384
S5.6 (baseline),regular1.3.expand.0,stage1,Conv2d,4,16,1,1,1,1,1,1,1,5231.6,18,16384
S5.6 (baseline),down2.pool,context,MaxPool2d,16,16,1,2,2,2,2,1,1,554,8,4096
S5.6 (baseline),down2.reduce.0,context,Conv2d,16,8,1,2,2,2,2,1,1,36770.8,128,4096
S5.6 (baseline),down2.conv.0,context,Conv2d,8,8,1,3,3,1,1,1,1,41276.4,136,4096
