config_name,stage,f_i,f1,f2,f3,f4,f5,bottlenecks_per_stage,decoder_type,ops_flags,quant_bits,params,flops,bops,dice,dice_binary,dice_LAD,dice_RCA,dice_LCX,dice_LM,cldice,cldice_LAD,cldice_RCA,cldice_LCX,cldice_LM,n_components,epochs,converged_flag,seed,mem_elements
nnUNetTrainerENet_1_naive_baseline_Baseline,1_naive_baseline,16.0,64.0,128.0,128.0,64.0,16.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,365804.0,9657253888.0,,0.8057669495950552,0.7580864916411368,0.6607830566243619,0.9200845915541735,0.834268519099097,0.8079316311025885,0.8138904618998826,0.6739346426898587,0.9213141696490352,0.8344543074039802,0.8258587278566561,4.953333333333333,149.0,False,0.0,356352.0
nnUNetTrainerENet_1_naive_baseline_U2,1_naive_baseline,8.0,32.0,64.0,64.0,32.0,8.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,93744.0,2527461376.0,,0.7988240979968959,0.755439497716469,0.6847175748765484,0.903587440757504,0.8067387449991328,0.8002526313543984,0.807826361608144,0.6954184778424145,0.9061684219507136,0.811924086577987,0.8177944600614612,6.366666666666666,149.0,False,0.0,178944.0
nnUNetTrainerENet_1_naive_baseline_U8,1_naive_baseline,4.0,8.0,16.0,16.0,8.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,6841.0,232783872.0,,0.6555120252749986,0.6681647761280313,0.5621763271777164,0.8080497095263994,0.562761373578037,0.6890606908178416,0.6621209318401691,0.5694363932310101,0.8110932296821138,0.5640059221624769,0.7039481822850756,9.453333333333331,138.0,False,0.0,47168.0
nnUNetTrainerENet_1_naive_baseline_U16,1_naive_baseline,4.0,4.0,8.0,8.0,4.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,2120.0,110755840.0,,0.3753555761199659,0.594312665662779,0.3536942339048144,0.4205020148714979,0.1155348294937157,0.6116912262098355,0.3839877802721004,0.3604825813949978,0.4251555117781525,0.1200163640824398,0.6302966638328119,10.476666666666668,150.0,False,0.0,25632.0
nnUNetTrainerENet_2_special_ops_prelu,2_special_ops,4.0,16.0,32.0,32.0,16.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=1,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,25553.0,700186624.0,,0.7742653195575352,0.7256539899489599,0.6748009659363035,0.8739201631501379,0.7764569038970445,0.771883245246655,0.7843206714055934,0.6922706434221046,0.8767824281989306,0.7794216001726523,0.788808013828686,5.79,148.0,False,0.0,90240.0
nnUNetTrainerENet_2_special_ops_maxunpool,2_special_ops,4.0,16.0,32.0,32.0,16.0,4.0,"4,8,8,2,1",max_unpool,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,24581.0,687996928.0,,0.5929471231064651,0.7214420332447755,0.5331788363974933,0.5047254317430035,0.6033333333333334,0.7305508909520304,0.596306048662629,0.5343459083435532,0.509165250625841,0.6033333333333334,0.7383797023477884,11.89,150.0,False,0.0,90240.0
nnUNetTrainerENet_2_special_ops_no_dilated,2_special_ops,4.0,16.0,32.0,32.0,16.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=0,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,24581.0,687996928.0,,0.3986326161784006,0.6583899763923198,0.3809142147551233,0.3780276351556245,0.2273591792662817,0.6082294355365728,0.4033725119276991,0.3905576364149881,0.3786252616375325,0.2220130896852993,0.6222940599729764,6.38,150.0,False,0.0,36992.0
nnUNetTrainerENet_2_special_ops_no_asymmetric,2_special_ops,4.0,16.0,32.0,32.0,16.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=default,prelu=0,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,24261.0,675414016.0,,0.7549686156788554,0.7238896677089357,0.6607103255461557,0.8402054935758866,0.7462466410907064,0.7727120025026731,0.7616853883657411,0.6703439110796544,0.8426723720430199,0.7500754105507274,0.7836498597895628,7.036666666666667,146.0,False,0.0,86016.0
nnUNetTrainerENet_3_transfer_original,3_transfer_original,16.0,64.0,128.0,128.0,64.0,16.0,"4,8,8,2,1",max_unpool,"dilated=1,asymmetric=1,strided=1,dsc=0,context_pattern=default,prelu=1,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0",32.0,369692.0,9706012672.0,,0.8136386749535464,0.7714585442298681,0.6984022279923815,0.9209552335895752,0.8234488924670201,0.8117483457652085,0.8193784843860169,0.7059472729062163,0.9212329748840145,0.8247886138023666,0.8255450759514705,5.6466666666666665,150.0,False,0.0,356352.0
nnUNetTrainerENet_4_1_e1_shape,4_arch_probes,4.0,16.0,28.0,28.0,16.0,4.0,"4,8,8,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=default,prelu=1,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0",32.0,20352.0,590077952.0,,0.7565088368063808,0.7256517708182885,0.6750798328278271,0.873632032356813,0.7323904159600464,0.7449330660808366,0.7638751981588165,0.6878493192508115,0.8768235447463887,0.7360034020271762,0.7548245266108896,6.22,149.0,False,0.0,77184.0
