config_name,stage,params,flops,mem_elements,dice,dice_LAD,dice_RCA,dice_LCX,dice_LM,macs_ratio,params_ratio,mem_ratio,dice_ratio,n_metrics_used,score_is_partial,score
nnUNetTrainerENet_1_naive_baseline_U16,1_naive_baseline,2120.0,110755840.0,25632.0,0.3753555761199659,0.3536942339048144,0.4205020148714979,0.1155348294937157,0.6116912262098355,0.1609830443894075,0.08624547414669867,0.28404255319148936,0.5024249344774352,4,False,0.007211534312540069
nnUNetTrainerENet_1_naive_baseline_U8,1_naive_baseline,6841.0,232783872.0,47168.0,0.6555120252749986,0.5621763271777164,0.8080497095263994,0.562761373578037,0.6890606908178416,0.3383501619356068,0.27830438143281394,0.5226950354609929,0.87742292189287,4,False,0.06548166423413593
nnUNetTrainerENet_21_2_u8,21_reginterleaved_separable_nonneg_block_double_mid_width,8696.0,264241152.0,76736.0,0.6990105654634649,0.6131791499792356,0.7979882968030563,0.6564360217400099,0.7284387933315574,0.38407315679176984,0.3537691713111753,0.850354609929078,0.9356470501447154,4,False,0.16313747197182693
nnUNetTrainerENet_5_7_merge_pairs_separable,5_arch_probe_pairs,18801.0,403439616.0,86976.0,0.7668801105453876,0.6750776267387776,0.8887251782801794,0.7584239416870046,0.7452936954755888,0.5863974090302915,0.764859037467963,0.9638297872340426,1.0264925148458979,4,False,0.3221484297215998
nnUNetTrainerENet_4_4_3_merge_dilated_pairs,4_arch_probes,20145.0,413401088.0,86016.0,0.7566609371518617,0.6549155340213799,0.8921873390488213,0.7147780530090849,0.7647628225281604,0.6008763574014098,0.8195354135307757,0.9531914893617022,1.0128138382807872,4,False,0.3401973555032752
nnUNetTrainerENet_4_1_e1_shape,4_arch_probes,20352.0,590077952.0,77184.0,0.7565088368063808,0.6750798328278271,0.873632032356813,0.7323904159600464,0.7449330660808366,0.857675271480282,0.8279565518083072,0.8553191489361702,1.0126102473100544,4,False,0.38208518122867624
nnUNetTrainerENet_4_4_4_dsc_dilated_only,4_arch_probes,21681.0,571211776.0,86016.0,0.7531734718914901,0.6504572503124263,0.8740997891308333,0.7363940931910578,0.7517427549316432,0.8302533815964945,0.8820227004597047,0.9531914893617022,1.0081457592208014,4,False,0.414330453049275
nnUNetTrainerENet_9_4_dense_dilation_dsc_projected_relu,9_dsc_projected_dense_dilation,16670.0,372899840.0,139264.0,0.7683782206073753,0.6521616739586541,0.9182498769893354,0.7274158572762233,0.7756854742052883,0.5420080015240998,0.6781660632195599,1.5432624113475177,1.0284977810457894,4,False,0.43373467376134706
nnUNetTrainerENet_9_1_dense_dilation_dsc_projected,9_dsc_projected_dense_dilation,17610.0,384040960.0,139264.0,0.7835786084323604,0.6884732473716875,0.9107376478286257,0.774299155234667,0.7608043832944612,0.5582015622023242,0.7164069810015866,1.5432624113475177,1.0488439656847486,4,False,0.44225674721667
nnUNetTrainerENet_4_4_2_separable_dilated,4_arch_probes,23857.0,646709248.0,86976.0,0.7615115011015193,0.6745532614685708,0.8769804446455407,0.7257980712980509,0.7687142269939148,0.9399885692512859,0.9705463569423538,0.9638297872340426,1.0193064666833727,4,False,0.4637645616860774
nnUNetTrainerENet_2_special_ops_no_dilated,2_special_ops,24581.0,687996928.0,36992.0,0.3986326161784006,0.3809142147551233,0.3780276351556245,0.2273591792662817,0.6082294355365728,1.0,1.0,0.4099290780141844,0.5335819654907428,4,False,0.4690867781308604
nnUNetTrainerENet_5_3_dense_dilation_merge_pairs,5_arch_probe_pairs,20145.0,413401088.0,139264.0,0.7898709395341688,0.6702443413357386,0.8993304462414561,0.8040100675434827,0.7858989030159975,0.6008763574014098,0.8195354135307757,1.5432624113475177,1.0572664435768206,4,False,0.4766019346757207
nnUNetTrainerENet_2_special_ops_no_asymmetric,2_special_ops,24261.0,675414016.0,86016.0,0.7549686156788554,0.6607103255461557,0.8402054935758866,0.7462466410907064,0.7727120025026731,0.9817108020575348,0.9869818152231398,0.9531914893617022,1.0105486141592246,4,False,0.477833873120788
nnUNetTrainerENet_4_6_two_block_skip,4_arch_probes,25201.0,686555136.0,86016.0,0.7428351767759374,0.639232982041361,0.8721994962495336,0.7233530996804161,0.7365551291324393,0.9979043627357592,1.0252227330051666,0.9531914893617022,0.9943076345824721,4,False,0.49550273763003905
nnUNetTrainerENet_5_4_dense_dilation_e1shape,5_arch_probe_pairs,20352.0,590077952.0,123776.0,0.7915470707976666,0.6887272799863835,0.8942326179878706,0.8052218481961081,0.7780065370203043,0.857675271480282,0.8279565518083072,1.371631205673759,1.0595099966071062,4,False,0.4994382580888104
nnUNetTrainerENet_1_naive_baseline_U4,1_naive_baseline,24581.0,687996928.0,90240.0,0.7470878739534846,0.6284143167559348,0.8633135620037986,0.7433838602705811,0.7532397567836239,1.0,1.0,1.0,1.0,4,False,0.5
nnUNetTrainerENet_4_2_extra_initial,4_arch_probes,25313.0,695992320.0,88064.0,0.7581273674841791,0.6482285930759916,0.8900562165836448,0.7315931059486156,0.7626315543284645,1.011621261192608,1.0297790976770675,0.975886524822695,1.0147767001922745,4,False,0.500627545875024
