config_name,stage,f_i,f1,f2,f3,f4,f5,bottlenecks_per_stage,decoder_type,ops_flags,quant_bits,params,flops,bops,dice,dice_binary,dice_LAD,dice_RCA,dice_LCX,dice_LM,cldice,cldice_LAD,cldice_RCA,cldice_LCX,cldice_LM,n_components,epochs,converged_flag,seed,mem_elements
nnUNetTrainerENet_8_2_relu_prune_stage3_0,experiment_8_2_relu_prune_stage3_0,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.0",32.0,35180.0,558497792.0,,0.8061981960559338,0.7252650784828251,0.6847043850237063,0.9202326556478384,0.8234964262021143,0.7963593173500763,0.8166179686191856,0.7006007868424254,0.9243091227178952,0.8297822638129829,0.8117797011034384,6.89,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage3_0to5,experiment_8_2_relu_prune_stage3_0to5,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.0,stage3.1,stage3.2,stage3.3,stage3.4,stage3.5",32.0,28236.0,482476032.0,,0.5863889812407499,0.5152599084561642,0.5406290005453219,0.5446672204852799,0.6417238335474007,0.618535870384997,0.5985385114586359,0.5570128032726896,0.5504619287457084,0.6495663166592256,0.6371129971569199,7.113333333333333,150.0,,0.0,409088.0
nnUNetTrainerENet_8_2_relu_prune_stage2_0,experiment_stage2_0,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.0",32.0,35180.0,558497792.0,,0.7635789240376187,0.6829125200086371,0.6547421733650705,0.8907475362130919,0.7818974121158239,0.7269285744564886,0.7739050333978312,0.6702502319211476,0.8952021775323917,0.7881681467286037,0.7419995774091817,6.183333333333334,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage2_5,experiment_stage2_5,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.5",32.0,35180.0,558497792.0,,0.777351105967075,0.6802413111135476,0.6605608281552274,0.9005680605368739,0.8087885610491321,0.7394869741270663,0.7881325054219168,0.6762019831642883,0.9063602444026824,0.8166998587631604,0.7532679353575361,6.733333333333333,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage2_10,experiment_stage2_10,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.10",32.0,35180.0,558497792.0,,0.7980865590471671,0.7197350595424081,0.6745898518849082,0.9195479615140014,0.7986749559401493,0.7995334668496092,0.8080623160773426,0.6914577156236722,0.9245408091456973,0.8047337607999085,0.8115169787400928,6.723333333333334,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage3_5,experiment_stage3_5,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.5",32.0,35180.0,558497792.0,,0.808452184020749,0.7334579283517972,0.6991932847358368,0.907769207453451,0.8280939339898439,0.7987523099038647,0.817735365224951,0.7138926973695834,0.9109929065752927,0.8338897380355966,0.8121661189193314,6.43,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage3_10,experiment_stage3_10,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.10",32.0,35180.0,558497792.0,,0.7449852508306134,0.7215330894206833,0.6687645888712362,0.892988863950441,0.8149607433998264,0.6032268071009501,0.7532643206580154,0.6744233302637025,0.893576094221387,0.8197008699312233,0.6253569882157486,8.083333333333334,150.0,,0.0,532992.0
nnUNetTrainerENet_8_2_relu_prune_stage2_1,experiment_stage2_1,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.1",32.0,34924.0,570294272.0,,0.7803263672730205,0.7204481592615756,0.6667067358072888,0.9009560515694304,0.792272695468417,0.7613699862469454,0.7898841186708956,0.6829250442244456,0.9042620689261844,0.7968519567723272,0.7754974047606253,5.96,150.0,,0.0,525824.0
nnUNetTrainerENet_8_2_relu_prune_stage2_2,experiment_stage2_2,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.2",32.0,34924.0,570294272.0,,0.7916826357267686,0.7270566566882618,0.6840148484968794,0.9088438983424764,0.7998735992454828,0.7739981968222354,0.8001758282198052,0.698478701184156,0.9124519566379516,0.8044717272718752,0.785300927785238,6.05,150.0,,0.0,517632.0
nnUNetTrainerENet_8_2_relu_prune_stage2_3,experiment_stage2_3,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.3",32.0,34924.0,570294272.0,,0.7911082610419012,0.7246337195931067,0.6831026507943496,0.8814838128759092,0.8066848214105675,0.7931617590867784,0.7987024116612131,0.6961367456685065,0.8843490395938796,0.8108916380027004,0.8034322233797662,5.463333333333333,150.0,,0.0,501248.0
