id,group,name,params,params_m,param_delta_pct,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,log_file,results_root
baseline,—,no_skip,466456,0.466456,0.0,0.7280333333333333,0.7280333333333333,0.059699999999999975,-0.05913333333333334,15,24.45466666666667,398.20588010782376,0,"ENet original, no skip connections (control)",0.194700;0.306167;0.424167;0.455933;0.588133;0.627100;0.667667;0.668333;0.681067;0.690933;0.689500;0.688867;0.708433;0.725133;0.728033,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/baseline_no_skip
A1,A,raw_4x,477040,0.47704,2.2690243023993695,0.7412333333333333,0.7431666666666666,0.06440000000000001,-0.07328571428571427,15,25.033333333333335,405.2803137199953,0,Raw skip x_1x→4x with Conv1×1 fusion; ablates 4x injection alone,0.099433;0.120867;0.178933;0.227700;0.292133;0.382833;0.549433;0.676833;0.654233;0.705433;0.668867;0.743167;0.736100;0.741600;0.741233,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/A1_raw_4x
A2,A,raw_5x,467316,0.467316,0.18436894369457946,0.7307333333333332,0.7343333333333333,0.08103333333333318,-0.08123809523809528,15,25.31866666666667,409.11917307204567,0,Raw skip x_initial→5x with Conv1×1 fusion; ablates 5x injection alone,0.000000;0.000000;0.000133;0.054133;0.390933;0.319033;0.500700;0.649700;0.659100;0.662767;0.653133;0.734333;0.720500;0.733000;0.730733,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/A2_raw_5x
A3,A,raw_both,477900,0.4779,2.453393246093949,0.7456333333333333,0.7456333333333333,0.11159999999999992,-0.07463333333333334,15,25.982666666666667,419.15028504887596,0,Raw skips at both 4x and 5x with Conv1×1 fusion (A1+A2 combined),0.000000;0.000000;0.154700;0.399667;0.264800;0.568933;0.631167;0.634033;0.686033;0.627533;0.697333;0.721733;0.705767;0.716133;0.745633,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/A3_raw_both
B1,B,conv3x3_both,567244,0.567244,21.60718267103434,0.7429666666666668,0.7429666666666668,0.05710000000000015,-0.06624761904761901,15,27.438666666666666,440.67821409506723,0,A3 variant: 3×3 fusion adds local spatial mixing on top of channel reduction,0.165033;0.372067;0.442067;0.559000;0.607200;0.635900;0.559700;0.685867;0.680133;0.685467;0.702667;0.722600;0.731400;0.732233;0.742967,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/B1_conv3x3_both
B2,B,bottleneck_both,485551,0.485551,4.093633697497734,0.7242999999999999,0.7242999999999999,0.12796666666666656,-0.050295238095238115,15,28.788,461.24240495613776,0,A3 variant: bottleneck fusion maximises capacity for skip integration,0.116300;0.321733;0.415533;0.488733;0.600633;0.622567;0.635633;0.596333;0.635733;0.660767;0.640167;0.721867;0.696900;0.709667;0.724300,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/B2_bottleneck_both
C1,C,attn_4x,481680,0.48168,3.263759068379435,0.6135999999999999,0.6135999999999999,0.17526666666666663,-0.03758095238095238,15,25.64,414.3319324608892,0,Attention-gated skip at 4x: decoder-conditioned spatial gate on x_1x,0.000000;0.000000;0.000000;0.000000;0.000000;0.009167;0.161567;0.438333;0.406367;0.493967;0.492800;0.501333;0.535300;0.590500;0.613600,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/C1_attn_4x
C2,C,attn_5x,467644,0.467644,0.25468640128971654,0.7202666666666667,0.7210666666666667,0.06000000000000005,-0.07949523809523809,15,26.10666666666667,420.99908997421153,0,Attention-gated skip at 5x: decoder-conditioned spatial gate on x_initial,0.043800;0.163500;0.384467;0.475900;0.583133;0.572567;0.646600;0.660267;0.642100;0.685767;0.673367;0.702333;0.721067;0.718000;0.720267,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/C2_attn_5x
C3,C,attn_both,482868,0.482868,3.5184454696691736,0.7220333333333334,0.7220333333333334,0.09056666666666668,-0.06234761904761905,15,27.244000000000003,438.53813293995336,0,Attention-gated skips at both 4x and 5x injection points,0.104467;0.246000;0.396133;0.396067;0.582200;0.605133;0.620300;0.631467;0.674400;0.691567;0.692167;0.703800;0.701700;0.702500;0.722033,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/C3_attn_both
D1,D,edge_4x,490553,0.490553,5.1659749258236465,0.7359333333333332,0.7359333333333332,0.2744333333333332,-0.026723809523809545,15,26.71466666666667,430.2174821489025,0,"LightEdgePrior(x_1x, x_3x)→1ch edge map; LightEdgeGate gates x_1x at 4x",0.000000;0.000000;0.000033;0.115833;0.135633;0.143767;0.335400;0.461500;0.466733;0.618500;0.666267;0.710400;0.711767;0.733033;0.735933,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_skip_e15/D1_edge_4x
