id,name,channels,params,params_m,param_increase_pct,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,log_file,results_root
EU0,baseline,"20,72,72,144,256",949776,0.949776,0.0,0.7341666666666667,0.7341666666666667,0.37680000000000013,0.009071428571428605,15,28.249333333333333,458.27660123305395,0,"ENetUpscaled reference: all five changes, original ENet channel widths",0.044067;0.100967;0.099567;0.096867;0.122400;0.161200;0.164633;0.357367;0.443600;0.614133;0.693067;0.710867;0.704067;0.716767;0.734167,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU0_baseline
EU1,narrow,"16,56,56,112,192",561193,0.561193,-40.913120567375884,0.6992333333333334,0.6992333333333334,0.24686666666666673,-0.021885714285714272,15,25.300666666666668,406.85203878593165,0,Narrow budget — test whether architecture improvement beats width,0.052300;0.167967;0.200667;0.373533;0.449167;0.465500;0.432933;0.452367;0.460500;0.483100;0.511467;0.613467;0.677567;0.696000;0.699233,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU1_narrow
EU2,wide_context,"20,72,128,192,256",1465998,1.465998,54.35197351796634,0.7300333333333334,0.7300333333333334,0.1045666666666667,-0.07441428571428572,15,33.138,524.7423680439824,0,Wider stage-2 flat (ch2=128) + stage-3 (ch3=192) context at H/4 and H/8,0.000000;0.178767;0.280600;0.398800;0.395500;0.479967;0.615733;0.625467;0.630767;0.688433;0.707333;0.697600;0.700667;0.727833;0.730033,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU2_wide_context
EU3,deep_stage4,"20,72,72,144,320",1179424,1.179424,24.179174879129395,0.7277999999999999,0.7292333333333333,0.2230333333333332,-0.024647619047619064,15,28.42133333333333,453.7604566360824,0,Extra capacity at the new H/16 stage (ch4=320),0.109200;0.105633;0.145900;0.316633;0.433067;0.450400;0.471333;0.504767;0.575733;0.641900;0.643467;0.695567;0.685133;0.729233;0.727800,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU3_deep_stage4
EU4,shallow_wide,"20,96,96,144,256",1043946,1.043946,9.914969424369534,0.7360000000000001,0.7563000000000001,0.16830000000000012,-0.04339523809523807,15,29.869333333333334,475.6720216339454,0,Wider stages 1+2 (ch1=ch2=96) — tests if the extra blocks benefit from more width,0.095633;0.139067;0.138100;0.144800;0.244033;0.359333;0.439200;0.567700;0.642400;0.675767;0.714167;0.701733;0.714267;0.756300;0.736000,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU4_shallow_wide
EU5,stage3_stage4_heavy,"20,72,72,196,288",1394201,1.394201,46.79261215276023,0.7139333333333333,0.7139333333333333,0.22626666666666667,-0.03734285714285714,15,29.582666666666668,471.02351430396084,0,Deep encoder emphasis: extra capacity in stage-3 (ch3=196) and stage-4 (ch4=288),0.000000;0.182167;0.241200;0.347667;0.361200;0.397233;0.455500;0.487667;0.523433;0.636133;0.688967;0.679367;0.695233;0.700067;0.713933,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU5_stage3_stage4_heavy
EU6,fully_scaled,"24,96,96,192,256",1351103,1.351103,42.25491063155944,0.7312666666666666,0.7312666666666666,0.10129999999999995,-0.07551428571428573,15,30.87933333333334,490.5104022040032,0,Uniformly wider network — global capacity increase,0.000067;0.172333;0.403467;0.424600;0.418933;0.453800;0.629433;0.629967;0.674300;0.682600;0.690500;0.713833;0.700567;0.730333;0.731267,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU6_fully_scaled
EU7,highres_flat,"24,96,144,144,256",1259303,1.259303,32.58947372854231,0.7143333333333334,0.7143333333333334,0.4102333333333334,0.01516190476190478,15,34.846,550.1559939649887,0,Wide flat H/4 stage (ch2=144) preserves high-resolution detail for thin vessel segmentation before downsampling,0.000000;0.000000;0.000267;0.000500;0.137367;0.161533;0.163900;0.304100;0.487567;0.494167;0.487533;0.616100;0.660600;0.704000;0.714333,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU7_highres_flat
EU8,narrow_deep,"16,48,48,192,288",1291191,1.291191,35.946896952544606,0.5074666666666666,0.5074666666666666,0.07606666666666662,-0.05076190476190477,15,25.65,412.2195207879413,0,"Narrow early stages, heavy bottleneck — concentrate capacity where long-range context discriminates vessel classes",0.000000;0.000000;0.000000;0.068133;0.212933;0.289367;0.419333;0.431400;0.486433;0.490433;0.480200;0.473600;0.495200;0.500433;0.507467,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU8_narrow_deep
EU9,asym_stage3,"20,72,72,144,256",951180,0.95118,0.1478243291049619,0.5300333333333332,0.5300333333333332,0.3441333333333332,0.030223809523809493,15,28.323333333333327,454.984928245889,0,"Same channels as EU0 but stage-3 extra blocks use asym-heavy pattern (reg, asym, asym, dil4) — tests vessel-oriented 5×1/1×5 kernels vs dil8",0.053333;0.128533;0.142500;0.175600;0.162167;0.136367;0.163600;0.185900;0.177067;0.309067;0.398533;0.469867;0.473067;0.511100;0.530033,,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e15/EU9_asym_stage3
