partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
0,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,INT8,8,8,,,,,1,255,,,,,,,,,,,,,,56,0,10,219,0,0,0,0
0,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,INT8,9,8,,,,,1,255,,,,,,,,,,,,,,86,0,9,264,0,1,0,0
0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,INT8,INT8,,8,,,distributed,,,,1,66,66,32,32,3,3,2,2,1,1,0,0,213,30,0,94,0,0,0,0
0,MVAU_rtl_0,MVAU_rtl,MVAU,3,9,3,3,9,3.17,INT4,INT8,INT14,4,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,143,15,0,234,0,0,0,6
0,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,INT8,14,14,,,,,3,255,,,,,,,,,,,,,,116,0,10,370,0,3,0,0
0,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT8,9,8,,,,,4,255,,,,,,,,,,,,,,84,0,13,272,0,0,0,0
1,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT8,UINT8,,8,,,distributed,,,,4,32,32,16,16,2,2,2,2,1,1,0,0,235,40,0,287,0,0,0,0
1,MVAU_rtl_0,MVAU_rtl,MVAU,4,16,4,8,32,4.0,INT4,UINT8,INT14,4,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,441,30,0,391,0,0,0,16
1,MVAU_rtl_1,MVAU_rtl,MVAU,16,4,2,4,8,2.0,UINT7,UINT8,INT16,7,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,181,20,0,214,1,0,0,4
1,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,INT8,16,16,,,,,16,255,,,,,,,,,,,,,,93,0,9,394,1,5,0,0
1,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT8,14,14,,,,,4,255,,,,,,,,,,,,,,106,0,9,388,0,3,0,0
1,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT8,UINT8,,8,,,distributed,,,,4,18,18,16,16,3,3,1,1,1,1,0,0,224,30,0,97,0,0,0,0
1,MVAU_rtl_2,MVAU_rtl,MVAU,4,36,4,12,48,5.17,INT8,UINT8,INT19,8,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,712,0,0,619,5,1,0,24
1,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,2,,,,INT19,INT19,UINT8,19,19,,,,,4,255,,,,,,,,,,,,,,263,0,17,919,0,6,0,0
1,MVAU_rtl_3,MVAU_rtl,MVAU,16,4,8,4,32,2.0,INT4,UINT8,INT13,4,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,514,20,0,579,2,0,0,16
1,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,8,,,,INT13,INT13,INT8,13,13,,,,,16,255,,,,,,,,,,,,,,774,0,65,2842,0,16,0,0
1,Thresholding_rtl_4,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,16,255,,,,,,,,,,,,,,76,0,13,291,1,4,0,0
1,Thresholding_rtl_5,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT8,9,8,,,,,16,255,,,,,,,,,,,,,,77,0,16,220,0,2,0,0
1,Thresholding_rtl_6,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,INT8,8,8,,,,,16,255,,,,,,,,,,,,,,73,0,13,272,0,3,0,0
1,MVAU_rtl_4,MVAU_rtl,MVAU,4,16,2,16,32,4.0,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,469,74,0,399,2,0,0,16
1,Thresholding_rtl_7,Thresholding_rtl,Thresholding,,,2,,,,INT15,INT15,UINT8,15,15,,,,,4,255,,,,,,,,,,,,,,219,0,17,787,0,4,0,0
1,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT8,UINT8,,8,,,distributed,,,,4,18,18,16,16,3,3,1,1,1,1,0,0,225,30,0,102,0,0,0,0
1,MVAU_rtl_5,MVAU_rtl,MVAU,4,36,4,12,48,5.17,INT6,UINT8,INT17,6,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,645,0,0,470,4,0,0,24
1,Thresholding_rtl_8,Thresholding_rtl,Thresholding,,,2,,,,INT17,INT17,UINT8,17,17,,,,,4,255,,,,,,,,,,,,,,240,0,17,831,0,6,0,0
1,MVAU_rtl_6,MVAU_rtl,MVAU,16,4,8,4,32,2.0,INT8,UINT8,INT18,8,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,657,20,0,767,4,0,0,16
1,Thresholding_rtl_9,Thresholding_rtl,Thresholding,,,8,,,,INT18,INT18,INT8,18,18,,,,,16,255,,,,,,,,,,,,,,964,0,65,3536,0,24,0,0
1,Thresholding_rtl_10,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,16,255,,,,,,,,,,,,,,76,0,13,291,1,4,0,0
1,Thresholding_rtl_11,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT8,9,8,,,,,16,255,,,,,,,,,,,,,,75,0,16,220,0,0,0,0
1,Thresholding_rtl_12,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,INT8,8,8,,,,,16,255,,,,,,,,,,,,,,72,0,13,271,0,4,0,0
1,MVAU_rtl_7,MVAU_rtl,MVAU,4,16,4,8,32,4.0,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,433,0,0,358,2,0,0,16
1,Thresholding_rtl_13,Thresholding_rtl,Thresholding,,,2,,,,INT15,INT15,UINT8,15,15,,,,,4,255,,,,,,,,,,,,,,243,0,17,779,0,4,0,0
1,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT8,UINT8,,8,,,distributed,,,,4,18,18,16,16,3,3,1,1,1,1,0,0,215,30,0,92,0,0,0,0
1,MVAU_rtl_8,MVAU_rtl,MVAU,4,36,4,12,48,5.17,INT4,UINT8,INT15,4,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,726,79,0,582,0,0,0,24
1,Thresholding_rtl_14,Thresholding_rtl,Thresholding,,,2,,,,INT15,INT15,UINT6,15,15,,,,,4,63,,,,,,,,,,,,,,214,0,13,598,0,0,0,0
1,MVAU_rtl_9,MVAU_rtl,MVAU,16,4,8,4,32,2.0,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,580,62,0,677,0,0,0,16
1,Thresholding_rtl_15,Thresholding_rtl,Thresholding,,,8,,,,INT14,INT14,INT8,14,14,,,,,16,255,,,,,,,,,,,,,,777,0,65,3016,0,16,0,0
1,Thresholding_rtl_16,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,16,255,,,,,,,,,,,,,,79,0,13,291,1,3,0,0
1,Thresholding_rtl_17,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,16,63,,,,,,,,,,,,,,57,0,11,130,0,0,0,0
1,Thresholding_rtl_18,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,16,255,,,,,,,,,,,,,,69,0,16,214,0,2,0,0
1,MVAU_rtl_10,MVAU_rtl,MVAU,4,16,4,8,32,4.0,INT4,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,388,0,0,326,2,0,0,16
