partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
0,MVAU_rtl_0,MVAU_rtl,3,9,3,3,3,3,True,INT4,INT8,INT14,4,8,dsp,True,auto,internal_decoupled,9,3.17,143,15,0,234,0,0,0,6
1,MVAU_rtl_0,MVAU_rtl,4,16,4,8,4,8,True,INT4,UINT8,INT14,4,8,dsp,True,auto,internal_decoupled,32,4.0,441,30,0,391,0,0,0,16
1,MVAU_rtl_1,MVAU_rtl,16,4,2,4,2,4,True,UINT7,UINT8,INT16,7,8,dsp,True,block,internal_decoupled,8,2.0,181,20,0,214,1,0,0,4
1,MVAU_rtl_2,MVAU_rtl,4,36,4,12,4,12,True,INT8,UINT8,INT19,8,8,dsp,True,block,internal_decoupled,48,5.17,712,0,0,619,5,1,0,24
1,MVAU_rtl_3,MVAU_rtl,16,4,8,4,8,4,True,INT4,UINT8,INT13,4,8,dsp,True,block,internal_decoupled,32,2.0,514,20,0,579,2,0,0,16
1,MVAU_rtl_4,MVAU_rtl,4,16,2,16,2,16,True,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,32,4.0,469,74,0,399,2,0,0,16
1,MVAU_rtl_5,MVAU_rtl,4,36,4,12,4,12,True,INT6,UINT8,INT17,6,8,dsp,True,block,internal_decoupled,48,5.17,645,0,0,470,4,0,0,24
1,MVAU_rtl_6,MVAU_rtl,16,4,8,4,8,4,True,INT8,UINT8,INT18,8,8,dsp,True,block,internal_decoupled,32,2.0,657,20,0,767,4,0,0,16
1,MVAU_rtl_7,MVAU_rtl,4,16,4,8,4,8,True,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,32,4.0,433,0,0,358,2,0,0,16
1,MVAU_rtl_8,MVAU_rtl,4,36,4,12,4,12,True,INT4,UINT8,INT15,4,8,dsp,True,auto,internal_decoupled,48,5.17,726,79,0,582,0,0,0,24
1,MVAU_rtl_9,MVAU_rtl,16,4,8,4,8,4,True,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,32,2.0,580,62,0,677,0,0,0,16
1,MVAU_rtl_10,MVAU_rtl,4,16,4,8,4,8,True,INT4,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,32,4.0,388,0,0,326,2,0,0,16
1,MVAU_rtl_11,MVAU_rtl,4,36,4,12,4,12,True,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,48,5.17,646,0,0,434,4,0,0,24
1,MVAU_rtl_12,MVAU_rtl,16,4,16,2,16,2,True,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,32,2.0,726,0,0,1084,2,0,0,16
1,MVAU_rtl_13,MVAU_rtl,4,16,2,16,2,16,True,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,32,4.0,480,101,0,440,0,0,0,16
