partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
0,MVAU_hls_0,MVAU_hls,3,9,1,9,1,9,True,INT6,INT8,INT8,6,8,dsp,True,block,internal_decoupled,9,3.17,2266,0,0,572,1,0,0,9
2,MVAU_hls_0,MVAU_hls,8,32,2,8,2,8,True,INT4,UINT8,UINT6,4,8,dsp,True,auto,internal_decoupled,16,5.0,1652,32,0,911,0,0,0,18
2,MVAU_hls_1,MVAU_hls,8,24,2,6,2,6,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,12,4.58,1622,36,0,701,0,0,0,12
2,MVAU_hls_2,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,12,4.58,1120,0,0,1417,1,0,0,12
2,MVAU_hls_3,MVAU_hls,32,8,16,1,16,1,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,16,3.0,29641,0,0,1332,1,0,0,16
2,MVAU_hls_4,MVAU_hls,8,32,1,16,1,16,True,INT6,UINT8,UINT6,6,8,dsp,True,auto,internal_decoupled,16,5.0,1322,48,0,1950,0,0,0,19
2,MVAU_hls_5,MVAU_hls,8,24,8,2,8,2,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,4.58,1374,48,0,636,0,0,0,16
2,MVAU_hls_6,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT4,UINT6,6,4,dsp,True,block,internal_decoupled,12,4.58,939,0,0,1181,1,0,0,12
2,MVAU_hls_7,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,16,3.0,8284,0,0,5825,1,0,0,16
2,MVAU_hls_8,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,16,5.0,4665,48,0,668,0,0,0,16
2,MVAU_hls_9,MVAU_hls,8,24,4,3,4,3,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,12,4.58,2741,0,0,612,1,0,0,12
2,MVAU_hls_10,MVAU_hls,8,24,2,8,2,8,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,16,4.58,1430,0,0,655,1,0,0,20
2,MVAU_hls_11,MVAU_hls,32,8,16,1,16,1,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,16,3.0,26997,0,0,1138,1,0,0,16
2,MVAU_hls_12,MVAU_hls,8,32,8,2,8,2,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,16,5.0,4103,0,0,476,1,0,0,16
2,MVAU_hls_13,MVAU_hls,8,24,8,2,8,2,True,INT6,UINT6,UINT4,6,6,dsp,True,block,internal_decoupled,16,4.58,1326,0,0,540,1,1,0,16
2,MVAU_hls_14,MVAU_hls,8,24,2,8,2,8,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,16,4.58,599,0,0,619,1,1,0,20
2,MVAU_hls_15,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,16,3.0,6151,0,0,4671,1,0,0,20
2,MVAU_hls_16,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,1374,48,0,636,0,0,0,16
2,MVAU_hls_17,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT4,UINT4,6,4,dsp,True,auto,internal_decoupled,16,4.58,944,48,0,720,0,0,0,16
