source,partition,node_name,op_type,MH,MW,Channels,Kernel,IFMChannels,IFMDim,OFMDim,ConvKernelDim,Stride,Dilation,depthwise,parallel_window,NumChannels,numSteps,ActVal,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,accDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,runtime_writeable_weights,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
separable_alpha025_partition0,0,Thresholding_rtl_0,Thresholding_rtl,,,,,,,,,,,,,1,255,-128,1,,,,,UINT8,UINT8,INT8,,8,8,,,,,0,,,56,0,10,219,0,0,0,0
separable_alpha025_partition0,0,Thresholding_rtl_1,Thresholding_rtl,,,,,,,,,,,,,1,255,-128,1,,,,,INT9,INT8,INT8,,9,8,,,,,0,,,91,0,9,270,0,1,0,0
separable_alpha025_partition0,0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,,,,,1,66x66,32x32,3x3,2x2,1x1,0,0,,,,,1,,,,,INT8,INT8,,,8,,,distributed,,,,,208,30,0,94,0,0,0,0
separable_alpha025_partition0,0,MVAU_hls_0,MVAU_hls,3,9,,,,,,,,,,,,,,1,9,1,9,True,INT6,INT8,INT8,INT16,6,8,dsp,True,block,internal_decoupled,0,9,3.17,2266,0,0,572,1,0,0,9
separable_alpha025_partition0,0,Thresholding_rtl_2,Thresholding_rtl,,,,,,,,,,,,,4,255,0,1,,,,,INT9,INT8,UINT8,,9,8,,,,,0,,,85,0,11,316,0,0,0,0
separable_alpha025_partition2,2,Thresholding_rtl_0,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,73,0,9,324,2,3,0,0
separable_alpha025_partition2,2,Thresholding_rtl_1,Thresholding_rtl,,,,,,,,,,,,,32,255,0,1,,,,,INT9,INT8,UINT8,,9,8,,,,,0,,,76,0,16,242,1,2,0,0
separable_alpha025_partition2,2,Thresholding_rtl_2,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT8,UINT8,INT8,,8,8,,,,,0,,,79,0,14,271,1,2,0,0
separable_alpha025_partition2,2,MVAU_hls_0,MVAU_hls,8,32,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT8,UINT6,INT16,4,8,dsp,True,auto,internal_decoupled,0,16,5.0,1652,32,0,911,0,0,0,18
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,,,,,8,12x8,8x8,3x1,1x1,2x2,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,219,40,0,85,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_1,MVAU_hls,8,24,,,,,,,,,,,,,,2,6,2,6,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,0,12,4.58,1622,36,0,701,0,0,0,12
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,,,,,8,8x12,8x8,1x3,1x1,2x2,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,161,8,0,79,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_2,MVAU_hls,8,24,,,,,,,,,,,,,,1,12,1,12,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,0,12,4.58,1120,0,0,1417,1,0,0,12
separable_alpha025_partition2,2,MVAU_hls_3,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT4,UINT6,INT8,INT12,4,6,dsp,True,block,internal_decoupled,0,16,3.0,29641,0,0,1332,1,0,0,16
separable_alpha025_partition2,2,Thresholding_rtl_3,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,71,0,9,312,2,5,0,0
separable_alpha025_partition2,2,Thresholding_rtl_4,Thresholding_rtl,,,,,,,,,,,,,32,255,0,1,,,,,INT9,INT8,UINT8,,9,8,,,,,0,,,77,0,16,242,1,2,0,0
separable_alpha025_partition2,2,Thresholding_rtl_5,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT8,UINT8,INT8,,8,8,,,,,0,,,77,0,14,279,1,3,0,0
separable_alpha025_partition2,2,MVAU_hls_4,MVAU_hls,8,32,,,,,,,,,,,,,,1,16,1,16,True,INT6,UINT8,UINT6,INT17,6,8,dsp,True,auto,internal_decoupled,0,16,5.0,1322,48,0,1950,0,0,0,19
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,,,,,8,16x8,8x8,3x1,1x1,4x4,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,267,72,0,87,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_5,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,4.58,1374,48,0,636,0,0,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,,,,,8,8x16,8x8,1x3,1x1,4x4,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,185,16,0,79,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_6,MVAU_hls,8,24,,,,,,,,,,,,,,1,12,1,12,True,INT6,UINT4,UINT6,INT13,6,4,dsp,True,block,internal_decoupled,0,12,4.58,939,0,0,1181,1,0,0,12
separable_alpha025_partition2,2,MVAU_hls_7,MVAU_hls,32,8,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT6,INT8,INT12,4,6,dsp,True,block,internal_decoupled,0,16,3.0,8284,0,0,5825,1,0,0,16
separable_alpha025_partition2,2,Thresholding_rtl_6,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,76,0,9,324,2,3,0,0
separable_alpha025_partition2,2,Thresholding_rtl_7,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,64,0,14,154,0,0,0,0
separable_alpha025_partition2,2,Thresholding_rtl_8,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,61,0,16,213,1,3,0,0
separable_alpha025_partition2,2,MVAU_hls_8,MVAU_hls,8,32,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,4665,48,0,668,0,0,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_4,ConvolutionInputGenerator_rtl,,,,,8,24x8,8x8,3x1,1x1,8x8,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,374,136,0,92,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_9,MVAU_hls,8,24,,,,,,,,,,,,,,4,3,4,3,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,0,12,4.58,2741,0,0,612,1,0,0,12
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_5,ConvolutionInputGenerator_rtl,,,,,8,8x24,8x8,1x3,1x1,8x8,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,203,24,0,86,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_10,MVAU_hls,8,24,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT6,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,0,16,4.58,1430,0,0,655,1,0,0,20
separable_alpha025_partition2,2,MVAU_hls_11,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT4,UINT6,INT8,INT12,4,6,dsp,True,block,internal_decoupled,0,16,3.0,26997,0,0,1138,1,0,0,16
