combo_label,no_activation,impl_style_requested,fold_strategy,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,MVAU_hls_0,MVAU_hls,MVAU,8,32,8,1,8,5.0,INT8,UINT8,INT19,8,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,394,32,0,756,0,0,0,8
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT19,INT19,UINT8,19,19,,,,,8,255,,,,,,,,,,,,,,138,0,12,448,1,0,0,0
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,8,,,,UINT8,UINT8,,8,,,distributed,,,,8,64,64,32,32,3,3,1,1,16,16,0,0,3351,2442,0,204,0,0,0,0
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,MVAU_hls_1,MVAU_hls,MVAU,8,72,8,1,8,6.17,INT8,UINT8,INT20,8,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,455,96,0,786,0,0,0,8
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT20,INT20,UINT8,20,20,,,,,8,255,,,,,,,,,,,,,,118,0,12,440,1,4,0,0
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,MVAU_hls_2,MVAU_hls,MVAU,32,8,32,1,32,3.0,INT8,UINT8,INT18,8,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,931,125,0,2581,0,0,0,32
noact0_hls_dsp_pemh_simd1,0,hls,pemh_simd1,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,INT18,INT18,UINT8,18,18,,,,,32,255,,,,,,,,,,,,,,101,0,9,433,3,4,0,0
noact0_hls_dsp_balanced,0,hls,balanced,MVAU_hls_0,MVAU_hls,MVAU,8,32,8,8,64,5.0,INT8,UINT8,INT19,8,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,885,220,0,2317,0,0,0,80
noact0_hls_dsp_balanced,0,hls,balanced,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT19,INT19,UINT8,19,19,,,,,8,255,,,,,,,,,,,,,,138,0,12,433,1,0,0,0
noact0_hls_dsp_balanced,0,hls,balanced,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,8,,,,UINT8,UINT8,,8,,,distributed,,,,8,64,64,32,32,3,3,1,1,16,16,0,0,3349,2442,0,202,0,0,0,0
