partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
0,MVAU_hls_0,MVAU_hls,3,9,3,9,3,9,True,INT4,INT8,INT8,4,8,dsp,True,auto,internal_decoupled,27,3.17,6097,0,0,1336,0,0,0,27
1,MVAU_hls_0,MVAU_hls,4,16,4,4,4,4,True,INT4,UINT8,UINT8,4,8,dsp,True,auto,internal_decoupled,16,4.0,7912,25,0,616,0,0,0,16
1,MVAU_hls_1,MVAU_hls,16,4,4,4,4,4,True,UINT7,UINT8,INT8,7,8,dsp,True,block,internal_decoupled,16,2.0,2041,0,0,500,2,0,0,16
1,MVAU_hls_2,MVAU_hls,4,36,1,18,1,18,True,INT8,UINT8,UINT8,8,8,dsp,True,block,internal_decoupled,18,5.17,3414,0,0,1342,2,0,0,22
1,MVAU_hls_3,MVAU_hls,16,4,16,1,16,1,True,INT4,UINT8,INT8,4,8,dsp,True,block,internal_decoupled,16,2.0,30961,0,0,1203,1,0,0,16
1,MVAU_hls_4,MVAU_hls,4,16,4,4,4,4,True,INT4,UINT8,UINT8,4,8,dsp,True,block,internal_decoupled,16,4.0,8997,0,0,642,1,0,0,16
1,MVAU_hls_5,MVAU_hls,4,36,2,12,2,12,True,INT6,UINT8,UINT8,6,8,dsp,True,auto,internal_decoupled,24,5.17,5220,72,0,1506,0,0,0,24
1,MVAU_hls_6,MVAU_hls,16,4,4,4,4,4,True,INT8,UINT8,INT8,8,8,dsp,True,block,internal_decoupled,16,2.0,10425,0,0,644,2,0,0,16
1,MVAU_hls_7,MVAU_hls,4,16,4,4,4,4,True,INT4,UINT8,UINT8,4,8,dsp,True,block,internal_decoupled,16,4.0,8728,0,0,1563,1,0,0,16
1,MVAU_hls_8,MVAU_hls,4,36,1,36,1,36,True,INT4,UINT8,UINT6,4,8,dsp,True,auto,internal_decoupled,36,5.17,1238,62,0,1598,0,0,0,36
1,MVAU_hls_9,MVAU_hls,16,4,16,1,16,1,True,INT6,UINT6,INT8,6,6,dsp,True,auto,internal_decoupled,16,2.0,31043,42,0,1385,0,0,0,16
1,MVAU_hls_10,MVAU_hls,4,16,1,16,1,16,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,16,4.0,816,0,0,531,1,0,0,16
1,MVAU_hls_11,MVAU_hls,4,36,4,6,4,6,True,INT6,UINT6,UINT8,6,6,dsp,True,block,internal_decoupled,24,5.17,9048,0,0,828,2,0,0,24
1,MVAU_hls_12,MVAU_hls,16,4,4,4,4,4,True,INT4,UINT8,INT8,4,8,dsp,True,block,internal_decoupled,16,2.0,8317,0,0,456,1,0,0,16
1,MVAU_hls_13,MVAU_hls,4,16,1,16,1,16,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,16,4.0,842,0,0,790,1,1,0,16
1,MVAU_hls_14,MVAU_hls,4,36,2,12,2,12,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,24,5.17,1842,70,0,1155,0,0,0,24
1,MVAU_hls_15,MVAU_hls,16,4,4,4,4,4,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,2.0,8360,0,0,516,1,1,0,16
1,MVAU_hls_16,MVAU_hls,8,64,2,4,2,4,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,8,6.0,1673,48,0,866,0,0,0,8
1,MVAU_hls_17,MVAU_hls,32,16,8,4,8,4,True,UINT7,UINT6,INT8,7,6,dsp,True,block,internal_decoupled,32,4.0,3793,0,0,1062,3,1,0,32
1,MVAU_hls_18,MVAU_hls,8,72,8,3,8,3,True,INT6,UINT6,UINT8,6,6,dsp,True,block,internal_decoupled,24,6.17,17720,0,0,1077,2,0,0,24
1,MVAU_hls_19,MVAU_hls,32,8,2,8,2,8,True,INT6,UINT8,INT8,6,8,dsp,True,block,internal_decoupled,16,3.0,11813,0,0,7792,1,1,0,16
2,MVAU_hls_0,MVAU_hls,8,32,8,2,8,2,True,INT8,UINT8,UINT6,8,8,dsp,True,block,internal_decoupled,16,5.0,5640,0,0,694,2,0,0,16
2,MVAU_hls_1,MVAU_hls,8,72,1,24,1,24,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,24,6.17,1758,144,0,2426,0,0,0,24
2,MVAU_hls_2,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,3.0,31735,0,0,1390,1,1,0,16
2,MVAU_hls_3,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT8,UINT6,6,8,dsp,True,block,internal_decoupled,16,5.0,5089,0,0,598,1,1,0,16
2,MVAU_hls_4,MVAU_hls,8,72,4,12,4,12,True,INT4,UINT6,UINT4,4,6,dsp,True,block,internal_decoupled,48,6.17,1126,0,0,1432,3,0,0,48
2,MVAU_hls_5,MVAU_hls,32,8,2,8,2,8,True,INT6,UINT4,INT8,6,4,dsp,True,block,internal_decoupled,16,3.0,8770,0,0,6024,1,1,0,16
2,MVAU_hls_6,MVAU_hls,8,32,4,4,4,4,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,1050,48,0,847,0,0,0,16
2,MVAU_hls_7,MVAU_hls,8,72,8,6,8,6,True,INT4,UINT4,UINT4,4,4,dsp,True,block,internal_decoupled,48,6.17,1270,0,0,787,3,0,0,48
2,MVAU_hls_8,MVAU_hls,32,8,2,8,2,8,True,INT6,UINT4,INT8,6,4,dsp,True,auto,internal_decoupled,16,3.0,7682,48,0,5718,0,0,0,20
2,MVAU_hls_9,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,16,5.0,4720,48,0,668,0,0,0,16
2,MVAU_hls_10,MVAU_hls,8,72,2,18,2,18,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,36,6.17,1723,0,0,1408,2,0,0,40
2,MVAU_hls_11,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,16,3.0,8146,0,0,5707,1,0,0,16
2,MVAU_hls_12,MVAU_hls,8,32,4,4,4,4,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,1052,48,0,847,0,0,0,16
2,MVAU_hls_13,MVAU_hls,8,72,4,9,4,9,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,36,6.17,1070,0,0,1230,3,0,0,40
2,MVAU_hls_14,MVAU_hls,32,8,32,1,32,1,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,32,3.0,3932,0,0,1459,2,0,0,32
3,MVAU_hls_0,MVAU_hls,8,32,1,16,1,16,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,694,48,0,1128,0,0,0,19
3,MVAU_hls_1,MVAU_hls,8,72,1,36,1,36,True,INT4,UINT4,UINT6,4,4,dsp,True,block,internal_decoupled,36,6.17,1172,0,0,1752,2,0,0,40
3,MVAU_hls_2,MVAU_hls,32,8,32,1,32,1,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,32,3.0,50942,0,0,2037,2,0,0,32
3,MVAU_hls_3,MVAU_hls,8,32,8,4,8,4,True,INT4,UINT4,UINT4,4,4,dsp,True,block,internal_decoupled,32,5.0,623,0,0,633,2,0,0,32
3,MVAU_hls_4,MVAU_hls,8,72,8,4,8,4,True,INT6,UINT4,UINT6,6,4,dsp,True,block,internal_decoupled,32,6.17,4395,0,0,872,3,0,0,32
3,MVAU_hls_5,MVAU_hls,32,8,4,4,4,4,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,3.0,18404,0,0,13040,1,1,0,16
3,MVAU_hls_6,MVAU_hls,8,32,8,4,8,4,True,INT4,UINT6,UINT4,4,6,dsp,True,block,internal_decoupled,32,5.0,1305,0,0,671,2,0,0,32
3,MVAU_hls_7,MVAU_hls,8,72,4,9,4,9,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,36,6.17,1067,0,0,1230,3,0,0,40
3,MVAU_hls_8,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT4,INT8,6,4,dsp,True,auto,internal_decoupled,16,3.0,28672,48,0,1382,0,0,0,16
3,MVAU_hls_9,MVAU_hls,8,32,1,16,1,16,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,706,48,0,1131,0,0,0,19
3,MVAU_hls_10,MVAU_hls,8,72,2,18,2,18,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,36,6.17,875,0,0,1296,3,0,0,40
3,MVAU_hls_11,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT4,INT8,6,4,dsp,True,block,internal_decoupled,16,3.0,29584,0,0,1373,1,1,0,16
4,MVAU_hls_0,MVAU_hls,8,32,2,8,2,8,True,INT4,UINT6,UINT6,4,6,dsp,True,auto,internal_decoupled,16,5.0,1481,32,0,790,0,0,0,18
4,MVAU_hls_1,MVAU_hls,8,72,1,36,1,36,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,36,6.17,1373,0,0,2234,2,0,0,40
4,MVAU_hls_2,MVAU_hls,32,8,16,2,16,2,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,32,3.0,29699,0,0,1546,2,0,0,32
4,MVAU_hls_3,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,16,5.0,4741,48,0,668,0,0,0,16
4,MVAU_hls_4,MVAU_hls,8,72,4,12,4,12,True,INT4,UINT6,UINT4,4,6,dsp,True,block,internal_decoupled,48,6.17,1124,0,0,1432,3,0,0,48
4,MVAU_hls_5,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,16,3.0,6909,0,0,4909,1,0,0,16
4,MVAU_hls_6,MVAU_hls,8,32,2,8,2,8,True,INT8,UINT6,UINT4,8,6,dsp,True,auto,internal_decoupled,16,5.0,806,64,0,982,0,0,0,20
4,MVAU_hls_7,MVAU_hls,8,72,4,9,4,9,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,36,6.17,1074,0,0,1230,3,0,0,40
4,MVAU_hls_8,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT4,INT8,6,4,dsp,True,block,internal_decoupled,16,3.0,26458,0,0,1227,1,1,0,16
4,MVAU_hls_9,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,16,5.0,4719,0,0,572,1,1,0,16
4,MVAU_hls_10,MVAU_hls,8,72,8,3,8,3,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,24,6.17,5136,144,0,834,0,0,0,24
4,MVAU_hls_11,MVAU_hls,32,8,32,1,32,1,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,32,3.0,51099,0,0,2055,2,0,0,32
5,MVAU_hls_0,MVAU_hls,8,32,2,8,2,8,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,16,5.0,1637,48,0,892,0,0,0,20
