seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
0,initial.conv,initial,Conv2d,1,512,512,15,256,256,3,3,2,2,1,1,8,8,9,15,1,15,135,6,30,426,9804,0,10230,
1,initial.pool,initial,MaxPool2d,1,512,512,1,256,256,2,2,2,2,1,1,8,,,,1,0,0,4,0,426,0,8,434,"pooling: SWU + comparator array, no MVAU/weights"
4,down1.pool,down1,MaxPool2d,16,256,256,16,128,128,2,2,2,2,1,1,8,,,,1,0,0,8,0,426,0,128,554,"pooling: SWU + comparator array, no MVAU/weights"
5,down1.reduce.0,down1,Conv2d,16,256,256,16,128,128,2,2,2,2,1,1,8,8,64,16,1,16,1024,8,240,426,72390,0,72816,
8,down1.conv.0,down1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
11,down1.expand.0,down1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
15,regular1.0.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
18,regular1.0.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
21,regular1.0.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
25,regular1.1.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
28,regular1.1.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
31,regular1.1.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
35,regular1.2.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
38,regular1.2.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
41,regular1.2.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
45,regular1.3.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,1,16,1024,30,240,426,72390,0,72816,
48,regular1.3.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,1,16,2304,16,512,426,162502,0,162928,
51,regular1.3.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,1,64,1024,8,256,426,72390,0,72816,
55,down2.pool,down2,MaxPool2d,64,128,128,64,64,64,2,2,2,2,1,1,8,,,,1,0,0,30,0,426,0,512,938,"pooling: SWU + comparator array, no MVAU/weights"
56,down2.reduce.0,down2,Conv2d,64,128,128,32,64,64,2,2,2,2,1,1,8,8,256,32,1,32,8192,30,1824,426,577017,0,577443,
59,down2.conv.0,down2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,1,32,9216,32,2048,426,649106,0,649532,
62,down2.expand.0,down2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
66,stage2.0.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
69,stage2.0.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,1,32,9216,32,2048,426,649106,0,649532,
72,stage2.0.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
76,stage2.1.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
79,stage2.1.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,2,2,8,8,288,32,1,32,9216,48,2048,426,649106,0,649532,
82,stage2.1.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
86,stage2.2.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
89,stage2.2.conv.0,stage2,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,1,32,5120,48,1152,426,360748,0,361174,
92,stage2.2.conv.3,stage2,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,1,32,5120,16,1152,426,360748,0,361174,
95,stage2.2.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
99,stage2.3.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
102,stage2.3.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,4,4,8,8,288,32,1,32,9216,80,2048,426,649106,0,649532,
105,stage2.3.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
109,stage2.4.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
112,stage2.4.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,1,32,9216,32,2048,426,649106,0,649532,
115,stage2.4.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
