stage,n_conv_layers,n_maxpool_layers,n_convtranspose_layers,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut
initial,1,1,0,15,135,10,30,852,9804,8,10664
down1,3,1,0,96,4352,40,1008,1704,307282,128,309114
regular1,12,0,0,384,17408,216,4032,5112,1229128,0,1234240
down2,3,1,0,192,21504,108,4896,1704,1514781,512,1516997
stage2,26,0,0,1600,141312,1328,32512,11076,9956156,0,9967232
stage3,26,0,0,1600,141312,1328,32512,11076,9956156,0,9967232
up4,3,0,1,192,18432,156,4224,1704,1298812,0,1300516
regular4,6,0,0,192,8704,108,2016,2556,614564,0,617120
up5,3,0,1,64,3328,80,784,1704,235492,0,237196
regular5,3,0,0,24,272,14,64,1278,20050,0,21328
final,0,0,1,5,320,24,75,426,22828,0,23254
TOTAL,86,3,3,4364,357079,3412,82153,39192,25165053,648,25204893
