seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
0,initial.conv,initial,Conv2d,1,512,512,15,256,256,3,3,2,2,1,1,8,8,9,15,65536,983040,8847360,393216,30,27918336,622854444,0,650772780,
1,initial.pool,initial,MaxPool2d,1,512,512,1,256,256,2,2,2,2,1,1,8,,,,65536,0,0,262144,0,27918336,0,524288,28442624,"pooling: SWU + comparator array, no MVAU/weights"
4,down1.pool,down1,MaxPool2d,16,256,256,16,128,128,2,2,2,2,1,1,8,,,,16384,0,0,131072,0,6979584,0,2097152,9076736,"pooling: SWU + comparator array, no MVAU/weights"
5,down1.reduce.0,down1,Conv2d,16,256,256,16,128,128,2,2,2,2,1,1,8,8,64,16,16384,262144,16777216,131072,240,6979584,1181116306,0,1188095890,
8,down1.conv.0,down1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
11,down1.expand.0,down1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
15,regular1.0.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
18,regular1.0.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
21,regular1.0.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
25,regular1.1.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
28,regular1.1.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
31,regular1.1.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
35,regular1.2.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
38,regular1.2.conv,regular1,Conv2d,16,128,128,16,128,128,3,3,1,1,1,1,8,8,144,16,16384,262144,37748736,262144,512,6979584,2657511314,0,2664490898,
41,regular1.2.expand.0,regular1,Conv2d,16,128,128,64,128,128,1,1,1,1,1,1,8,8,16,64,16384,1048576,16777216,131072,256,6979584,1181116306,0,1188095890,
45,regular1.3.reduce.0,regular1,Conv2d,64,128,128,16,128,128,1,1,1,1,1,1,8,8,64,16,16384,262144,16777216,491520,240,6979584,1181116306,0,1188095890,
