stage,n_conv_layers,n_maxpool_layers,n_convtranspose_layers,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut
initial,1,1,0,983040,8847360,655360,30,55836672,622854444,524288,679215404
down1,3,1,0,1572864,71303168,655360,1008,27918336,5019743926,2097152,5049759414
regular1,12,0,0,6291456,285212672,3538944,4032,83755008,20078975704,0,20162730712
down2,3,1,0,786432,88080384,442368,4896,6979584,6200859933,2097152,6209936669
stage2,26,0,0,6553600,578813952,5439488,32512,45367296,40748510012,0,40793877308
stage3,26,0,0,6553600,578813952,5439488,32512,45367296,40748510012,0,40793877308
up4,3,0,1,1966080,150994944,1130496,4224,17448960,10630045258,0,10647494218
regular4,6,0,0,3145728,142606336,1769472,2016,41877504,10039487852,0,10081365356
up5,3,0,1,2621440,117440512,2293760,784,69795840,8267813244,0,8337609084
regular5,3,0,0,1572864,17825792,917504,64,83755008,1254936658,0,1338691666
final,0,0,1,1310720,83886080,6291456,75,111673344,5905580332,0,6017253676
TOTAL,86,3,3,33357824,2123825152,28573696,82153,589774848,149517317375,4718592,150111810815
