partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
0,MVAU_rtl_0,MVAU_rtl,MVAU,32,1,32,1,32,0.0,INT6,UINT8,INT14,6,8,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,508,0,0,1850,0,0,0,16
0,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT6,14,14,,,,,32,63,,,,,,,,,,,,,,82,0,12,244,0,1,0,0
0,MVAU_rtl_1,MVAU_rtl,MVAU,8,32,8,1,8,5.0,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,276,24,0,613,0,0,0,4
0,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,UINT8,6,6,,,,,32,255,,,,,,,,,,,,,,58,0,19,198,1,2,0,0
0,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,UINT6,16,16,,,,,8,63,,,,,,,,,,,,,,84,0,10,269,0,3,0,0
0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,8,,,,UINT6,UINT6,,6,,,distributed,,,,8,36,36,32,32,3,3,1,1,2,2,0,0,397,168,0,129,0,0,0,0
0,MVAU_rtl_2,MVAU_rtl,MVAU,8,72,8,1,8,6.17,INT6,UINT6,INT17,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,385,72,0,652,0,0,0,4
0,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,1,,,,INT17,INT17,UINT6,17,17,,,,,8,63,,,,,,,,,,,,,,86,0,10,283,0,3,0,0
0,MVAU_rtl_3,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,970,96,0,2247,0,0,0,16
0,Thresholding_rtl_4,Thresholding_rtl,Thresholding,,,1,,,,INT15,INT15,UINT8,15,15,,,,,32,255,,,,,,,,,,,,,,94,0,9,392,3,4,0,0
0,Thresholding_rtl_5,Thresholding_rtl,Thresholding,,,1,,,,UINT9,UINT9,UINT8,9,9,,,,,32,255,,,,,,,,,,,,,,79,0,14,280,0,0,0,0
0,Thresholding_rtl_6,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,UINT6,8,8,,,,,32,63,,,,,,,,,,,,,,58,0,14,143,0,1,0,0
0,MVAU_rtl_4,MVAU_rtl,MVAU,8,32,8,1,8,5.0,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,276,24,0,613,0,0,0,4
0,Thresholding_rtl_7,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,UINT8,6,6,,,,,32,255,,,,,,,,,,,,,,58,0,19,183,0,0,0,0
0,Thresholding_rtl_8,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,UINT6,16,16,,,,,8,63,,,,,,,,,,,,,,84,0,10,264,0,3,0,0
0,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,SWU,,,,8,,,,UINT6,UINT6,,6,,,distributed,,,,8,40,40,32,32,3,3,1,1,4,4,0,0,625,336,0,141,0,0,0,0
0,MVAU_rtl_5,MVAU_rtl,MVAU,8,72,8,1,8,6.17,INT6,UINT6,INT17,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,387,72,0,652,0,0,0,4
0,Thresholding_rtl_9,Thresholding_rtl,Thresholding,,,1,,,,INT17,INT17,UINT6,17,17,,,,,8,63,,,,,,,,,,,,,,89,0,10,284,0,3,0,0
0,MVAU_rtl_6,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,684,96,0,2115,0,0,0,16
0,Thresholding_rtl_10,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT8,14,14,,,,,32,255,,,,,,,,,,,,,,86,0,9,378,3,4,0,0
0,Thresholding_rtl_11,Thresholding_rtl,Thresholding,,,1,,,,UINT9,UINT9,UINT8,9,9,,,,,32,255,,,,,,,,,,,,,,78,0,14,280,1,3,0,0
0,Thresholding_rtl_12,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,UINT6,8,8,,,,,32,63,,,,,,,,,,,,,,58,0,14,143,0,1,0,0
