partition,node_name,op_type,depth,ram_style,dataType,folded_shape,elems_per_beat,size_elems,bitwidth,size_bits,size_bytes
0,StreamingFIFO_rtl_0,StreamingFIFO_rtl,2,auto,UINT8,"[1, 64, 64, 1, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_1,StreamingFIFO_rtl,2,auto,INT8,"[1, 64, 64, 1, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_2,StreamingFIFO_rtl,428,auto,INT8,"[1, 64, 64, 1, 1]",1,428,8,3424,428.0
0,StreamingFIFO_rtl_3,StreamingFIFO_rtl,1579,auto,INT8,"[1, 64, 64, 1, 1]",1,1579,8,12632,1579.0
0,StreamingFIFO_rtl_4,StreamingFIFO_rtl,4096,auto,INT8,"[1, 64, 64, 1, 1]",1,4096,8,32768,4096.0
0,StreamingFIFO_rtl_5,StreamingFIFO_rtl,4356,auto,INT8,"[1, 66, 66, 1, 1]",1,4356,8,34848,4356.0
0,StreamingFIFO_rtl_6,StreamingFIFO_rtl,2,auto,INT8,"[1, 32, 32, 9, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_7,StreamingFIFO_rtl,2,auto,INT8,"[1, 32, 32, 1, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_8,StreamingFIFO_rtl,2,auto,INT8,"[1, 32, 32, 3, 3]",3,6,8,48,6.0
0,StreamingFIFO_rtl_9,StreamingFIFO_rtl,2,auto,INT14,"[1, 32, 32, 1, 3]",3,6,14,84,10.5
0,StreamingFIFO_rtl_10,StreamingFIFO_rtl,2,auto,INT14,"[1, 32, 32, 3, 1]",1,2,14,28,3.5
0,StreamingFIFO_rtl_11,StreamingFIFO_rtl,2,auto,INT8,"[1, 32, 32, 3, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_12,StreamingFIFO_rtl,647,auto,INT8,"[1, 32, 32, 1, 3]",3,1941,8,15528,1941.0
0,StreamingFIFO_rtl_13,StreamingFIFO_rtl,32,auto,INT8,"[1, 32, 32, 4]",4,128,8,1024,128.0
0,StreamingFIFO_rtl_14,StreamingFIFO_rtl,2,auto,INT8,"[1, 32, 32, 4, 1]",1,2,8,16,2.0
0,StreamingFIFO_rtl_15,StreamingFIFO_rtl,2,auto,UINT8,"[1, 32, 32, 4, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_0,StreamingFIFO_rtl,2,auto,UINT8,"[1, 32, 32, 4, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_1,StreamingFIFO_rtl,122,auto,UINT8,"[1, 32, 32, 4, 1]",1,122,8,976,122.0
1,StreamingFIFO_rtl_2,StreamingFIFO_rtl,2,auto,UINT8,"[1, 32, 32, 4, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_3,StreamingFIFO_rtl,32,auto,UINT8,"[1, 32, 32, 1, 4]",4,128,8,1024,128.0
1,StreamingFIFO_rtl_4,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_5,StreamingFIFO_rtl,32,auto,UINT8,"[1, 16, 16, 1, 4]",4,128,8,1024,128.0
1,StreamingFIFO_rtl_6,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 2, 8]",8,16,8,128,16.0
1,StreamingFIFO_rtl_7,StreamingFIFO_rtl,2,auto,INT14,"[1, 16, 16, 1, 4]",4,8,14,112,14.0
1,StreamingFIFO_rtl_8,StreamingFIFO_rtl,64,auto,INT16,"[1, 16, 16, 8, 2]",2,128,16,2048,256.0
1,StreamingFIFO_rtl_9,StreamingFIFO_rtl,2,auto,INT14,"[1, 16, 16, 4, 1]",1,2,14,28,3.5
1,StreamingFIFO_rtl_10,StreamingFIFO_rtl,539,auto,INT16,"[1, 16, 16, 16, 1]",1,539,16,8624,1078.0
1,StreamingFIFO_rtl_11,StreamingFIFO_rtl,4096,auto,INT8,"[1, 16, 16, 16, 1]",1,4096,8,32768,4096.0
1,StreamingFIFO_rtl_12,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 4, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_13,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 1, 4]",4,8,8,64,8.0
1,StreamingFIFO_rtl_14,StreamingFIFO_rtl,50,auto,UINT8,"[1, 18, 18, 1, 4]",4,200,8,1600,200.0
1,StreamingFIFO_rtl_15,StreamingFIFO_rtl,1296,auto,UINT8,"[1, 18, 18, 4, 1]",1,1296,8,10368,1296.0
1,StreamingFIFO_rtl_16,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 36, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_17,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 4, 9]",9,18,8,144,18.0
1,StreamingFIFO_rtl_18,StreamingFIFO_rtl,2,auto,INT19,"[1, 16, 16, 1, 4]",4,8,19,152,19.0
1,StreamingFIFO_rtl_19,StreamingFIFO_rtl,2,auto,INT19,"[1, 16, 16, 4, 1]",1,2,19,38,4.75
1,StreamingFIFO_rtl_20,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 4, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_21,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 1, 4]",4,8,8,64,8.0
1,StreamingFIFO_rtl_22,StreamingFIFO_rtl,2,auto,INT13,"[1, 16, 16, 2, 8]",8,16,13,208,26.0
1,StreamingFIFO_rtl_23,StreamingFIFO_rtl,2,auto,INT8,"[1, 16, 16, 2, 8]",8,16,8,128,16.0
1,StreamingFIFO_rtl_24,StreamingFIFO_rtl,2,auto,INT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_25,StreamingFIFO_rtl,2,auto,INT9,"[1, 16, 16, 16, 1]",1,2,9,18,2.25
1,StreamingFIFO_rtl_26,StreamingFIFO_rtl,2,auto,INT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_27,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_28,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_29,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 16, 1]",1,2,8,16,2.0
1,StreamingFIFO_rtl_30,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 1, 16]",16,32,8,256,32.0
1,StreamingFIFO_rtl_31,StreamingFIFO_rtl,325,auto,INT8,"[1, 16, 16, 16, 1]",1,325,8,2600,325.0
1,StreamingFIFO_rtl_32,StreamingFIFO_rtl,2,auto,INT19,"[1, 16, 16, 2, 2]",2,4,19,76,9.5
1,StreamingFIFO_rtl_33,StreamingFIFO_rtl,2,auto,UINT8,"[1, 16, 16, 2, 2]",2,4,8,32,4.0
