case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.5810573791026177,0.748547449966513,0.4748157248152387,0.5597487235298286,0.5476260422926008
test_101,0.9419960193339906,0.9382611158298807,0.9457607764759552,0.9650529761282122,0.9681540405286272
test_102,0.8673612737061381,0.9200298025574816,0.8203964123569812,0.8582371357068984,0.8912629656864491
test_103,0.5886927443809092,0.9274687576551642,0.43119161540165046,0.5487869875633221,0.591986466856547
test_104,0.8866024518383939,0.9547383309748293,0.8275439313436579,0.8993713889877615,0.9091869035855034
test_105,0.7246512498826305,0.7092458535684878,0.7407407407400318,0.7061240853275291,0.7315294442845452
test_106,0.7960355151762147,0.9295013983981777,0.6960855120607423,0.7958009757776342,0.8205587032734373
test_107,0.4921312349953426,0.9437340153404413,0.3328522460755316,0.43156162923557534,0.4527176491233199
test_108,0.8376298576367471,0.7984595635415396,0.8808415941717969,0.8565655173370819,0.8663060354249734
test_109,0.8497207649341261,0.9073003252603772,0.7990133672807145,0.8479927815342253,0.8708911817405856
test_10,0.8907428204713257,0.872955974842081,0.9092695709131106,0.931354606914451,0.9339647299181816
test_110,0.741355030511077,0.9622258326544227,0.6029524051913936,0.7291556600744818,0.7411397530792497
test_111,0.6766535483043333,0.8412247474720921,0.5659375663610832,0.7472046386840242,0.7727046654712005
test_112,0.8164839626466257,0.9482867022933853,0.7168488593147375,0.76818309866831,0.7865256333560507
test_113,0.7280462353501942,0.9245667686015809,0.6004236727120345,0.7556877472389232,0.7398720343066749
test_114,0.6702989661912054,0.9512291831860602,0.517471958584429,0.6109427318572919,0.6513839565897329
test_115,0.691041308957993,0.8819283320420678,0.5680836931242642,0.738427892797891,0.7456254227178587
test_116,0.5384112760192864,0.5947618065568266,0.4918144611178516,0.5132496128126196,0.5203694325574922
test_117,0.7993858146809193,0.851749307826766,0.7530877934786323,0.8202985410376763,0.8472726709602221
test_118,0.7055782312915571,0.7570802919685925,0.6606369426734761,0.7425814094557378,0.7489698891561934
test_119,0.8367649481132953,0.8453985688120397,0.8283058861881163,0.7873412046847907,0.8073467936447365
test_11,0.7405807720486134,0.6763400718456882,0.8183057780800934,0.7300532199236316,0.7723198337474075
test_120,0.5760807465239229,0.646782125292609,0.5193133047201385,0.5842030445969769,0.6155566250922252
test_121,0.8254251234223632,0.8634342275127479,0.7906213056603302,0.8240031983745886,0.8255664933600398
test_122,0.822585528306354,0.8503912363040677,0.7965406039261316,0.8472715161653098,0.8678155255813175
test_123,0.7092444752971083,0.7660584853767407,0.6602757432127094,0.7945198598175557,0.7683794927930223
test_124,0.725454066859318,0.8657954259853408,0.6242638398109773,0.750917190786969,0.7665727620114129
test_125,0.7083187899933585,0.8312397596918863,0.6170687208582667,0.7173290429088972,0.7220249363728032
test_126,0.8527904798631336,0.9436113143130068,0.7779173786306272,0.7693355951484806,0.8524366404353564
test_127,0.888072577502706,0.9225254394068888,0.8561004399604505,0.8973264900273308,0.8942801958244966
test_128,0.44371852456724686,0.6871838111269511,0.3276381909541153,0.4259932345891785,0.44216160254986414
test_129,0.5325008005114753,0.773848301531997,0.4059067610436761,0.5814593442366621,0.6013186926740001
test_12,0.47942138797919853,0.7882219705504632,0.3444691907935054,0.6255916947057737,0.5729690968008775
test_130,0.8815842651216215,0.9353916523721159,0.8336305732478766,0.8977680270105878,0.9217731188306352
test_131,0.8696368401341298,0.8671046737332132,0.8721838389893779,0.8988950422798628,0.8956837040270003
test_132,0.7205702909249755,0.8311111111098799,0.6359823149295589,0.7077752506946796,0.7299361158105198
test_133,0.85466488761118,0.8841579953271562,0.8270758839880541,0.8264054641063084,0.8579088140050269
test_134,0.7155663414389006,0.6246433203626246,0.8374681196373318,0.6693688428255828,0.6933546966793058
test_135,0.6784169726636651,0.8210547106442405,0.5780033370403532,0.7363929446825033,0.7378237316003999
test_136,0.7593710001821545,0.9192120407239505,0.6468847352014846,0.7611260474093012,0.7869306711135499
test_137,0.7672968045289477,0.8009616347783222,0.7363477299928756,0.7644928772755288,0.7843344750592102
test_138,0.8394290058274858,0.9205261207837708,0.7714640583748308,0.8875063570570558,0.8693377364119674
test_139,0.8831633565925181,0.9552932068880292,0.8211612044571267,0.9218414478600429,0.9276214783769849
test_13,0.8001241464924477,0.7473908001538969,0.8608637577906713,0.6932714052574024,0.7520206918362781
test_140,0.8259897408906669,0.9200117198918254,0.7494033412869943,0.9069616686110559,0.8964385140538059
test_141,0.855285961871221,0.8109154929567947,0.9047930853838334,0.9004885058746565,0.9071359618740121
test_142,0.584896584896116,0.766547594030749,0.4728451069339302,0.5286777536772125,0.5737998724859786
test_143,0.8135111599977939,0.9313674047634259,0.7221318144827321,0.7968567014445223,0.8290641983361937
test_144,0.8763706282799582,0.8993174061423854,0.8545657241300754,0.9395067623720544,0.9378511426321045
test_145,0.6815371869220053,0.780925952970964,0.6045906829482083,0.7490675467588933,0.7551098916876866
test_146,0.04901128230007398,0.026247401247367144,0.36928702010293807,0.07846744299631239,0.07592128374799387
test_147,0.6699602999555933,0.8045343786409529,0.5739551054337737,0.6797590973501666,0.711358592597514
test_148,0.6416607385367382,0.947659980895993,0.48504106374610373,0.5626035488032165,0.5605244674544002
test_149,0.830370170223815,0.917482684498546,0.7583654130877915,0.8886217217303356,0.8778625219839822
test_14,0.8366994419340708,0.9139332365734195,0.7715020828218924,0.8331738191495024,0.851395660634249
test_150,0.8964905963490856,0.9612711612705902,0.8398899730118123,0.8309958258023574,0.8502139750962838
test_151,0.7729036108620996,0.905323079995101,0.6742784885445743,0.7349123706959692,0.7388019933673543
test_152,0.6727969348651638,0.765379825651892,0.6001953124988277,0.680297700844514,0.7338972911942775
test_153,0.6617274688167853,0.9064748201415559,0.5210456357989647,0.5877819354733659,0.5904855393964633
test_154,0.9057823991878609,0.9420997098378501,0.8721611721601072,0.9385858592081975,0.938291497268517
test_155,0.7588511416972242,0.8790783410122045,0.6675531914884273,0.7619772035161922,0.8181443294049583
test_156,0.8874882408274283,0.8638403076633423,0.9124673566100082,0.9062142502196749,0.8976057576203386
test_157,0.6143479162343902,0.7338699690393389,0.5283052509578957,0.5932794895111514,0.5999669392728508
test_158,0.849160997731656,0.7548782454430658,0.9703565505784196,0.7953018587658022,0.8535754774938877
test_159,0.8307815356485199,0.8968792401617159,0.7737575822062639,0.8292639426713067,0.8114923505867787
test_15,0.5147489304204967,0.6680303915819169,0.41868131868055186,0.46954473166293975,0.4772727225639091
test_160,0.7661022866113055,0.7164544564141097,0.8231432858199116,0.8165478674727825,0.8202665335996426
test_161,0.5874427003746441,0.6215461493230137,0.5568870160645814,0.5978279531799667,0.6689392798392684
test_162,0.7634902411015553,0.8861602893567749,0.6706526437103146,0.7086878521222086,0.7172206663319712
test_163,0.5486133875299622,0.6419146977590643,0.47899255867146073,0.5744885233916488,0.6029153104684446
test_164,0.8480369515003713,0.9293379226545265,0.779816513760143,0.8844055366853669,0.8749526807845535
test_165,0.8738070858075471,0.8730561466681346,0.8745593178643317,0.8619756140514729,0.9356136980290674
test_166,0.7030975706434661,0.855449910430129,0.5968083060944079,0.6810912907160742,0.6718551540010872
test_167,0.9000356668068804,0.9284233059061285,0.8733324943362236,0.9114082654080313,0.9640907861233978
test_168,0.7537973248687896,0.7860520094544066,0.7240853658520817,0.6964919964444123,0.758838200509082
test_169,0.8395642291709071,0.9174374785869862,0.7738766074255543,0.8730141437011604,0.8733191741194092
test_16,0.713543599257223,0.8182978723386845,0.6325657894726439,0.7071576954362085,0.7101736925407163
test_170,0.7479577306447216,0.7765328353551564,0.7214110163355192,0.7545677622429623,0.7681604083340465
test_171,0.7890174809932744,0.7925868275116328,0.7854801388345685,0.7632682037474897,0.7964501802630624
test_172,0.8005863383167395,0.8270139309499369,0.7757954545445729,0.7235254832871216,0.7431431711256383
test_173,0.7678919888187501,0.9172231321646501,0.6603773584899669,0.7612748836195528,0.7706804014550118
test_174,0.8851668504883974,0.9377717391299251,0.8381502890169339,0.8007647658119519,0.852679259809104
test_175,0.7854344827581873,0.8437648174480277,0.7346475384449017,0.8082118942537245,0.791706384749945
test_176,0.8479808925645327,0.8921358771513335,0.8079905596756507,0.8635831145174976,0.8500811045250809
test_177,0.5911440385935638,0.7865657955048452,0.4735026221356976,0.5314391172935065,0.5587887652553823
test_178,0.4851612903210156,0.46563467491971744,0.5063973063938964,0.5177960324166632,0.5064608298543372
test_179,0.33952831213961576,0.5298507462668595,0.24980009595354263,0.32067574582060926,0.311861885146847
test_17,0.7427492243346246,0.6673939393923215,0.8372871046203246,0.767243440683265,0.7603729043979897
test_180,0.7047619047605886,0.56277960035621,0.9425574425527345,0.6870782959569292,0.695239896770816
test_181,0.7875011207743264,0.8071126631126565,0.7688200280105314,0.8217540644747864,0.865709897388811
test_182,0.7562906915348298,0.7588276836131398,0.7537706068019862,0.7707363961886459,0.8227676023071823
test_183,0.7761436251137153,0.9054549757414442,0.6791515043927583,0.8141277315887365,0.8187986102562828
test_184,0.8794840360317256,0.9033176393289134,0.8568757789770909,0.9110909540950007,0.9328261954427735
test_185,0.9118706475619051,0.8728164265999497,0.9545835428172372,0.9467299959109718,0.9510686298144636
test_186,0.7048939298459306,0.6974231088929813,0.7125265392766189,0.6797963907241336,0.6468670986679265
test_187,0.4626710908331992,0.8476443768964755,0.31816885339372764,0.45676316585371335,0.4708551366570817
test_188,0.6102763865696436,0.4955565597221034,0.7941105479102242,0.576791993166969,0.6126902846806199
test_189,0.7944630220073143,0.6784433523699317,0.9583489681032676,0.7368435030874061,0.771683110405876
