case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,7379,0,0.0,7,0.9990940490345961,0.9956633690201925,1,0.6838324976284049,1,7,2,7.0,21,8,0,0.0,False
test_10,LAD_LCX,11128,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_100,LAD_LCX,7539,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,20,0,0,,False
test_101,RCA,6741,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,16269,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,20,0,0,,False
test_103,LAD_LCX,5315,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,11,0,0,,False
test_104,RCA,8384,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_105,LAD_LCX,7826,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_106,LAD_LCX,9521,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,8,0,0,,False
test_107,LAD_LCX,2173,0,0.0,6,1.0,1.0,0,0.0,2,6,3,3.0,15,0,0,,False
test_108,LAD_LCX,5185,0,0.0,4,0.999855533082924,0.9996142719382836,1,0.6675024108003857,1,4,2,4.0,7,0,0,,False
test_109,LAD_LCX,5539,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,4,0,0,,False
test_11,LAD_LCX,10350,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,13,0,0,,False
test_110,LAD_LCX,6113,0,0.0,8,0.9996161719549641,0.9995092425977425,1,0.1598233273351873,1,8,2,8.0,16,0,0,,False
test_111,LAD_LCX,1437,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,9,0,0,,False
test_112,RCA,5971,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5610,0,0.0,2,0.9494451294697903,0.9853832442067736,1,0.1445632798573975,2,2,0,1.0,9,4,4,1.0,False
test_114,RCA,3201,818,0.2555451421430803,16,0.9914707422249691,0.9721961886910341,3,0.6304279912527335,1,16,4,16.0,15,0,0,,False
test_115,LAD_LCX,4341,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_116,LAD_LCX,2815,0,0.0,4,0.9902452619843924,0.9875666074600356,1,0.3186500888099467,1,4,0,4.0,9,0,0,,False
test_117,LAD_LCX,8379,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_118,LAD_LCX,3226,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,6,0,0,,False
test_119,RCA,4981,3,0.0006022886970487854,2,0.9996971532404604,0.9993977113029512,1,0.9943786388275446,1,2,0,2.0,2,0,0,,False
test_12,LAD_LCX,4411,0,0.0,1,0.9718884606665156,0.9718884606665156,1,1.0,2,1,0,0.5,3,1,1,1.0,False
test_120,LAD_LCX,4430,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_121,RCA,6009,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_122,RCA,2572,0,0.0,5,1.0,1.0,0,0.0,1,5,2,5.0,0,0,0,,False
test_123,LAD_LCX,3902,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_124,LAD_LCX,8996,0,0.0,3,0.9216432103461392,0.7939084037349934,1,0.8767229879946643,2,3,1,1.5,10,16,0,0.0,False
test_125,LAD_LCX,3190,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_126,RCA,16740,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,8525,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_128,LAD_LCX,8508,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,11,0,0,,False
test_129,LAD_LCX,2166,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,3,0,0,,False
test_13,RCA,12477,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,0,0,0,,False
test_130,RCA,11337,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_131,LAD_LCX,6426,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,12,0,0,,False
