case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6495479591287382,0.6802240896350922,0.6215192465186102,0.6488362321613661,0.6407402901800646
test_101,0.9508668441112503,0.9585206671487186,0.9433342848973119,0.9861125940813229,0.9820717081294346
test_102,0.858798143714091,0.921237871773149,0.8042852397293742,0.8590199318311456,0.8930550660341733
test_103,0.6479556037503043,0.7361936512527378,0.5786056049207352,0.5898682052285379,0.6205106638317811
test_104,0.8737034777298387,0.9557092585839634,0.804658765834895,0.8999325200860743,0.9091539548158011
test_105,0.7666299889963155,0.8029334730216836,0.7334673174459436,0.7565294328009904,0.7872959933564264
test_106,0.783766804874656,0.9328082942867781,0.6757908421199799,0.7522340340600983,0.786273205582745
test_107,0.5380906460938547,0.810751907007589,0.40267003427674064,0.564621864049559,0.5459480994657383
test_108,0.7663981588024871,0.728532360983175,0.8084159417341525,0.7858583977449519,0.8002199007119541
test_109,0.8135502800739631,0.9218214789423296,0.728039465307562,0.8288760407539777,0.8389821095269502
test_10,0.8869840753977547,0.8801193163488551,0.893956763838115,0.920281453873393,0.911827910787015
test_110,0.7392241379305033,0.848729792146406,0.6547467548986323,0.7372838869823619,0.7245335854075322
test_111,0.6102969783418359,0.7838107928021859,0.49968146103100514,0.6937470876471001,0.6842769415077438
test_112,0.8044569777833382,0.9550873754679813,0.6948669201512655,0.7427602013637203,0.7742154428739267
test_113,0.7575302395440291,0.9401491365758632,0.6343174897383367,0.7859834446908398,0.7772220036918688
test_114,0.6698960966016078,0.9595736122265496,0.5145599654869342,0.6741214068945909,0.675913675540172
test_115,0.7189384800958346,0.8147213459499165,0.6433078711380882,0.7798173591497825,0.7631222831456491
test_116,0.6136591592955104,0.6594160297851079,0.5738403819908359,0.6214550686995709,0.6248108451349902
test_117,0.7770233271269428,0.7649595687323288,0.7894736842096478,0.7978542890617584,0.8045618284411413
test_118,0.7112729479582593,0.8792198049479399,0.5971974522277779,0.7528668675628754,0.7531489207610038
test_119,0.848969072164219,0.8972217178120624,0.8056416109558037,0.7975276745056149,0.8224026701810965
test_11,0.7409134339764032,0.6716790243221733,0.8260610192595652,0.7518300674622227,0.771432196437988
test_120,0.5749286174812794,0.6202305246410568,0.5357939914153892,0.593410445059705,0.623938767785125
test_121,0.8097106061721487,0.9274330281435615,0.7185078155776717,0.8291427152215132,0.8014702278930729
test_122,0.7874891398769983,0.9667235494839304,0.664321313395883,0.7995482729989251,0.8078657787982668
test_123,0.7533695909189484,0.8349056603751706,0.6863420939235538,0.8285635756574329,0.803841423136199
test_124,0.7208534141979093,0.8958277254362103,0.6030624263834347,0.7347224367411493,0.7601940804302314
test_125,0.7149343477718555,0.9057835820867358,0.5905128724901875,0.7216145893148649,0.7333343981768637
test_126,0.8329207920789737,0.945828542225025,0.7440948839075565,0.7281846429863638,0.8418321786990242
test_127,0.8828044200093175,0.8958241272637032,0.8701577422460884,0.9124918782253564,0.9139751260412855
test_128,0.7243740219085246,0.7054677081335389,0.744321608038705,0.7725289116230817,0.8115412102213103
test_129,0.6492813750175592,0.8261689291069904,0.534781547472456,0.7465214197585052,0.7309570908461251
test_12,0.6426463736595083,0.8628023352758015,0.5120019797067261,0.7946759558445292,0.7772680471968518
test_130,0.8743434343431399,0.9274285714279089,0.8270063694262247,0.896517434581868,0.9022776875966443
test_131,0.8484670676244327,0.8291284403657839,0.8687293481512937,0.8775722698973075,0.8742152820097862
test_132,0.7177515911521093,0.808030646990908,0.6456184106103099,0.7102697334286766,0.7279152800330625
test_133,0.7823412905239329,0.8230971704312096,0.7454310687318777,0.7505977457639893,0.7728925397750277
test_134,0.7674404654785151,0.7951522684887569,0.7415951773698798,0.689703195788666,0.7253345566185885
test_135,0.6633199464519215,0.832773109241948,0.551167964404128,0.7346482395885893,0.7454417771327068
test_136,0.7948317724585545,0.8965179968683558,0.7138629283477977,0.8169290892645487,0.8334557519112056
test_137,0.7729259569955526,0.7424088210341455,0.8060594898233667,0.7969806740482182,0.815926135803221
test_138,0.8280484660987986,0.9272517320998321,0.7480204937109952,0.8921567738144875,0.8750709063376988
test_139,0.9140811455839464,0.9372487327373934,0.892031275992527,0.951082604755681,0.9555382445054303
test_13,0.7911771995039448,0.7131623626121766,0.8883570792510147,0.7436341397655967,0.766764190259718
test_140,0.6868656264191988,0.9402737453299864,0.541050119330451,0.7373103818788767,0.7060478153053187
test_141,0.880428687145068,0.8397717817653158,0.9252226296478192,0.937385602336035,0.9333015446484272
test_142,0.46424870466277507,0.8496551724108633,0.3193778353851985,0.4283197377738184,0.4173517357545102
test_143,0.7193781005468627,0.9683326449112374,0.5722538649303724,0.7036023142125872,0.7129301051408803
test_144,0.8761499601165242,0.9216827030645315,0.8349042262077279,0.9348199699455175,0.9275867721086449
test_145,0.633518531541857,0.8379534883705341,0.5092718227040827,0.6925779488630351,0.698880537173488
test_146,0.09702362037909434,0.05149539015060547,0.8372943327086417,0.11403963344137125,0.10365571386293972
test_147,0.6579009601283365,0.8790444893821043,0.5256594361722275,0.6484724795629202,0.6884166602468875
test_148,0.5866539788268189,0.7488612207701961,0.48220570981571936,0.5189251486949129,0.4920084084486508
test_149,0.770320483046464,0.9352883124193778,0.6548218339742821,0.8499287781547211,0.8389652933870281
test_14,0.7487344116552977,0.7546042807357459,0.7429551580485875,0.6699411269547939,0.6785602090226321
test_150,0.9070338585499306,0.9684167108591312,0.8529686526879525,0.8460539149900136,0.8777892248904878
test_151,0.7904665656051918,0.9109083850922836,0.6981553109188499,0.763486490302942,0.7644488914511044
test_152,0.7570571630197979,0.6903153153142048,0.8380859374983631,0.7526902713489172,0.7820692590699913
test_153,0.6171635049678255,0.7946033961367885,0.5045045045037594,0.5733355866823582,0.6192012510576013
test_154,0.9061250396693709,0.9435558493047673,0.8715506715496074,0.9388902961436268,0.9360518948931021
test_155,0.7947826086950762,0.8239182692295314,0.7676371780504373,0.8088012264115229,0.8310818342811773
test_156,0.8854515850967889,0.8768851370569316,0.8941870587088749,0.8961030925186131,0.8871104454807969
test_157,0.6044539789556622,0.7076904676465641,0.5275028973874231,0.5731982857467727,0.5761282226788309
test_158,0.7403015852548779,0.9785349233356779,0.595356550579197,0.7675750346839526,0.7922739196809189
test_159,0.8370702541101316,0.910341378015618,0.7747153346804567,0.847376973389862,0.8229871808590089
test_15,0.6725315863353556,0.6876555023910285,0.6580586080574028,0.6722248029038884,0.641169078235078
test_160,0.8009363464474647,0.7702164502151165,0.8342085521364699,0.8683911470581781,0.8668517873340716
test_161,0.5062274552504551,0.5238766023376196,0.4897287332097844,0.505805916939103,0.5699641224361767
test_162,0.8098903662228365,0.8797297297282437,0.7503241607826677,0.7615744173010341,0.783393903354068
test_163,0.5544158118585474,0.6110574934501433,0.5073840870057156,0.5883511444321847,0.6069061688763167
test_164,0.7191961924899849,0.9526478005016737,0.5776418620445504,0.7835397941187037,0.7361503496700427
test_165,0.889833973991621,0.887656033286377,0.8920226285144772,0.8977504828460913,0.9402972096846066
test_166,0.6755236385393922,0.8947368421038447,0.5425879638525836,0.6311408573063162,0.6247730288778846
test_167,0.8735865836612648,0.8819907644940469,0.8653410521011419,0.8678995723168536,0.9207397682795445
test_168,0.7298457934796702,0.6613017332849995,0.8142421602769725,0.6329984578442268,0.7058747418554244
test_169,0.8495381243143497,0.9270459593355083,0.7839907527802572,0.8820944244007732,0.8829643111389265
test_16,0.6860749185660768,0.9001068376044336,0.5542763157885621,0.6565444422925317,0.6730153102158042
test_170,0.7621598759334821,0.7437061494005452,0.7815526962544722,0.7454205355205376,0.7479495604245312
test_171,0.8354955338149535,0.9313655761013141,0.7575202468176268,0.8154620269286569,0.831613123309367
test_172,0.8220817340252754,0.81673396141676,0.8274999999990595,0.7665136192779438,0.786003288270921
test_173,0.7923120175838101,0.9076004215939716,0.7030116110298412,0.7729682866797237,0.7995862294589147
test_174,0.8867613591773558,0.9607754222871778,0.8233351143921779,0.812217159736138,0.8830739967754563
test_175,0.7391256949739784,0.7831812406136268,0.6997626174004543,0.7732125464364769,0.7502751840836701
test_176,0.8520667797514275,0.9056747010809397,0.8044504383000636,0.8589562598992391,0.8527696377577251
test_177,0.6104360257323026,0.5369943408084918,0.7071487717351543,0.5761671554663765,0.61062575814687
test_178,0.6707907477120205,0.5584415584390576,0.8397306397249851,0.6505911436620959,0.6570225704114252
test_179,0.23622968073881856,0.43951261966736505,0.1615224692145186,0.23662920857581715,0.21713772576611345
test_17,0.5727558066533927,0.48770579431155076,0.693734793185238,0.5513289650289398,0.5395301794859012
test_180,0.7229744251005309,0.634477555636988,0.8401598401556436,0.671322807014885,0.6816479352238736
test_181,0.7644171216218909,0.8031427745099747,0.7292542016800339,0.8136578574758699,0.8257079250276247
test_182,0.743554486076412,0.7290192113221132,0.7586811645010219,0.7570107403709727,0.7751097857285477
test_183,0.7511944877529793,0.8667595171763384,0.6628206266080919,0.814117687707782,0.7972631810091708
test_184,0.8838569880818613,0.9236865942018526,0.8473203157448614,0.9160708738368615,0.9443133852345517
test_185,0.9083938982502129,0.8677143729007206,0.953075247191297,0.9302787024299413,0.9471233300222971
test_186,0.6143489487268403,0.5430388001295353,0.7072186836503032,0.5696792562128784,0.5431417014509947
test_187,0.46729767095558084,0.9188624006653331,0.3133200228175794,0.3657817559430673,0.39928698429734244
test_188,0.6012944983813905,0.452233175124191,0.8969345884603019,0.5907157029314755,0.6144461214648071
test_189,0.8749427393487174,0.8549686660682991,0.8958724202609833,0.8662063394373978,0.8939521126142144
test_18,0.7520636499246622,0.7946616225288049,0.7138002642992,0.7693060133949917,0.7423198813206091
test_190,0.8185637127420027,0.9120356612170698,0.7424700616901626,0.8358563622052322,0.8615745405463704
test_191,0.6631205673753753,0.7350880191407707,0.6039882039030979,0.7053445589333519,0.6994395158797977
