case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6716,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,11,0,0,,False
test_10,LAD_LCX,11096,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_100,LAD_LCX,8224,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,17,0,0,,False
test_101,RCA,6794,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_102,LAD_LCX,14713,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,11,0,0,,False
test_103,LAD_LCX,5611,0,0.0,13,0.9791691824658858,0.9385136339333452,1,0.2270540010693281,1,13,5,13.0,26,6,0,0.0,False
test_104,RCA,8262,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_105,LAD_LCX,8414,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_106,LAD_LCX,10760,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,10,0,0,,False
test_107,LAD_LCX,1461,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,6,0,0,,False
test_108,LAD_LCX,4802,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,3,0,0,,False
test_109,LAD_LCX,5450,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_11,LAD_LCX,8468,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,5,0,0,,False
test_110,LAD_LCX,6396,0,0.0,3,0.9290384747745888,0.8388055034396498,1,0.7571919949968731,1,3,0,3.0,9,6,0,0.0,False
test_111,LAD_LCX,2063,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,15,0,0,,False
test_112,RCA,6035,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5252,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,12,0,0,,False
test_114,RCA,3433,3071,0.894552869210603,6,0.9706659120920581,0.909408680454413,1,0.5147101660355374,1,6,1,6.0,15,0,0,,False
test_115,LAD_LCX,4541,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,13,0,0,,False
test_116,LAD_LCX,3079,0,0.0,2,0.9266826923076923,0.9405651185449821,1,0.4053264046768431,1,2,0,2.0,8,4,0,0.0,False
test_117,LAD_LCX,8203,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,10,0,0,,False
test_118,LAD_LCX,3397,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,12,0,0,,False
test_119,RCA,5314,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_12,LAD_LCX,2098,0,0.0,2,1.0,1.0,0,0.0,2,2,1,1.0,4,0,0,,False
test_120,LAD_LCX,4116,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_121,RCA,6336,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_122,RCA,2801,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_123,LAD_LCX,3809,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,6,0,0,,False
test_124,LAD_LCX,8458,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,9,0,0,,False
test_125,LAD_LCX,4423,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_126,RCA,16067,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_127,RCA,8477,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_128,LAD_LCX,4843,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,14,0,0,,False
test_129,LAD_LCX,2869,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_13,RCA,11480,16,0.0013937282229965157,3,1.0,1.0,0,0.0,2,3,0,1.5,3,0,0,,False
test_130,RCA,12057,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_131,LAD_LCX,6380,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,22,0,0,,False
test_132,LAD_LCX,6282,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,7,0,0,,False
test_133,LAD_LCX,9316,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,15,0,0,,False
test_134,LAD_LCX,9462,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_135,LAD_LCX,4628,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_136,RCA,4670,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_137,LAD_LCX,13674,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,17,0,0,,False
test_138,RCA,4170,774,0.1856115107913669,16,0.954583397496349,0.8726618705035971,5,0.8947242206235012,1,16,4,16.0,20,0,0,,False
