case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.605679919812492,0.8720415624381912,0.46396396396348893,0.5882316236905804,0.5643731628727742
test_101,0.9477872399825856,0.9274590163921757,0.9690265486711832,0.9782158548649799,0.9766873559091799
test_102,0.7801635678620454,0.8731573534447218,0.7050714206617733,0.7424248252237867,0.7944917791673234
test_103,0.45983719858665345,0.7054665409973953,0.34107997265853146,0.3857813186017826,0.4266176617164929
test_104,0.8710891302005853,0.9192194236431595,0.8277482631785577,0.8489428327920265,0.8808409969105583
test_105,0.573218402325061,0.6016833245653849,0.5473251028801346,0.5008281854612893,0.5541636639521248
test_106,0.7773927392736066,0.9064845102935284,0.6804853387254943,0.7526478839902174,0.8115372521946381
test_107,0.5611049451220113,0.8865939204953758,0.4104275662990972,0.5586267379066776,0.5615718295884854
test_108,0.6698161827858874,0.582027168233196,0.788792231436802,0.6787313240111319,0.7208362053290276
test_109,0.8465727374873829,0.926584673602788,0.7792807129204659,0.854856856041626,0.8653790778757914
test_10,0.8742710120064862,0.9177169607481834,0.8347527022593885,0.8982368489961142,0.8891211537543912
test_110,0.7247329498762498,0.7844648680688046,0.6734538050385932,0.7414087060785123,0.7282745344430789
test_111,0.7129352086687653,0.7798234552313246,0.6566149925660297,0.7918900142154572,0.7815569380858822
test_112,0.8485163977089741,0.9378596087443356,0.7747148288964179,0.8494055038179148,0.8633913772001776
test_113,0.7252646111361211,0.8619872379200328,0.6259764332045201,0.7631385529809295,0.751144353155293
test_114,0.6061935483867057,0.7543352601143958,0.5066867989640782,0.5940028226743811,0.6005327787896092
test_115,0.7126802937786809,0.762833870049701,0.6687147127189161,0.7654881343933722,0.7582453077535908
test_116,0.509807073954574,0.48220802919634703,0.540757162345599,0.49417128705520297,0.5122865529585793
test_117,0.7391887361712263,0.7423409269433932,0.7360632024026525,0.752333993048658,0.7655553507920418
test_118,0.7367644890123334,0.8746498599409152,0.6364331210174868,0.8106161586591553,0.8173804459071891
test_119,0.8373197625098919,0.8725472865460977,0.8048263492567996,0.7813925675480099,0.7819843130223726
