case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6490,0,0.0,15,0.9983104030895487,0.9838212634822804,1,0.6383667180277349,1,15,1,15.0,31,1,1,1.0,False
test_10,LAD_LCX,11108,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,9,0,0,,False
test_100,LAD_LCX,5197,0,0.0,11,0.8834722893041416,0.7587069463151819,6,0.9324610352126227,2,11,0,5.5,27,11,8,0.7272727272727273,False
test_101,RCA,7320,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_102,LAD_LCX,14585,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,25,0,0,,False
test_103,LAD_LCX,4244,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,21,0,0,,False
test_104,RCA,8814,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_105,LAD_LCX,9505,0,0.0,14,1.0,1.0,0,0.0,1,14,2,14.0,31,0,0,,False
test_106,LAD_LCX,10394,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,21,0,0,,False
test_107,LAD_LCX,2566,0,0.0,6,1.0,1.0,0,0.0,2,6,1,3.0,13,0,0,,False
test_108,LAD_LCX,6699,0,0.0,12,1.0,1.0,0,0.0,1,12,1,12.0,25,0,0,,False
test_109,LAD_LCX,5285,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,5,0,0,,False
test_11,LAD_LCX,11549,0,0.0,15,1.0,1.0,0,0.0,1,15,1,15.0,38,0,0,,False
test_110,LAD_LCX,6746,0,0.0,9,0.9608389012620638,0.9061666172546694,1,0.2662318410910169,1,9,0,9.0,20,1,0,0.0,False
test_111,LAD_LCX,3965,0,0.0,13,1.0,1.0,0,0.0,2,13,2,6.5,26,0,0,,False
test_112,RCA,6952,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_113,LAD_LCX,5485,0,0.0,13,0.9944002357795461,0.9930720145852324,1,0.09516864175022789,2,13,0,6.5,27,1,0,0.0,False
test_114,RCA,6228,706,0.11335902376364804,15,0.972201461707799,0.9246949261400128,2,0.5629415542710341,1,15,3,15.0,17,0,0,,False
test_115,LAD_LCX,5279,0,0.0,16,1.0,1.0,0,0.0,1,16,3,16.0,30,0,0,,False
test_116,LAD_LCX,6576,0,0.0,10,0.9875488408439697,0.9273114355231143,1,0.5837895377128953,1,10,0,10.0,25,4,0,0.0,False
test_117,LAD_LCX,8911,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,20,0,0,,False
test_118,LAD_LCX,2856,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,18,0,0,,False
test_119,RCA,5657,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_12,LAD_LCX,1937,0,0.0,11,0.9659814932542207,0.9927723283427982,3,0.09654104284976768,2,11,0,5.5,21,0,0,,False
test_120,LAD_LCX,5865,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_121,RCA,6416,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_122,RCA,2517,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,0,0,0,,False
test_123,LAD_LCX,4633,0,0.0,10,0.9886425902864259,0.9015756529246708,1,0.8666091085689618,1,10,2,10.0,21,4,4,1.0,False
test_124,LAD_LCX,6733,0,0.0,7,1.0,1.0,0,0.0,2,7,1,3.5,17,0,0,,False
test_125,LAD_LCX,4693,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,15,0,0,,False
test_126,RCA,16110,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,0,0,0,,False
test_127,RCA,8388,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,0,0,0,,False
test_128,LAD_LCX,6880,0,0.0,14,1.0,1.0,0,0.0,1,14,1,14.0,30,0,0,,False
test_129,LAD_LCX,3006,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,9,0,0,,False
test_13,RCA,12345,0,0.0,3,1.0,1.0,0,0.0,2,3,1,1.5,0,0,0,,False
test_130,RCA,9984,6045,0.60546875,7,0.9657101607727945,0.8676883012820513,2,0.9530248397435898,1,7,3,7.0,33,0,0,,False
test_131,LAD_LCX,6521,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,20,0,0,,False
test_132,LAD_LCX,7250,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,13,0,0,,False
test_133,LAD_LCX,9957,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,19,0,0,,False
test_134,LAD_LCX,6650,0,0.0,7,0.999772556690245,0.9984962406015038,1,0.9445112781954887,1,7,2,7.0,18,0,0,,False
test_135,LAD_LCX,5480,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,14,0,0,,False
test_136,RCA,5495,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_137,LAD_LCX,12130,0,0.0,15,1.0,1.0,0,0.0,1,15,3,15.0,29,0,0,,False
test_138,RCA,6548,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,0,0,0,,False
test_139,RCA,5902,0,0.0,11,1.0,1.0,0,0.0,1,11,6,11.0,0,0,0,,False
test_14,LAD_LCX,6990,0,0.0,14,1.0,1.0,0,0.0,2,14,2,7.0,29,0,0,,False
test_140,RCA,3536,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_141,LAD_LCX,9513,0,0.0,10,0.9843826655764513,0.9799222117102911,1,0.12856091664038685,2,10,0,5.0,21,1,0,0.0,False
test_142,LAD_LCX,1391,0,0.0,10,1.0,1.0,0,0.0,1,10,0,10.0,24,0,0,,False
test_143,RCA,11697,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,0,0,0,,False
test_144,RCA,8866,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_145,LAD_LCX,6813,0,0.0,10,1.0,1.0,0,0.0,1,10,0,10.0,23,0,0,,False
test_146,LAD_LCX,5498,0,0.0,12,1.0,1.0,0,0.0,1,12,1,12.0,30,0,0,,False
test_147,LAD_LCX,8947,0,0.0,8,0.9991123399301514,0.993182072202973,1,0.9600983569911702,1,8,1,8.0,21,6,0,0.0,False
test_148,LAD_LCX,6774,0,0.0,9,1.0,1.0,0,0.0,2,9,1,4.5,19,0,0,,False
test_149,RCA,7200,0,0.0,15,1.0,1.0,0,0.0,1,15,1,15.0,0,0,0,,False
test_15,LAD_LCX,2719,0,0.0,5,0.9011858394769787,0.9106289076866495,2,0.24163295329165135,1,5,0,5.0,11,2,1,0.5,False
test_150,RCA,18443,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_151,RCA,9846,0,0.0,13,1.0,1.0,0,0.0,2,13,4,6.5,0,0,0,,False
test_152,LAD_LCX,7191,0,0.0,16,1.0,1.0,0,0.0,1,16,1,16.0,39,0,0,,False
test_153,LAD_LCX,6014,0,0.0,4,0.9566547679755226,0.8303957432657133,1,0.9782174925174593,2,4,0,2.0,7,2,0,0.0,False
test_154,RCA,7984,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_155,RCA,7949,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,0,0,0,,False
