case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_1,LAD_LCX,6666,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,19,0,0,,False
test_10,LAD_LCX,11096,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,21,0,0,,False
test_100,LAD_LCX,9701,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,24,0,0,,False
test_101,RCA,7037,0,0.0,2,1.0,1.0,0,0.0,1,2,1,2.0,0,0,0,,False
test_102,LAD_LCX,14261,0,0.0,20,1.0,1.0,0,0.0,1,20,3,20.0,46,0,0,,False
test_103,LAD_LCX,5461,0,0.0,20,0.978143170336479,0.9934078007690899,2,0.3098333638527742,1,20,3,20.0,47,1,0,0.0,False
test_104,RCA,8593,0,0.0,5,1.0,1.0,0,0.0,1,5,1,5.0,0,0,0,,False
test_105,LAD_LCX,9694,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,22,0,0,,False
test_106,LAD_LCX,9633,0,0.0,7,0.9727725168961444,0.854043392504931,1,0.7658050451572719,2,7,0,3.5,16,4,0,0.0,False
test_107,LAD_LCX,2445,0,0.0,6,1.0,1.0,0,0.0,2,6,3,3.0,11,0,0,,False
test_108,LAD_LCX,3992,0,0.0,9,1.0,1.0,0,0.0,1,9,2,9.0,20,0,0,,False
test_109,LAD_LCX,5673,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,10,0,0,,False
test_11,LAD_LCX,14211,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,23,0,0,,False
test_110,LAD_LCX,5846,0,0.0,16,1.0,1.0,0,0.0,1,16,0,16.0,38,0,0,,False
test_111,LAD_LCX,2800,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,17,0,0,,False
test_112,RCA,5630,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_113,LAD_LCX,5862,0,0.0,23,1.0,1.0,0,0.0,2,23,9,11.5,51,0,0,,False
test_114,RCA,8690,0,0.0,12,1.0,1.0,0,0.0,1,12,2,12.0,0,0,0,,False
test_115,LAD_LCX,4971,0,0.0,18,1.0,1.0,0,0.0,1,18,2,18.0,34,0,0,,False
test_116,LAD_LCX,3093,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,8,0,0,,False
test_117,LAD_LCX,10451,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,22,0,0,,False
test_118,LAD_LCX,5005,0,0.0,12,1.0,1.0,0,0.0,2,12,2,6.0,27,0,0,,False
test_119,RCA,5889,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_12,LAD_LCX,2769,0,0.0,5,0.9566037735849058,0.9003250270855905,1,0.4593716143011918,2,5,1,2.5,11,4,0,0.0,False
test_120,LAD_LCX,4624,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,17,0,0,,False
test_121,RCA,6518,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_122,RCA,1922,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_123,LAD_LCX,3524,0,0.0,12,1.0,1.0,0,0.0,1,12,0,12.0,28,0,0,,False
test_124,LAD_LCX,8248,0,0.0,6,0.9474082250020439,0.6880455868089234,1,0.9886032977691561,2,6,1,3.0,17,8,0,0.0,False
test_125,LAD_LCX,5014,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,20,0,0,,False
test_126,RCA,15713,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_127,RCA,7268,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_128,LAD_LCX,10085,0,0.0,18,1.0,1.0,0,0.0,1,18,7,18.0,42,0,0,,False
test_129,LAD_LCX,3900,0,0.0,7,0.9664943207262956,0.788974358974359,1,0.8997435897435897,1,7,0,7.0,16,5,2,0.4,False
test_13,RCA,9825,0,0.0,9,1.0,1.0,0,0.0,2,9,1,4.5,0,0,0,,False
test_130,RCA,13053,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_131,LAD_LCX,7715,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,21,0,0,,False
test_132,LAD_LCX,6161,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,18,0,0,,False
test_133,LAD_LCX,9895,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,24,0,0,,False
test_134,LAD_LCX,6588,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_135,LAD_LCX,4121,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,12,0,0,,False
test_136,RCA,3923,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_137,LAD_LCX,12352,0,0.0,13,1.0,1.0,0,0.0,1,13,0,13.0,30,0,0,,False
test_138,RCA,5150,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,0,0,0,,False
test_139,RCA,6640,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_14,LAD_LCX,7847,0,0.0,15,1.0,1.0,0,0.0,2,15,0,7.5,33,0,0,,False
test_140,RCA,2610,2412,0.9241379310344827,6,0.9839805825242719,0.9241379310344827,1,0.789272030651341,1,6,0,6.0,15,0,0,,False
test_141,LAD_LCX,9590,0,0.0,8,1.0,1.0,0,0.0,2,8,2,4.0,20,0,0,,False
test_142,LAD_LCX,2124,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,15,0,0,,False
test_143,RCA,3666,2307,0.6292962356792144,15,0.9317275969258348,0.5780141843971631,2,0.7193126022913257,2,15,2,7.5,27,0,0,,False
test_144,RCA,4779,1279,0.26762921113203597,9,0.9318057326344618,0.871939736346516,2,0.39045825486503455,1,9,2,9.0,12,0,0,,False
test_145,LAD_LCX,6358,0,0.0,14,1.0,1.0,0,0.0,1,14,1,14.0,30,0,0,,False
test_146,LAD_LCX,4244,0,0.0,15,1.0,1.0,0,0.0,1,15,5,15.0,31,0,0,,False
test_147,LAD_LCX,8467,0,0.0,9,0.9716074934989121,0.8104405338372505,1,0.7418211881421991,1,9,0,9.0,22,14,13,0.9285714285714286,False
test_148,LAD_LCX,10368,0,0.0,7,0.9725606934633062,0.8284143518518519,1,0.8933256172839507,2,7,3,3.5,24,41,14,0.34146341463414637,False
test_149,RCA,6771,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,0,0,0,,False
test_15,LAD_LCX,3836,0,0.0,5,0.9427489177489179,0.8620959332638165,1,0.48175182481751827,1,5,0,5.0,11,3,2,0.6666666666666666,False
test_150,RCA,16973,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_151,RCA,11154,0,0.0,15,1.0,1.0,0,0.0,2,15,3,7.5,0,0,0,,False
test_152,LAD_LCX,7658,0,0.0,14,1.0,1.0,0,0.0,1,14,4,14.0,33,0,0,,False
test_153,LAD_LCX,5488,0,0.0,9,0.9798079022047589,0.8314504373177842,1,0.9274781341107872,2,9,1,4.5,25,14,0,0.0,False
test_154,RCA,7592,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_155,RCA,7856,0,0.0,13,1.0,1.0,0,0.0,1,13,1,13.0,0,0,0,,False
test_156,RCA,8802,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_157,LAD_LCX,7791,0,0.0,8,1.0,1.0,0,0.0,2,8,0,4.0,20,0,0,,False
test_158,LAD_LCX,6104,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,5,0,0,,False
test_159,LAD_LCX,10549,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,27,0,0,,False
test_16,LAD_LCX,4505,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,13,0,0,,False
test_160,LAD_LCX,4137,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,13,0,0,,False
test_161,LAD_LCX,10121,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,21,0,0,,False
test_162,LAD_LCX,3729,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,12,0,0,,False
test_163,LAD_LCX,8798,0,0.0,9,1.0,1.0,0,0.0,1,9,3,9.0,21,0,0,,False
test_164,LAD_LCX,6720,0,0.0,8,0.9650914634146341,0.7614583333333333,1,0.8541666666666666,1,8,1,8.0,20,6,0,0.0,False
test_165,RCA,7584,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_166,LAD_LCX,9512,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,28,0,0,,False
test_167,RCA,10803,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,0,0,0,,False
test_168,LAD_LCX,6553,0,0.0,4,1.0,1.0,0,0.0,2,4,0,2.0,10,0,0,,False
test_169,LAD_LCX,6514,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_17,LAD_LCX,7129,0,0.0,11,1.0,1.0,0,0.0,1,11,2,11.0,25,0,0,,False
test_170,LAD_LCX,9575,0,0.0,4,0.9443782618561379,0.7951958224543081,1,0.9205221932114882,1,4,0,4.0,19,23,7,0.30434782608695654,False
test_171,LAD_LCX,9544,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,16,0,0,,False
test_172,RCA,8484,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_173,LAD_LCX,11205,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,23,0,0,,False
test_174,RCA,19360,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,0,0,0,,False
test_175,LAD_LCX,9136,0,0.0,15,1.0,1.0,0,0.0,2,15,5,7.5,34,0,0,,False
test_176,LAD_LCX,11268,0,0.0,9,0.9780196822255208,0.8225949591764288,1,0.8967873624423145,1,9,2,9.0,24,12,0,0.0,False
test_177,LAD_LCX,9439,0,0.0,4,0.9468273661822049,0.8728678885475156,1,0.5977328106790973,1,4,0,4.0,15,10,0,0.0,False
test_178,LAD_LCX,2362,0,0.0,13,1.0,1.0,0,0.0,1,13,2,13.0,30,0,0,,False
test_179,LAD_LCX,5368,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,29,0,0,,False
test_18,LAD_LCX,4431,0,0.0,9,0.9622255384786054,0.8199052132701422,2,0.9088241931843828,1,9,2,9.0,21,12,9,0.75,False
test_180,LAD_LCX,3765,0,0.0,9,1.0,1.0,0,0.0,2,9,2,4.5,21,0,0,,False
test_181,LAD_LCX,10338,0,0.0,10,1.0,1.0,0,0.0,2,10,3,5.0,23,0,0,,False
test_182,LAD_LCX,3024,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,15,0,0,,False
test_183,LAD_LCX,10902,0,0.0,13,0.9974182949011324,0.9919280865896166,1,0.24050632911392406,2,13,1,6.5,29,0,0,,False
test_184,LAD_LCX,9266,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,6,0,0,,False
test_185,LAD_LCX,6647,0,0.0,10,1.0,1.0,0,0.0,1,10,3,10.0,22,0,0,,False
test_186,LAD_LCX,8299,0,0.0,10,0.9766484732261397,0.8092541270032534,1,0.8168454030606097,1,10,1,10.0,27,15,0,0.0,False
test_187,LAD_LCX,2076,0,0.0,7,0.9601922788042662,0.7447013487475915,1,0.9161849710982659,1,7,1,7.0,14,1,0,0.0,False
test_188,LAD_LCX,8027,0,0.0,7,1.0,1.0,0,0.0,2,7,0,3.5,16,0,0,,False
test_189,LAD_LCX,6786,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,9,0,0,,False
test_19,LAD_LCX,4797,52,0.01084010840108401,11,1.0,1.0,0,0.0,2,11,0,5.5,19,0,0,,False
test_190,LAD_LCX,7111,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,11,0,0,,False
test_191,LAD_LCX,8221,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,20,0,0,,False
test_192,LAD_LCX,4362,0,0.0,7,1.0,1.0,0,0.0,1,7,0,7.0,16,0,0,,False
test_193,RCA,2427,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,0,0,0,,False
test_194,LAD_LCX,10817,0,0.0,14,0.9888706440430578,0.9774429139317741,1,0.1447721179624665,1,14,0,14.0,34,2,0,0.0,False
test_195,RCA,11756,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,0,0,0,,False
test_196,RCA,16772,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_197,RCA,5191,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_198,LAD_LCX,5003,0,0.0,5,1.0,1.0,0,0.0,1,5,3,5.0,13,0,0,,False
test_199,LAD_LCX,9194,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,15,0,0,,False
test_2,LAD_LCX,8903,0,0.0,11,1.0,1.0,0,0.0,1,11,0,11.0,30,0,0,,False
test_20,RCA,10175,0,0.0,12,1.0,1.0,0,0.0,1,12,1,12.0,0,0,0,,False
test_200,LAD_LCX,8704,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,18,0,0,,False
test_201,LAD_LCX,5889,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,14,0,0,,False
test_202,LAD_LCX,8946,0,0.0,8,1.0,1.0,0,0.0,1,8,0,8.0,23,0,0,,False
test_203,RCA,8947,0,0.0,4,1.0,1.0,0,0.0,1,4,0,4.0,0,0,0,,False
test_204,RCA,12896,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_205,LAD_LCX,10505,0,0.0,6,0.9969257795344753,0.9840076154212279,1,0.8670157068062827,1,6,0,6.0,19,25,15,0.6,False
test_206,RCA,6930,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,0,0,0,,False
test_207,LAD_LCX,5754,0,0.0,12,0.9683028119683779,0.7798053527980535,1,0.5789016336461592,1,12,2,12.0,27,11,5,0.45454545454545453,False
test_208,LAD_LCX,13899,0,0.0,8,0.9663828689370485,0.8125044967263831,1,0.6971724584502482,1,8,0,8.0,25,12,0,0.0,False
test_209,RCA,10302,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_21,LAD_LCX,9021,0,0.0,13,0.9839617678989132,0.8411484314377563,1,0.7618889258397074,1,13,1,13.0,31,18,0,0.0,False
test_210,LAD_LCX,1494,1468,0.9825970548862115,5,0.9833333333333332,0.998661311914324,1,0.01606425702811245,1,5,1,5.0,4,0,0,,False
